Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables
P0729,"Bth 7,8,9 11 Fremo Port",,D,Water Anode CP,,0%,,,,Austress Freyssinet P/L (Melbourne),N,N
P0726,New Job,,D,,,0%,,,,,N,N
P0728,Tarong Twer 1-2,,D,,,0%,,,,,N,N
AMPCOL,facade AMP Collins PL,,D,"fix facade\r\nAwarded\r\nMETHOD STATEMENTS, GROUP RAVE SESSION",Andrew Mark Person,50%,9/3/2011,9/4/2012,BM,AMP Capital Investors Ltd,N,Y
ASPRMR,Riverside Mine ROM ASPEC,,D,\r\nSupervision \r\nCHECK TIMING AND OFFER SUPERVISION,Alfonce Samuel Rod Mad Ri,20%,26/09/2011,26/09/2011,BM,Aspec Engineering Pty Ltd,N,Y
ASPRMW,Riverside Wsh Plt aspec,,D,\r\nSupervision\r\nCHECK TIMING AND OFFER SUPERVISION,Alfonce,30%,26/09/2011,26/09/2012,BM,Aspec Engineering Pty Ltd,N,Y
HAYCRA,Crainbourne Pool Inv,,D,Cranbourne Pool Investigation\r\nDesign\r\nOFFER DESIGN/SUPERVISION,Haymond Cray,70%,1/1/2012,1/1/2012,BM,Hansen Yuncken PL,N,Y
M&CPEA,Peats Bridge,,D,\r\nTender Design\r\nFINALISE DRAWINGS,Mike and Charlie,30%,30/01/2012,30/06/2012,BM,Marine & Civil Maintenance PL,N,Y
MUN130,Brick Facade,,D,Union BLDG 130 Brick Facade\r\nSupervision\r\nREVIEW TENTERS,Peter Haveachat,30%,30/01/2012,28/02/2012,BM/INVOICED,University of Melbourne,N,Y
TARCON,Conveyor Footing Inst,,D,Installation\r\nSUPERVISION,Tony & Silver Raven,25%,31/01/2012,28/02/2013,BM,Tarong Energy Corporation,N,N
MUN130/A,Precast Section Union BLD,,D,Union BLDG 130 Precast section\r\ninvestigate\r\nOFFER FURTHER INVESTIGATION\r\nOFFER FURTHER INVESTIGATION,Peter Gabmeister,99%,30/01/2012,3/4/2012,BM,University of Melbourne,N,Y
THIBAR,Barkly Square,,D,\r\nSpecification\r\nADVISE BILL G,Mr Thinc,99%,30/01/2012,30/06/2012,BM/INVOICED,,N,Y
UNIBAL,Ballarat Pre-treament Tnk,,D,tank\r\nINVESTIGATE\r\nOFFER FOR FURTHER INVESTIGATION,Mr Wet,20%,30/01/2012,31/07/2012,BM,,N,Y
CITSUB,Substation City Power,,D,\r\nMONITORING\r\nCONTACT CLIENT AND ARRANGE PRESENTATION,Mr Amps,25%,1/10/2011,1/10/2013,BM,Citipower Pty Ltd,N,Y
DURDAM,Dolphin Repair/Cath Prot,,D,Dolphin Repair and Cathodic Protection\r\nMONITORING\r\nPROJECT CODE CHANGE,Ms Flipper,25%,1/1/2011,5/11/2012,BM,,N,Y
ASPGOO,Aspec Gooyella,,D,\r\nWAITING TO FINALISE REPORT,Mr Asp,75%,1/10/2011,1/10/2012,BM,Aspec Engineering Pty Ltd,N,N
TARCOO,Cooling Towers,,D,\r\nWAITING,Tony & Raven Silver,0%,31/01/2012,25/04/2012,BM,Tarong Energy Corporation,N,N
TARSLO,Slot Bunker,,D,"\r\nWAITING\r\nIS THIS HAPPENING, WHEN",Tony,10%,31/01/2012,31/07/2012,BM,Tarong Energy Corporation,N,Y
TARSTA,Chimney Stacks Nth & Main,,D,(North & Main)\r\nWAITING\r\nCALL TONY TO DISCUSS\r\nCALL TONY TO DISCUSS,Big Tony,15%,31/01/2012,22/09/2012,BM,Tarong Energy Corporation,N,N
ANGTLO,Germ Ck ROM & Thickener,,D,German Creek ROM & Thickener\r\nDESIGN\r\nCHASE FOR ORDER\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nDESIGN\r\nCHASE FOR ORDER,Mr Sausage,1%,3/2/2012,30/03/2012,IG,,N,Y
MUNCHE,Chemistry,,D,Chemistry\r\nSUPERVISION\r\nINVOICE,Ms Uni,99%,1/1/2012,1/6/2012,IG INVOICED,University of Melbourne,N,Y
MUNGRA,205 Grattan Street,,D,Works Complete,Mr Peter,100%,30/11/2011,4/5/2012,IG INVOICED,University of Melbourne,N,Y
