Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Cost Per Hour,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Tax Code,Credit Limit,Tax ID No.,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,Statement Text,Remittance Method,Remittance Address,A.B.N. ,A.B.N. Branch,Volume Discount %,Sales/Purchase Layout,Account,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Supplier's Tax Code,Report Taxable Payments,Payment Memo,Invoice/Purchase Order Delivery,Record ID
Nickless Miller Pty Ltd,,5250,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nanstee@nmmaccounts.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,88007094108,,0,S,,,,,GST,N,N,,P,1
Corrosion Control Engineering P/L,,5100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,64105274548,,0,S,,,,,GST,N,Y,,P,2
Fuel,,5144,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,22
Webstar Computers,,5373,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,23
Allegiance Advantage,,5015,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,24
Cartridge World,,5076,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,25
GO Electrical,,5155,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,Y,,P,26
Telstra Bigpond,,5329,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,27
Sharp and Howells Pty Ltd,,5301,N,46-54 Centre Way,,,,Croydon South,VIC,3136,,03 9850 9722,,,03 9850 9733,cathy@sharpandhowells.com.au,www.sharpandhowells.com.au,Cathy,,PO Box 231,,,,Bulleen,VIC,3105,,03 9850 9722,,,03 9850 9733,,www.sharpandhowells.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,083-125,698392543,SHARP AND HOWELLS PTY LTD,,E,cathy@sharpandhowells.com.au,26004782996,,0,S,,,,,GST,N,Y,,P,28
Nickless Miller Meehans  Pty Ltd,,5251,N,110 Drummond Street,,,,OAKLEIGH,VIC,3166,,03 9568 3344,,,,DAthaide@nmmaccountants.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,64383167194,,0,S,,,,,GST,N,N,,P,29
Multitex Corporation,,5236,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,30
Qantas Mascot,,5276,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,30,0,GST,0,,,,,,,,,,P,,,,0,S,,,,,GST,N,N,,P,31
