Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Currency Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
10000,Assets,H,"£1,270,058.11",Asset,,,,N,,,,,,,,,,,,Y
10001,Current Assets,H,£0.00,Asset,,,,N,,,,,,,,,,,,Y
10002,Accounts Receivable,H,"£753,150.08",Asset,,,,N,,,,,,,,,,,,N
11001,Cash On Hand,H,£0.00,Asset,,,,N,,,,,,,,,,,,Y
11111,ISTS Mackaroo A/c 96242,,£202.18,Bank,30,N-T,,N,,,,,,N,,,N,,,
11112,ANZ GES Equipment 182359,,"£16,150.39",Bank,1129,N-T,,N,,,,,,N,,,N,,,
11113,Directors Account 205581,,"£4,545.88",Bank,0,N-T,,N,,,,,,N,,,N,Account to transfer money to save for projects. ,,
11114,BOQ New Project 80942,,"£26,237.31",Bank,0,N-T,,N,,124-012,23480942,BOQ,MACKAROO,N,,,N,New Vehicle account it will deduct the instalments fro Toyota Finance,,
11115,Stripe ,,-£0.35,Bank,0,N-T,,N,,,,,,N,,,N,,,
11130,ING Direct,,£0.00,Bank,2,N-T,,Y,,,,,,N,,,N,,,
11135,E Trade Account 4833,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11140,ANZ Tax Acct 87421,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11190,Electronic Clearing Account,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11200,Fixed Assets,H,£0.00,Asset,,,,N,,,,,,,,,,,,Y
11201,Inventory,,"£79,738.22",Other Asset,,N-T,,N,,,,,,,,,,,O,
11202,Tracking account for goods not,,"£2,858.11",Fixed Asset,,N-T,,N,,,,,,,,,,,I,
11301,Office Equipment,H,"£42,196.98",Asset,,,,N,,,,,,,,,,,,Y
11302,Office Equipment at Cost,,"-£5,113.63",Other Asset,,CAP,,N,,,,,,,,,,,O,
11303,Office Equip Accum Depn,,"£42,310.61",Other Asset,,N-T,,N,,,,,,,,,,,O,
11304,Deposit Account (RAV4),,"£5,000.00",Other Asset,,N-T,,N,,,,,,,,,,,O,
11400,Motor Vehicles,H,"£580,789.38",Asset,,,,N,,,,,,,,,,,,N
11401,Motor Vehicles at cost,,"£690,491.09",Other Asset,,CAP,,N,,,,,,,,,,,O,
11402,Motor vehicles Accum Depn,,"-£109,701.71",Other Asset,,N-T,,N,,,,,,,,,,,O,
11550,Contra Acct Singapore,,£0.00,Other Current Asset,,N-T,,Y,,,,,,,,,,,O,
11555,Contra New Zealand 21447,,£0.00,Other Asset,,N-T,,Y,,,,,,,,,,,O,
11560,Contra M Walton,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11715,Holding Acc T&S  578801015,,£0.00,Bank,1086,N-T,,Y,,,,,,N,,,N,,,
11803,Client Overpayt Holding Acct,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11810,Cash Drawer,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
