Created: 23/06/2025 14:41,Independent Slip Testing Services,,,,,,,
PO Box 777 Wynnum   Queensland   4178 Australia,,,,,,,,
General Journal,,,,,,,,
ABN: 62 109 478 088,,,,,,,,
01/07/2021 To 23/06/2025,,,,,,,,
Email: mick@sliptesting.com.au,,,,,,,,
ID No.,Account No.,Account Name,Debit,Credit,Job No.,Memo,Name,Payee
,,,,,,,,
,,,,,,,,
GJ,01/07/2021,End of Year Adjustment,,,,,,
GJ000000,39000,Current Year Earnings,"£280,751.14",,,End of Year Adjustment,,End of Year Adjustment
GJ000000,38000,Retained Earnings,,"£280,751.14",,End of Year Adjustment,,End of Year Adjustment
GJ,01/07/2021,General interest Charge,,,,,,
GJ000277,60032,Interest Expense,£158.25,,,General interest Charge,,General interest Charge
GJ000277,21103,ATO Running Balance A/c,,£158.25,,General interest Charge,,General interest Charge
GJ,08/07/2021,Lodgement of June 21 BAS,,,,,,
GJ000256,21101,GST Collected,"£17,691.00",,,Lodgement of June 21 BAS,,Lodgement of June 21 BAS
GJ000256,21102,GST Paid,,"£20,822.00",,Lodgement of June 21 BAS,,Lodgement of June 21 BAS
GJ000256,21105,Provision for FBT payable,"£5,903.00",,,Lodgement of June 21 BAS,,Lodgement of June 21 BAS
GJ000256,21203,PAYG Withholding Payable,"£12,188.00",,,Lodgement of June 21 BAS,,Lodgement of June 21 BAS
GJ000256,21103,ATO Running Balance A/c,,"£14,960.00",,Lodgement of June 21 BAS,,Lodgement of June 21 BAS
GJ,11/08/2021,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions,,,,,,
GJ000211,43003,Equipment sales,,"£3,850.00",,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions,,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions
GJ000211,61708,Expense Inventory,"£3,850.00",,,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions,,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions
GJ,12/08/2021,Lodgement of July 21 BAS,,,,,,
GJ000257,21101,GST Collected,"£15,656.00",,,Lodgement of July 21 BAS,,Lodgement of July 21 BAS
GJ000257,21102,GST Paid,,"£5,688.00",,Lodgement of July 21 BAS,,Lodgement of July 21 BAS
GJ000257,21203,PAYG Withholding Payable,"£12,970.00",,,Lodgement of July 21 BAS,,Lodgement of July 21 BAS
GJ000257,21103,ATO Running Balance A/c,,"£22,938.00",,Lodgement of July 21 BAS,,Lodgement of July 21 BAS
GJ,13/09/2021,Lodgement of September 2022 BAS,,,,,,
GJ000258,21101,GST Collected,"£14,898.00",,,Lodgement of September 2022 BAS,,Lodgement of September 2022 BAS
GJ000258,21102,GST Paid,,"£3,138.00",,Lodgement of September 2022 BAS,,Lodgement of September 2022 BAS
GJ000258,21203,PAYG Withholding Payable,"£12,749.00",,,Lodgement of September 2022 BAS,,Lodgement of September 2022 BAS
GJ000258,21103,ATO Running Balance A/c,,"£24,509.00",,Lodgement of September 2022 BAS,,Lodgement of September 2022 BAS
GJ,11/10/2021,Lodgement of September 2021 BAS,,,,,,
