Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables
102-02,Pullman Resort Bunker Bay,102,D,Prev #104,,0%,,,,Pullman Resort Bunker Bay,N,N
106-00,RAC Arena,,D,,,0%,,,,RAC Arena,N,N
111-01,Woolworths Kewdale,111,D,,,0%,,,,Woolworths Group Limited,N,N
120,Knight Frank WA,,H,,,0%,,,,,N,N
1286,Genesis Coomera East,,D,,,0%,,,,BC for Genesis Coomera,N,N
1288,Cascade Terraces,,D,,,0%,,,,Cascade Terraces CTS 17643,N,N
1290,Savills (QLD),,H,,,0%,,,,,N,N
1291,Vicinity QLD,,H,,,0%,,,,,N,N
1296,The Reef Hotel Casino,,D,,,0%,,,,The Reef Hotel Casino,N,N
1290-17,Nambour Plaza,1290,D,prev 1300,,0%,,,,Nambour Property Investments,N,N
1303,Assetlink Services Qld,,H,,,0%,,,,,N,N
1305,269 Wickham Street,,D,,,0%,,,,269 Wickham CTS 4018 - 88 936 353 627,N,N
1325-10,58 The Strand North Ward,1325,D,prev 1306,,0%,,,,Fig Tree Investments (NQ) Pty Ltd ATF The FTI,N,N
1311,Snap Fresh,,D,,,0%,,,,Snap Fresh,N,N
1312,Cromwell Property Group,,H,,,0%,,,,,N,N
1318,Chermside Medical Centre,,D,,,0%,,,,BC for Chermside Medical Complex,N,N
1326,DFO Jindalee,,D,,,0%,,,,Chin Yin Pty Ltd,N,N
1327,Hinkler Central,,D,,,0%,,,,,Y,N
1333-01,Pelican Waters,1333,D,,,0%,,,,Seamark Pty Ltd,N,N
1334,Rockhampton Airport,,D,,,0%,,,,Rockhampton Regional Council,N,N
1343,ISTS Global Headquarters,,D,,,0%,,,,Independent Slip Testing Services,N,N
1344-01,Orion Springfield Central,1344,D,,,0%,,,,Mirvac Real Estate Pty Ltd,N,N
1344-02,Orion Pad Site,1344,D,,,0%,,,,Mirvac Real Estate Pty Ltd,N,N
1345,Mt Sheridan Plaza,,D,,,0%,,,,Mount Sheridan Plaza,N,N
1325-19,1814 Sandgate Rd,1325,D,Prev 1346,,0%,,,,Tabir Nominees Pty Ltd,N,N
1351,BPQ Pty Ltd,,H,Previously Bramley Properties,,0%,,,,,N,N
1352,First Asset Management,,H,,,0%,,,,,N,N
1325-12,Bushland Beach Plaza,1325,D,prev 1355,,0%,,,,Region Group Re Ltd,N,N
1362,Austral Facility Services,,H,Name rebrand from My Pathway Facility Services to Austral Facility Services 9/8/24,,0%,,,,,N,N
1365,324 Queen Street,,D,,,0%,,,,Dimeo Management Services Pty Ltd,N,N
1366,Crystal Bay Resort,,D,,,0%,,,,Crystal Bay Resort,N,N
1369,Colliers QLD,,H,,,0%,,,,,N,N
1437-34,Cairns Square,1437,D,prev 1373-4,,0%,,,,Juniper Property Holdings No. 25 Pty Ltd,N,N
1371,The Waterford,,D,,,0%,,,,The Waterford CTS 32619,N,N
1374,Dimeo Management,,H,,,0%,,,,,N,N
1379,Greenbank RSL Services Cl,,D,,,0%,,,,Greenbank Services Club,N,N
1381,Bayton Property Services,,H,,,0%,,,,,N,N
1384,Admiralty Quays,,D,,,0%,,,,Admiralty Quays CTS 24592,N,N
1387,Ashgrove Marketplace,,D,,,0%,,,,Parklane Commercial Pty Ltd,N,N
1390,Peninsular Apartments,,D,,,0%,,,,Body Corporate for PENINSULA CTS 9865,N,N
1392,Indooroopilly Junction SC,,D,,,0%,,,,Indooroopilly Junction Partnership,N,N
1394,Corporate Cleaning Services,,H,,,0%,,,,,N,N
1396-01,Woolworths Eight Mile Plains,1396,D,,,0%,,,,Workplace Support,N,N
1405,McConaghy Retail,,H,,,0%,,,,,N,N
1407,Mooloolaba International,,D,,,0%,,,,Mooloolaba International CTS 27524,N,N
1409,Dreamworld,,H,,,0%,,,,,N,N
1410,Brisbane Airport Corp,,H,,,0%,,,,,N,N
1411,Springmount Services,,H,,,0%,,,,,N,N
1416,Fortuna,,H,Company name changed from Sentinel to Fortuna,,0%,,,,,N,N
1418,Cairns Port Authority,,H,,,0%,,,,,N,N
1419,Millenium Hi Tech Group,,H,,,0%,,,,,N,N
1423-01,The Mark S-C,1423,D,,,0%,,,,Hachma International Australia Pty Ltd,N,N
1425,Secureclean QLD,,H,,,0%,,,,,N,N
1427,Don Wilson Commercial,,H,,,0%,,,,,N,N
1429,Monte Carlo,,D,,,0%,,,,Monte Carlo-CTS 11083,N,N
1435-16,333 Ann Street,1435,D,prev 1431,,0%,,,,Jeen Poh,N,N
1435,Jones Lang LaSalle QLD,,H,,,0%,,,,,N,N
1325-02,Garbutt Central,1325,D,,,0%,,,,Reelaw Pty Ltd T/F Walker Adams Unit Tru,N,N
1437,CBRE QLD,,H,,,0%,,,,,N,N
1325-09,The Avenues Plaza,1325,D,prev 1443,,0%,,,,Parkside Development Pty. Ltd.,N,N
1449,Ray White,,H,,,0%,,,,,N,N
1451,McConaghy Shopping Centre,,H,,,0%,,,,,N,N
1459,Redlands RSL,,D,,,0%,,,,Redlands RSL,N,N
1460,BIC Condolidated,,H,,,0%,,,,,N,N
1463,Spotless Group,,H,,,0%,,,,,N,N
1465,Manor Apartments,,D,,,0%,,,,Manor Apartments,N,N
1325-03,North Ward Shop Village,1325,D,,,0%,,,,Brutone Pty Ltd,N,N
1474,Southport Sharks Club,,D,,,0%,,,,Southport Australian Football Club Ltd,N,N
1476,201 Lake Street,,D,Also known as Cairns One,,0%,,,,Body Corporate Services for 201 Cairns,N,N
1240-08,34 Manton Street,1240,D,Prev #1477,,0%,,,,The Trustee of DEXUS Wholesale Industrial Trust,N,N
1501-06,Pullman Cairns Internatio,1501,D,Prev The Sebel Cairns #1481,,0%,,,,The Trustee for Shakespeare Cairns Hospitality,N,N
