{},,,,,,,,,,,,,,,,,,,,,,,,,
Cheque Account,Cheque No.,Date,Inclusive,Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Memo,Allocation Account No.,Amount,Job No.,Tax Code,Tax Amount,Printed,Currency Code,Exchange Rate,Statement Text,Allocation Memo,Category,Card ID,Record ID,Delivery Status,Is Year-End Adjustment
11111,tfr,01/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,,"4,000.00",,,,,,,,,,*None,2703,P,N
,tfr,01/07/2021,X,ANZ Visa New credit card 9489,,ANZ Visa New credit card 9489,,,,ANZ Visa New credit card 9489,21002,"4,000.00",,N-T,0,,,,,,,*None,2703,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,01/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"3,000.00",,,,,,,,,,*None,3885,P,N
,tfr,01/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"3,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
11111,tfr,01/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,,"1,000.00",,,,,,,,,,*None,3885,P,N
,tfr,01/07/2021,X,ANZ (Equipment) 182359,,Directors ANZ,124 Hindes Street,Lota  QLD  4179,,Directors ANZ-transfer to pay expenses,11112,"1,000.00",,N-T,0,,,,,,,*None,3885,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
21002,tfr,01/07/2021,X,,,Indeed,,,,Advertisement for a new technician- Incl overseas txn fee $0.75 AUD,,25.69,,,,,,,,,,,,P,N
,tfr,01/07/2021,X,,,Indeed,,,,Advertisement for a new technician- Incl overseas txn fee $0.75 AUD,60018,25.69,,N-T,0,,,,,,,,,P,N
,,,,,,,,,,,,,,,,,,,,,,,,,
