Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
Citygreen,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2253,01/07/2021,23115,,P,Indoor plants maintenance,61107,$65,,,Purchase; Citygreen,,GST,$6.5,$0.00,N-T,$0.00,B,,,5,1,30,0,$71.5,,*None,3020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nifty Group Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2254,01/07/2021,INV-5382,,P,Monthly back up,61001,$80.91,,,Purchase; Nifty IT,,GST,$8.09,$0.00,GST,$0.00,B,,,5,1,30,0,$89,,*None,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2259,01/07/2021,,,P,Stationary,61301,$106.34,,,Purchase; Office Works,,GST,$10.63,$0.00,GST,$0.00,B,,,5,1,30,0,$116.97,,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyssen Design,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2262,01/07/2021,3861,,P,Website maintenance,61003,$150.41,,,Purchase; Tyssen Design,,GST,$15.04,$0.00,GST,$0.00,B,,,5,1,30,0,$165.45,,website,2084
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane City Council- Rates,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2269,01/07/2021,5.0001E+14,,P,July- September 2021 rates,61104,"$1,060.1",,,Purchase; Brisbane City Council- Rates,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,060.1",,*None,2055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
