ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,Discount,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount,DueDateSalesDay,DueDateSalesTerm
Independent Slip Testing Services,,PO Box 777,,,,Wynnum,QLD,4178,Australia,0411 600 733,,07 3901 1038,,,,,,,,,,,,0,,,,,30.0,5.0
Book Keeping,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,30.0,5.0
ASIC,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,30.0,5.0
ING Direct,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,30.0,5.0
Angliss Estate,,(Annandale Central Pty Ltd),PO Box 1178,,,Aitkenvale,QLD,4814,,07 4728 5528,041 7076 871,,seurell@angliss.com.au,,,,,,,,,,,0,,,,,7.0,2.0
120 Edward St Partnership,,c/- Axis Capital Pty Ltd,GPO Box 9,,,BRISBANE,QLD,4000,,3223 3500,0414 218 775,,ahannah@axiscap.com.au,,,,,,,,,,,0,,,,,7.0,2.0
167 Eagle Street Pty Ltd,,PO Box 10932,,,,Brisbane Adelaide Street,QLD,4001,,07 3001 4007,,,accountsgc@bpqgroup.com.au,,,,,,,,,,,0,,,,,7.0,2.0
269 Wickham CTS 4018 - 88 936 353 627,269 wickham,c/- Global Fm Pty Ltd,PO Box 98,,,Paddington,QLD,4064,,3369 5559,,,pdf;only,,,,,,,,,,,0,,,,,7.0,2.0
281 Ross River Rd Townsville,,C/- Knight Frank,PO Box 1109,,,Townsville,Qld,4810,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
300 Adelaide Street Brisbane,,The Trust Company Limited,C/- Direct Property Company Limited,PO Box 12180,,BRISBANE,QLD,4000,,3228 2009,,,stephen.ritchie@charterhall.com.au,,,,,,,,,,,0,,,,,7.0,2.0
418 Adelaide Street CTS B32461,,Starbuild Management Services,P.O Box 662,,,Spring Hill,Qld,4004,,0419 792 464,,,graham.neville@starbuild.com.au,,,,,,,,,,,0,,,,,7.0,2.0
50 Cavill Ave,,,,,,Surfers Paradise,Qld,4217,,0459 155 542,,,fiftycavill@bigpond.com,,,,,,,,,,,0,,,,,7.0,2.0
A.P Constructions,,PO Box 1425,,,,Paradise Point,QLD,4216,,0432 744 394,07 5564 1577,07 5564 1588,reception@apgroupqld.com.au,,,,,,,,,,,0,,,,,7.0,2.0
A1 Office Fitouts,,1374 North Road,,,,Huntingdale,VIC,3166,,1300 726 566,0413 929 088,,marty@a1office.com.au,,,,,,,,,,,0,,,,,7.0,2.0
A1 Rubber Pty Ltd,,34 Binary St,,,,Yatala,Qld,4207,,07 38073666,,07 38072344,,,,,,,,,,,,0,,,,,7.0,2.0
Abacus Property Group,,C/- CBRE (C) Pty Ltd,QLD Rents Trust,Locked Bag 2003,,Archerfield,Qld,4108,,07 5457 5757,0433 380 953,,PDF;COPY;ONLY,reasap.pacific@cbre.com,,,,,,,,,,0,,,,,7.0,2.0
Abacus Property Services Pty Limited,,Level 34,268 George Street,,,Sydney,NSW,2000,,0411 460 109,,,griffin@abacusproperty.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Abercraf Pty Ltd,,C/- LJ Hooker Commercial - Canberra,GPO Box 233,,,CANBERRA,ACT,2601,,02 6275 1401,0407 487 953,02 6247 3772,,,,,,,,,,,,0,,,,,7.0,2.0
Abigroup Contractors,,129 Logan Rd,,,,Woolloongabba,Qld,4102,,33917311,,07 33917414,,,,,,,,,,,,0,,,,,7.0,2.0
Abigroup Contractors Pty Ltd,,GPO Box 2777,,,,Brisbane,Qld,4001,,07 33712840,,1300 365625,,,,,,,,,,,,0,,,,,7.0,2.0
Absolute Creations,,17 Geneva Crescent,,,,Narangba,QLD,4504,Australia,0449 969 453,,,,,,,,,,,,,,0,,,,,7.0,2.0
Acacia Ridge Indigenous Cultural Space Project,,PO Box 5827,,,,West End,QLD,4101,,0408 016 110,,,,,,,,,,,,,,0,,,,,7.0,2.0
Acadan Pty Ltd,,C/- Savills Pty Ltd,PO Box 3819,Rundle Mall,,Adelaide,SA,5000,,08 8168 7100,0417 5212 865,,dbeales@savills.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Accent On McLeod CTS 36232,,C/- Zacks Strata,PO Box 828,,,SMITHFIELD,QLD,4878,,07 40556986,,,admin@zacks-strata.com,,,,,,,,,,,0,,,,,7.0,2.0
Access Group Solutions,,PO Box 219,,,,GLADESVILLE,NSW,2111,,02 9817 7788,,,adminassist@accessgroupsolutions.com.au,,,,,,,,,,,0,,,,Apr-00,7.0,2.0
Access Lumber Ltd,,22 Echodale Place,Stoke,,,Nelson,,7011,NEW ZEALAND,1800 105 145,0800 44 9274,,,,,,,,,,,,,0,,,,Apr-00,7.0,2.0
Accor Australia & New Zealand  Hospitality Pty Ltd,,T/A Pullman Cairns International,17 Abbot Street,,,Cairns,QLD,4870,,4050 2169 Natalie,,,H8772-TE@accor.com,,,,,,,,,,,0,,,,,7.0,2.0
Ace Stone & Tiles,,PO Box 155,,,,Buddina,QLD,4575,Australia,07 54933344,,,jodig@acestone.com.au,,0418 151944,,,,,,,,,0,,,,,7.0,2.0
ADCO Constructions Pty Ltd,MILTON,ABN: 46 001 044 391,PO Box 1167,,,MILTON,QLD,4064,,3511 5555 Candice,0419 901 004 Brenton,3511 5500,kandacel@adcoconstruct.com.au,laurenc@adcoconstruct.com.au,,,,,,,,,,0,,,,,7.0,2.0
Adcome Pty Ltd,,P.O. Box 1072,,,,Bongaree,Qld,4057,,34081066,,34084563,,,,,,,,,,,,0,,,,,7.0,2.0
Adelaide Airport Limited,,1 James Schofield Drive,,,,Adelaide Airport,SA,5950,,08 8308 9211 Kerry,0419 811 120,08 8308 9311,accounts@aal.com.au,apenquiries@aal.com.au,,,,,,,,,,0,,,,,7.0,2.0
Adelaide Aqua/ Built Environs,,PO Box 7019,Hutt Street,,,Adelaide,S.A,5000,,0417 834 551,,,,,,,,,,,,,,0,,,,,7.0,2.0
ADF Group,,96 Dryburgh St,,,,North Melbourne,Vic,3051,,1300 131395,,1300 131395,,,,,,,,,,,,0,,,,,7.0,2.0
Admiral Concreting,,PO Box 234,,,,Geebung,Qld,4034,,,,,,,,,,,,,,,,0,,,,,7.0,2.0
Admiral Concreting (Qld),,PO Box 234,,,,GEEBUNG,QLD,4034,,3265 2466,0431 249 458,,liam.roberts@admiral.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Admiralty Concreting,,PO Box 117,,,,Kedron,Qld,4031,,07 32652466,,,liam.roberts@admiralty.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Admiralty Quays CTS 24592,,32 Macrossan Street,,,,Brisbane,QLD,4000,Australia,07 3059 9788,0415 929 191,,manager@admiraltyquays.com,,,,,,,,,,,0,,,,,7.0,2.0
Advanced Plastic Recycling,,Lot 9 500 Churchill Road,,,,Kilburn,SA,5084,,08 8355 6689,0417 189 005,,swancoatings@gmail.com,,,,,,,,,,,0,,,,,7.0,2.0
AHC Limited,,PO Box 34,,,,Oxenford,QLD,4210,,07 5559 1072,07 5573 2666,07 5573 3324,reception@ahc.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Ahrens Engineering Pty Ltd,,PO Box 7565,,,,East Brisbane,QLD,4169,,07 3217 4122,0408 716 524 - Craig,,,,,,,,,,,,,0,,,,,7.0,2.0
Airlite Cleaning Pty Ltd,,PO Box 782,,,,Pacific Fair,QLD,4218,,08 9443 6789,0412 702710,07 55262416,ap@airlitegroup.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Airlite Group,,Level 1 433 Logan Road,,,,Stones Corner,Qld,4120,,08 9443 6789,0421 702 710,,ap@airlitegroup.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Airport West Pty Ltd,,As Trustee for Airport West Unit Trust,ABN 24 701 659 673,PO Box 6,,Export Park,SA,5950,,08 8355 1144,,08 8355 1166,harbourtownadelaide@lightyear.cloud,,,,,,,,,,,0,,,,,7.0,2.0
Albem Pty Ltd,,GPO Box 3104,,,,Brisbane,Qld,4001,,07 32690109,,,,0433 727 581,,,,,,,,,,0,,,,,7.0,2.0
Albion Park Village Shopping Centre,,C/O - Kiama Fair,143 Terralong Street,,,Kiama,NSW,2533,Australia,02 4232 3320,,02 4232 3022,tracey.dignam@centro.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Alceon Group Pty Ltd ATF Gippsland Retail Trust,273-08,c-/ JLL Gippsland Centre,37-39 Cunninghame Street,,,SALE,VIC,3850,Australia,,,,GippslandCentre.PAMVIC@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
Alceon Group Pty Ltd,,ATF Peregian Springs Trust,PO Box 929,,,Redcliffe,Qld,4020,Australia,0478 486 371,,,acoco@savills.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Alceon Group Pty Ltd Atf Orange Retail Trust,698-28,Trading as Orange City Centre,ABN:70 977 046 008,190 Anson Street,,Orange,NSW,2800,,02 6361 3879,0407 786 395,,paminvoices.sydney@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
Alexandra Body Corporate,,C/- CB Richard Ellis,PO Box 7097,,,BRISBANE,QLD,4001,,3833 9833 (Kelly),,,Phillip.Cooper@cbre.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Alexandra Body Corporate,,C/o- CB Richard Ellis,PO Box 7097,,,Brisbane,QLD,4001,Australia,07 3833 9833,,07 3211 8737,,,,,,,,,,,,0,,,,,7.0,2.0
MCM Properties  (QLD) P/L,1317-01,PO Box 1391,,,,Coorparoo,QLD,4151,,0416 075 637,,,mcmqld@optusnet.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Alice Plaza Shopping Centre,,P.O. Box 1996,,,,Alice Springs,N.T.,871,,08 8952 9666,0407 601 586,,aliceplz@bigpond.net.au,,,,,,,,,,,0,,,,,7.0,2.0
Alice Springs Airport,,PO Box 796,,,,Alice Springs,NT,871,Australia,08 8951 1208,0417 833 411,08 8955 5046,joseph.dhollande@ntairports.com.au,www.aliceairport.com.au,,,,,,,,,,0,,,,,7.0,2.0
Alice Springs Shopping Centre,,C/- L.J.Hooker,P.O.Box 2455,,,Alice Springs,NT,871,Australia,08-89506333,,08-89530814,,,,,,,,,,,,0,,,,,7.0,2.0
All About Resurfacing,,PO Box 1143,,,,Brighton,QLD,4017,Aistralia,0407 583 375,,,,,,,,,,,,,,0,,,,,7.0,2.0
All Property Services Provided,,58 Heritage Boulevarde,,,,Heritage Park,QLD,4118,Australia,07 3803 0014,0412 762 178,,,,,,,,,,,,,0,,,,,7.0,2.0
Allcorp Services,,P.O BOX 438,,,,CANNON HILL,QLD,4170,,38999855,,38999322,,,,,,,,,,,,0,,,,,7.0,2.0
Allgear Imports Pty Ltd,,PO Box 5493,,,,West End,Qld,4101,,07 38461766,,07 38465300,,,,,,,,,,,,0,,,,,7.0,2.0
Alliance Constructions,,P.O. BOX 1295,,,,MILTON,QLD,4064,,33683447,,,,,,,,,,,,,,0,,,,,7.0,2.0
Alliance Retail Interiors,,PO Box 2124,,,,Burleigh BC,QLD,4220,,1300 597 811,0404 409 787,,projects@allianceretailinteriors.com,,,,,,,,,,,0,,,,,7.0,2.0
Allisee Apartments,,323 Bayview Street,,,,Hollywell,Qld,4216,,07 5529 6333,0438 710 065,07 5529 6444,barry@alliseeapartments.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Allphones Arena,,PO Box 678,,,,Sydney Markets,NSW,2129,,02 8765 4321,,02 8765 4333,hmarshall@acerarena.com.au,,,,,,,,,,,0,,,,,7.0,2.0
Alpetco Projects,,PO Box 138,,,,PETRIE,QLD,4502,,0418 725 635,,,s.dunlop@bigpond.net.au,,,,,,,,,,,0,,,,,7.0,2.0
Altis Fortitude Valley Unit Trust,,C/- Homemaker Centre Management,PO Box 2643,,,Fortitude Valley BC,Qld,4006,,07 3363 5777,0439 823 089,,info@homemakerthevalley.com.au,Pietta.lacey@cbre.com..au,,,,,,,,,,0,,,,,7.0,2.0
AM Retail Services Pty Ltd,,PO Box 697,,,,North Sydney,NSW,2059,,02 90878210,0405 331608,02 90878211,,,,,,,,,,,,0,,,,,7.0,2.0
Edsgear Pty Ltd,,C/O JLL,PO Box 317,,,North Sydney,NSW,2059,,0498 800 605,02 9438 5551,,sarah.krawczyk@ap.jll.com,,,,,,,,,,,0,,,,,7.0,2.0
