Date,Amount,From Account,To Account,Reference Number
01/07/2021,4000.0,11111.0,21002,tfr-1
01/07/2021,3000.0,11111.0,11112,tfr-2
01/07/2021,1000.0,11111.0,11112,tfr-3
02/07/2021,1000.0,11111.0,21002,tfr-4
02/07/2021,1000.0,11111.0,21002,tfr-5
05/07/2021,2000.0,11111.0,11112,tfr-6
05/07/2021,500.0,11111.0,11113,tfr-7
05/07/2021,300.0,11111.0,19001,tfr-8
05/07/2021,250.0,11111.0,11113,tfr-9
06/07/2021,2000.0,11111.0,21002,tfr-10
07/07/2021,140.0,11111.0,11815,tfr-11
08/07/2021,4000.0,11111.0,11112,tfr-12
08/07/2021,2000.0,11111.0,11112,tfr-13
08/07/2021,2000.0,11111.0,11112,tfr-14
08/07/2021,2000.0,11111.0,11112,tfr-15
09/07/2021,10000.0,11111.0,11112,tfr-16
09/07/2021,3000.0,11111.0,11112,tfr-17
09/07/2021,1000.0,11111.0,21002,tfr-18
12/07/2021,2000.0,11111.0,11113,tfr-19
12/07/2021,1000.0,11111.0,21002,tfr-20
12/07/2021,300.0,11111.0,19001,tfr-21
12/07/2021,250.0,11111.0,11113,tfr-22
13/07/2021,1000.0,11111.0,21002,tfr-23
14/07/2021,22416.3,11111.0,11815,tfr-24
14/07/2021,5000.0,11111.0,11112,tfr-25
14/07/2021,3506.0,11111.0,11815,tfr-26
14/07/2021,2000.0,11111.0,21002,tfr-27
15/07/2021,5000.0,11111.0,11112,tfr-28
15/07/2021,5000.0,11111.0,21002,tfr-29
15/07/2021,2000.0,11111.0,11113,tfr-30
15/07/2021,1000.0,11111.0,21002,tfr-31
16/07/2021,5000.0,11111.0,11112,tfr-32
16/07/2021,1000.0,11111.0,11112,tfr-33
16/07/2021,1000.0,11111.0,21002,tfr-34
19/07/2021,3000.0,11111.0,11112,tfr-35
19/07/2021,300.0,11111.0,19001,tfr-36
19/07/2021,250.0,11111.0,11113,tfr-37
19/07/2021,1000.0,11111.0,11112,tfr-38
19/07/2021,510.0,11111.0,11112,tfr-39
19/07/2021,210.0,11111.0,11815,TrvlAllo-40
20/07/2021,2000.0,11111.0,11112,tfr-41
20/07/2021,2500.0,11112.0,11113,tfr-42
21/07/2021,4500.0,11111.0,11112,tfr-43
22/07/2021,3000.0,11111.0,11112,tfr-44
22/07/2021,2000.0,11111.0,21002,tfr-45
23/07/2021,14000.0,11111.0,21002,tfr-46
23/07/2021,2000.0,11111.0,21002,tfr-47
23/07/2021,2000.0,11111.0,21002,tfr-48
23/07/2021,1000.0,11111.0,21002,tfr-49
26/07/2021,2000.0,11111.0,21002,tfr-50
26/07/2021,300.0,11111.0,19001,tfr-51
26/07/2021,250.0,11111.0,11113,tfr-52
26/07/2021,1500.0,11111.0,21002,tfr-53
27/07/2021,2000.0,11111.0,21002,tfr-54
27/07/2021,1500.0,11111.0,21002,tfr-55
27/07/2021,500.0,11111.0,21002,tfr-56
28/07/2021,2000.0,11111.0,11112,tfr-57
29/07/2021,3000.0,11111.0,11112,tfr-58
29/07/2021,1500.0,11111.0,21002,tfr-59
29/07/2021,1000.0,11111.0,21002,tfr-60
30/07/2021,5000.0,11111.0,11112,tfr-61
30/07/2021,4136.0,11111.0,11815,tfr-62
02/08/2021,6000.0,11111.0,11112,tfr-63
02/08/2021,300.0,11111.0,19001,tfr-64
02/08/2021,250.0,11111.0,11113,tfr-65
02/08/2021,22206.3,11111.0,11815,tfr-66
02/08/2021,4000.0,11111.0,11112,tfr-67
03/08/2021,4000.0,11111.0,11112,tfr-68
03/08/2021,1500.0,11111.0,21002,tfr-69
04/08/2021,3000.0,11111.0,11112,tfr-70
04/08/2021,1000.0,11111.0,21002,tfr-71
05/08/2021,2000.0,11111.0,11112,tfr-72
05/08/2021,1000.0,11111.0,21002,tfr-73
05/08/2021,1000.0,11111.0,11112,tfr-74
06/08/2021,3000.0,11111.0,11112,tfr-75
06/08/2021,2000.0,11111.0,11112,tfr-76
06/08/2021,2000.0,11111.0,21002,tfr-77
09/08/2021,2000.0,11111.0,21002,tfr-78
09/08/2021,300.0,11111.0,19001,tfr-79
09/08/2021,250.0,11111.0,11113,tfr-80
09/08/2021,2000.0,11111.0,21002,tfr-81
11/08/2021,2000.0,11111.0,21002,tfr-82
12/08/2021,1000.0,11111.0,21002,tfr-83
13/08/2021,6000.0,11111.0,21002,tfr-84
13/08/2021,1000.0,11111.0,11112,tfr-85
16/08/2021,6000.0,11111.0,11112,tfr-86
16/08/2021,21425.15,11111.0,11815,tfr-87
16/08/2021,4066.0,11111.0,11815,tfr-88
16/08/2021,4000.0,11111.0,11112,tfr-89
16/08/2021,900.0,11111.0,19001,tfr-90
16/08/2021,250.0,11111.0,11113,tfr-91
17/08/2021,4000.0,11111.0,11112,tfr-92
18/08/2021,2000.0,11111.0,11112,tfr-93
18/08/2021,2000.0,11111.0,11112,tfr-94
19/08/2021,5000.0,11111.0,11112,tfr-95
19/08/2021,3000.0,11111.0,11112,tfr-96
19/08/2021,1010.0,11111.0,11112,tfr-97
19/08/2021,1000.0,11111.0,21002,tfr-98
20/08/2021,4000.0,11111.0,11112,tfr-99
20/08/2021,1047.6,11111.0,11815,tfr-100
23/08/2021,2000.0,11111.0,21002,tfr-101
23/08/2021,900.0,11111.0,19001,tfr-102
23/08/2021,250.0,11111.0,11113,tfr-103
23/08/2021,2000.0,11111.0,11112,tfr-104
24/08/2021,1000.0,11111.0,11112,tfr-105
24/08/2021,350.0,11111.0,11815,TrvlAllo-106
26/08/2021,140.0,11111.0,11815,TrvlAllo-107
26/08/2021,1000.0,11113.0,21002,tfr-108
27/08/2021,1000.0,11111.0,11113,tfr-109
27/08/2021,2500.0,11111.0,19001,tfr-110
30/08/2021,250.0,11111.0,11113,tfr-111
30/08/2021,900.0,11111.0,19001,tfr-112
30/08/2021,1100.0,11111.0,19001,tfr-113
31/08/2021,875.2,11111.0,11815,tfr-114
31/08/2021,4556.0,11111.0,11815,tfr-115
31/08/2021,2500.0,11111.0,11112,tfr-116
31/08/2021,2500.0,11111.0,11112,tfr-117
31/08/2021,1000.0,11111.0,21002,tfr-118
31/08/2021,20000.0,11111.0,11815,tfr-119
01/09/2021,6000.0,11111.0,11112,tfr-120
02/09/2021,4000.0,11111.0,11112,tfr-121
02/09/2021,3000.0,11111.0,21002,tfr-122
02/09/2021,3000.0,11111.0,21002,tfr-123
06/09/2021,900.0,11111.0,19001,tfr-124
06/09/2021,250.0,11111.0,11113,tfr-125
07/09/2021,3000.0,11111.0,11112,tfr-126
08/09/2021,8000.0,11111.0,11112,tfr-127
08/09/2021,1000.0,11111.0,21002,tfr-128
08/09/2021,1000.0,11111.0,11112,tfr-129
09/09/2021,81.0,11111.0,11815,wages-130
09/09/2021,3000.0,11111.0,21002,tfr-131
09/09/2021,2000.0,11111.0,21002,tfr-132
13/09/2021,900.0,11111.0,19001,tfr-133
13/09/2021,250.0,11111.0,11113,tfr-134
15/09/2021,19661.0,11111.0,11815,tfr-135
15/09/2021,5000.0,11111.0,11112,tfr-136
15/09/2021,4556.0,11111.0,11815,tfr-137
15/09/2021,3500.0,11111.0,21002,tfr-138
15/09/2021,2000.0,11111.0,21002,tfr-139
15/09/2021,600.0,11111.0,21002,tfr-140
16/09/2021,1000.0,11111.0,21002,tfr-141
17/09/2021,8000.0,11111.0,11112,tfr-142
17/09/2021,5000.0,11111.0,11112,tfr-143
20/09/2021,2010.0,11111.0,11112,tfr-144
20/09/2021,900.0,11111.0,19001,tfr-145
20/09/2021,250.0,11111.0,11113,tfr-146
21/09/2021,2000.0,11111.0,21002,tfr-147
21/09/2021,1000.0,11111.0,21002,tfr-148
22/09/2021,4000.0,11111.0,11112,tfr-149
22/09/2021,1000.0,11111.0,11112,tfr-150
23/09/2021,4000.0,11111.0,11112,tfr-151
23/09/2021,3000.0,11111.0,11112,tfr-152
23/09/2021,2000.0,11111.0,11112,tfr-153
23/09/2021,1000.0,11111.0,11112,tfr-154
27/09/2021,900.0,11111.0,19001,tfr-155
27/09/2021,250.0,11111.0,11113,tfr-156
28/09/2021,1000.0,11111.0,21002,tfr-157
28/09/2021,1333.1,11111.0,11815,wages-158
29/09/2021,1000.0,11111.0,21002,tfr-159
29/09/2021,2500.0,11111.0,11815,wages-160
29/09/2021,2500.0,11111.0,11815,wages-161
30/09/2021,10000.0,11111.0,11112,tfr-162
30/09/2021,4556.0,11111.0,11815,tfr-163
30/09/2021,19871.0,11111.0,11815,tfr-164
30/09/2021,1000.0,11111.0,21002,tfr-165
30/09/2021,1000.0,11111.0,21002,tfr-166
01/10/2021,2000.0,11111.0,11112,tfr-167
04/10/2021,1000.0,11111.0,21002,tfr-168
04/10/2021,900.0,11111.0,19001,tfr-169
04/10/2021,250.0,11111.0,11113,tfr-170
05/10/2021,2100.0,11111.0,21002,tfr-171
06/10/2021,1000.0,11111.0,11112,tfr-172
07/10/2021,7000.0,11111.0,11112,tfr-173
07/10/2021,1000.0,11111.0,11112,tfr-174
08/10/2021,2500.0,11111.0,21002,tfr-175
08/10/2021,1500.0,11111.0,21002,tfr-176
11/10/2021,900.0,11111.0,19001,tfr-177
11/10/2021,250.0,11111.0,11113,tfr-178
12/10/2021,3000.0,11111.0,11112,tfr-179
12/10/2021,1000.0,11111.0,21002,tfr-180
13/10/2021,3000.0,11111.0,11112,tfr-181
13/10/2021,1000.0,11111.0,11112,tfr-182
14/10/2021,3000.0,11111.0,11112,tfr-183
14/10/2021,2000.0,11111.0,21002,tfr-184
14/10/2021,1000.0,11111.0,11112,tfr-185
15/10/2021,5000.0,11111.0,11112,tfr-186
15/10/2021,4276.0,11111.0,11815,tfr-187
15/10/2021,2682.0,11111.0,11815,tfr-188
15/10/2021,2507.3,11111.0,11815,tfr-189
15/10/2021,2503.65,11111.0,11815,tfr-190
15/10/2021,2445.65,11111.0,11815,tfr-191
15/10/2021,2427.3,11111.0,11815,tfr-192
15/10/2021,2346.15,11111.0,11815,tfr-193
15/10/2021,2147.3,11111.0,11815,tfr-194
15/10/2021,2142.65,11111.0,11815,tfr-195
15/10/2021,1789.0,11111.0,11815,tfr-196
15/10/2021,1000.0,11111.0,11112,tfr-197
15/10/2021,1000.0,11111.0,21002,tfr-198
18/10/2021,1000.0,11111.0,11112,tfr-199
18/10/2021,1000.0,11111.0,21002,tfr-200
18/10/2021,1125.0,11111.0,19001,tfr-201
18/10/2021,250.0,11111.0,11113,tfr-202
18/10/2021,3000.0,11111.0,11112,tfr-203
19/10/2021,1010.0,11111.0,11112,tfr-204
19/10/2021,1000.0,11111.0,21002,tfr-205
