*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate
ZZZ0001,WanmaLab Pendulum,.,"£6,990.00",50001.0,N-T,.,"£10,550.00",43003.0,BAS Excluded
ZZZ319,Flat Bed Trolley,.,£46.00,50001.0,GST,.,£65.00,43003.0,BAS Excluded
ZZZ0003,Wessex Tortus 3,.,"£7,570.00",50001.0,N-T,.,"£9,950.00",43003.0,BAS Excluded
ZZZ104,Wessex Release Plunger Spring,.,£1.50,50001.0,GST,.,£2.00,43003.0,BAS Excluded
ZZZ114,Pendulum Release Catch,.,£105.62,50001.0,GST,.,£148.00,43003.0,BAS Excluded
ZZZ136,Pendulum Locking Knob,.,£87.96,50001.0,GST,.,£123.00,43003.0,BAS Excluded
ZZZ105,Wessex Release Plunger,.,£42.93,50001.0,GST,.,£61.00,43003.0,BAS Excluded
ZZZ132,Pendulum Arm,.,£70.10,50001.0,GST,.,£78.00,43003.0,BAS Excluded
ZZZ133,Pointer Counter Balance,.,£106.10,50001.0,GST,.,£245.00,43003.0,BAS Excluded
ZZZ138,Pendulum Clamping Nut,.,£123.90,50001.0,GST,.,£174.00,43003.0,BAS Excluded
ZZZ100,Wessex Verification Tile Jig,Wessex Verification Testing Jig,£420.00,50001.0,N-T,Wessex Verification Testing Jig,£495.00,43003.0,BAS Excluded
ZZZ2001,4S (96) Rubber Slider,.,£61.50,50001.0,N-T,.,£95.00,43003.0,BAS Excluded
ZZZ2004,TRS Float Glass,.,£115.00,50001.0,GST,.,£185.00,43003.0,BAS Excluded
ZZZ0005,WessexPendulum Calibration Rig,.,"£2,585.00",50001.0,GST,.,"£3,300.00",43003.0,BAS Excluded
ZZZ2005,Pavigres Tile,.,£155.00,50001.0,GST,.,£185.00,43003.0,BAS Excluded
ZZZ101,Wessex Slider Humpback Pin,.,£0.44,50001.0,GST,.,£2.00,43003.0,BAS Excluded
ZZZ102,Wessex Slider Spring,Wessex Pendulum Slider Spring,£19.60,50001.0,N-T,Wessex Pendulum Slider Spring,£28.00,43003.0,BAS Excluded
ZZZ103,Wessex Slider Washer,.,£0.36,50001.0,GST,.,£1.00,43003.0,BAS Excluded
