Narration,Date,Description,AccountCode,TaxRate,Amount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,LineAmountType,Status
GJ000000,01/07/2021,End of Year Adjustment,39000,BAS Excluded,280751.14,,,,,Exclusive,DRAFT
GJ000000,01/07/2021,End of Year Adjustment,38000,BAS Excluded,-280751.14,,,,,Exclusive,DRAFT
GJ000277,01/07/2021,General interest Charge,60032,BAS Excluded,158.25,,,,,Exclusive,DRAFT
GJ000277,01/07/2021,General interest Charge,21103,BAS Excluded,-158.25,,,,,Exclusive,DRAFT
GJ000256,08/07/2021,Lodgement of June 21 BAS,21101,BAS Excluded,17691.0,,,,,Exclusive,DRAFT
GJ000256,08/07/2021,Lodgement of June 21 BAS,21102,BAS Excluded,-20822.0,,,,,Exclusive,DRAFT
GJ000256,08/07/2021,Lodgement of June 21 BAS,21105,BAS Excluded,5903.0,,,,,Exclusive,DRAFT
GJ000256,08/07/2021,Lodgement of June 21 BAS,21203,BAS Excluded,12188.0,,,,,Exclusive,DRAFT
GJ000256,08/07/2021,Lodgement of June 21 BAS,21103,BAS Excluded,-14960.0,,,,,Exclusive,DRAFT
GJ000211,11/08/2021,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions,43003,BAS Excluded,-3850.0,,,,,Exclusive,DRAFT
GJ000211,11/08/2021,Adjusting Inventory and Equipment account as a pendulum used was sol to Concrete & Flooring Solutions,61708,BAS Excluded,3850.0,,,,,Exclusive,DRAFT
GJ000257,12/08/2021,Lodgement of July 21 BAS,21101,BAS Excluded,15656.0,,,,,Exclusive,DRAFT
GJ000257,12/08/2021,Lodgement of July 21 BAS,21102,BAS Excluded,-5688.0,,,,,Exclusive,DRAFT
GJ000257,12/08/2021,Lodgement of July 21 BAS,21203,BAS Excluded,12970.0,,,,,Exclusive,DRAFT
GJ000257,12/08/2021,Lodgement of July 21 BAS,21103,BAS Excluded,-22938.0,,,,,Exclusive,DRAFT
GJ000258,13/09/2021,Lodgement of September 2022 BAS,21101,BAS Excluded,14898.0,,,,,Exclusive,DRAFT
GJ000258,13/09/2021,Lodgement of September 2022 BAS,21102,BAS Excluded,-3138.0,,,,,Exclusive,DRAFT
GJ000258,13/09/2021,Lodgement of September 2022 BAS,21203,BAS Excluded,12749.0,,,,,Exclusive,DRAFT
GJ000258,13/09/2021,Lodgement of September 2022 BAS,21103,BAS Excluded,-24509.0,,,,,Exclusive,DRAFT
