*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Citygreen,,,,,,,,,,2253.0,,01/07/2021,01/07/2021,,,Indoor plants maintenance,1,65,,61107.0,GST on Expenses,6.5,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,2254.0,,01/07/2021,01/07/2021,,,Monthly back up,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
Office Works,,,,,,,,,,2259.0,,01/07/2021,01/07/2021,,,Stationary,1,106.34,,61301.0,GST on Expenses,10.63,Job,,,,,
Tyssen Design,,,,,,,,,,2262.0,,01/07/2021,01/07/2021,,,Website maintenance,1,150.41,,61003.0,GST on Expenses,15.04,Job,,,,,
Brisbane City Council- Rates,,,,,,,,,,2269.0,,01/07/2021,01/07/2021,,,July- September 2021 rates,1,"1,060.1",,61104.0,BAS Excluded,0.00,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2270.0,,01/07/2021,01/07/2021,,,12 months monthly registration 121BD6,1,728.23,,62004.0,GST on Expenses,72.82,Job,,,,,
Brisbane City Council- Rates,,,,,,,,,,2280.0,,01/07/2021,01/07/2021,,,Rates GTCC from 01-07-2021 to 30-09-2021,1,690.05,,62617.0,BAS Excluded,0.00,Job,,,,,
Better Online ,,,,,,,,,,2324.0,,01/07/2021,01/07/2021,,,"Cloud online monthly services. (Invoice dated 15-06-2021) by the time I got the invoice, the June GST was already reported. ",1,257.4,,61001.0,GST on Expenses,25.74,Job,,,,,
Manly Boathouse Restaurant & Bar,,,,,,,,,,2325.0,,01/07/2021,01/07/2021,,,Mid year lunch for employees,1,"1,001.36",,61801.0,GST on Expenses,100.14,Job,,,,,
Manly Boathouse Restaurant & Bar,,,,,,,,,,2325.0,,01/07/2021,01/07/2021,,,Credit Card surcharge,1,18.17,,61801.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,4080.0,,01/07/2021,01/07/2021,,,Fuel all cars from 1 March to 31  March 2024,1,"3,647.41",,62001.0,GST on Expenses,364.74,Job,,,,,
Workcover Queensland,,,,,,,,,,2255.0,,02/07/2021,02/07/2021,,,Workcover premium 2021-2022,1,"4,657.25",,61402.0,GST on Expenses,465.73,Job,,,,,
Workcover Queensland,,,,,,,,,,2255.0,,02/07/2021,02/07/2021,,,Stamp duty workcover,1,256.15,,61402.0,BAS Excluded,0.00,Job,,,,,
Laboratorio de Resbaladicidad SL,,,,,,,,,,2273.0,,05/07/2021,05/07/2021,,,Shippping pendulum on 10-06-2021,1,617.36,,60027.0,BAS Excluded,0.00,Job,,,,,
Garden Express,,,,,,,,,,2271.0,,07/07/2021,07/07/2021,,,Outdoor plant maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
National Storage- Bohle,,,,,,,,,,2272.0,,07/07/2021,07/07/2021,,,Townsville storage 6 months rental,1,256.36,,61615.0,GST on Expenses,25.64,Job,,,,,
Australia Securities & Investment Commission,,,,,,,,,,2276.0,,07/07/2021,07/07/2021,,,ASIC Annual renewal,1,248.18,,60012.0,GST on Expenses,24.82,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,2278.0,,07/07/2021,07/07/2021,,,MYOB monthly subscription,1,425.75,,60017.0,GST on Expenses,42.58,Job,,,,,
PricewaterhouseCoopers (PWC),,,,,,,,,,2282.0,,07/07/2021,07/07/2021,,,Auditor training course,1,"1,359.09",,61804.0,GST on Expenses,135.91,Job,,,,,
Origin Energy,,,,,,,,,,2286.0,,07/07/2021,07/07/2021,,,Lota electricity bill,1,172.46,,61103.0,GST on Expenses,17.25,Job,,,,,
Beakon Pty Ltd,,,,,,,,,,2283.0,,08/07/2021,08/07/2021,,,License fee for undertaking work as a contractor for Brisbane Airport,1,195.45,,60012.0,GST on Expenses,19.55,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,2275.0,,09/07/2021,09/07/2021,,,Endorsement/alteration advice for the correction & additional equipment as requested.,1,941.47,,61401.0,GST on Expenses,94.15,Job,,,,,
Xero Australia Pty Ltd,,,,,,,,,,2277.0,,10/07/2021,10/07/2021,,,Xero monthly subscription for GTCC,1,24.55,,62623.0,GST on Expenses,2.45,Job,,,,,
Seek Limited,,,,,,,,,,2279.0,,12/07/2021,12/07/2021,,,Technician advertisement position,1,750,,60018.0,GST on Expenses,75,Job,,,,,
LMM Holdings Pty Ltd,,,,,,,,,,2281.0,,12/07/2021,12/07/2021,,,Car service 121 DB6,1,177.27,,62005.0,GST on Expenses,17.73,Job,,,,,
LMM Holdings Pty Ltd,,,,,,,,,,2281.0,,12/07/2021,12/07/2021,,,Bank surcharge,1,3.22,,62005.0,BAS Excluded,0.00,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,2284.0,,12/07/2021,12/07/2021,,,Car service 75.000 kms ,1,449.09,,62005.0,GST on Expenses,44.91,Job,,,,,
Sullivan and Nicolaides ,,,,,,,,,,2285.0,,13/07/2021,13/07/2021,,,COVID test for Mick to travel to New Zealand,1,131.82,,61515.0,GST on Expenses,13.18,Job,,,,,
Bridgestone Select,,,,,,,,,,2287.0,,15/07/2021,15/07/2021,,,2 tyres for 589 YSF,1,551.82,,62005.0,GST on Expenses,55.18,Job,,,,,
Rapid Global,,,,,,,,,,2288.0,,16/07/2021,16/07/2021,,,Buying Mirvac credits for induction Sam Brunton at Kawana Shopping world. (Reimbursed to Natalie Cameron),1,20,,60101.0,GST on Expenses,2,Job,,,,,
Office Works,,,,,,,,,,2290.0,,16/07/2021,16/07/2021,,,Stationary for ISTS,1,104.91,,61301.0,GST on Expenses,10.49,Job,,,,,
Garden Express,,,,,,,,,,2291.0,,19/07/2021,19/07/2021,,,Backyard maintenance,1,80,,61107.0,GST on Expenses,8,Job,,,,,
The Body Corporate for The Workstores Wakerley,,,,,,,,,,2297.0,,20/07/2021,20/07/2021,,,Body Corporate fee for Walton Global,1,"1,123.33",,62610.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,2295.0,,22/07/2021,22/07/2021,,,Fuel all cars 23-06-2021 to 22-07-2021,1,"2,553.46",,62001.0,GST on Expenses,255.35,Job,,,,,
Department of Transport and Main Roads,,,,,,,,,,2296.0,,27/07/2021,27/07/2021,,,12 months vehicle registration 099ZYW (Jimni),1,728.23,,62004.0,GST on Expenses,72.82,Job,,,,,
Bartons Motors PTY LTD,,,,,,,,,,2298.0,,27/07/2021,27/07/2021,,,Car service at 75.000kms 215XRP,1,500,,62005.0,GST on Expenses,50,Job,,,,,
Big Blue Self Storage,,,,,,,,,,2299.0,,27/07/2021,27/07/2021,,,Storage box 6 months in Cairns original value $540. $27 discount,1,466.36,,61606.0,GST on Expenses,46.64,Job,,,,,
Big Blue Self Storage,,,,,,,,,,2299.0,,27/07/2021,27/07/2021,,,.,1,0.00,,61606.0,BAS Excluded,0.00,Job,,,,,
