*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,Exchange Rate
 Materials Solutions Australia,,,,,,,,,,66222.0,Inv 48 Stripe,05/07/2021,05/07/2021,$73.00,ZZZ1121,Munro Pointer,1.0,73.0000,0%,43003.0,GST on Income,7.30,,,,,,,
 Materials Solutions Australia,,,,,,,,,,66222.0,Inv 48 Stripe,05/07/2021,05/07/2021,$73.00,,Freight Charge,1.0,60.0,0,,GST,0,,,,,,,
 Surface Performance Ltd,,,,,,,,,,66271.0,Inv 49 Stripe,09/07/2021,09/07/2021,"$4,995.00",ZZZ4009,Pendulum Calibration Procedure,1.0,"4,995.0000",0%,43003.0,GST Free Income,.00,,,,,,,
 SlipAware,,,,,,,,,,66324.0,Inv 50 Stripe,14/07/2021,14/07/2021,$95.00,ZZZ2001,4S (96) Rubber Slider,1.0,95.0000,0%,43003.0,GST on Income,9.50,,,,,,,
 SlipAware,,,,,,,,,,66324.0,Inv 50 Stripe,14/07/2021,14/07/2021,$95.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66487.0,,05/08/2021,05/08/2021,$50.00,ZZZ2006,3M Lapping Film,10.0,5.0000,0%,43003.0,GST on Income,5.00,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66487.0,,05/08/2021,05/08/2021,$40.00,ZZZ1101,Munro Felt Friction Ring,2.0,20.0000,0%,43003.0,GST on Income,4.00,,,,,,,
 Sliptest Australia Pty Ltd,,,,,,,,,,66487.0,,05/08/2021,05/08/2021,$115.70,ZZZ1122,Munro Handle SA,1.0,115.7000,0%,43003.0,GST on Income,11.57,,,,,,,
 Zerofal Ltd,,,,,,,,,,66500.0,Inv 52 Stripe,09/08/2021,09/08/2021,$285.00,ZZZ2001,4S (96) Rubber Slider,3.0,95.0000,0%,43003.0,GST on Income,28.50,,,,,,,
 Zerofal Ltd,,,,,,,,,,66500.0,Inv 52 Stripe,09/08/2021,09/08/2021,$285.00,,Freight Charge,1.0,20.0,0,,GST,0,,,,,,,
