Item Number,Item Name,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
02-V8 ali,Port Aluminium V8Heads,,,41110,,,1650.00,,GST,X,0,,0,0,0,0,0,1650,1210,1210,1210,1210,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
BUL-01,Port Aluminium  V8 Heads Trade,,,41110,,,1450.00,,GST,X,0,,0,0,0,0,0,1450,1210,1210,1210,1210,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-V8 iron trade,Port V8 Iron Heads Trade,,,41110,,,1510.00,,GST,X,0,,0,0,0,0,0,1510,1510,1510,1510,1510,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-V8 iron,Port Iron V8 heads,,,41110,,,1950.00,,GST,X,0,,0,0,0,0,0,1950,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-4cyl trade,Port 4cyl Head trade,,,41110,,,805.00,,GST,X,0,,0,0,0,0,0,805,1950,1950,1950,1950,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-4 cyl,port 4 cyl Head,,,41110,,,990.00,,GST,X,0,,0,0,0,0,0,990,805,805,805,805,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-6cyl-trade,Port 6cyl Head Trade,,,41110,,,1210.00,,GST,X,0,,0,0,0,0,0,1210,990,990,990,990,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
02-6cyl,Port 6cyl Head,,,41110,,,1650.00,,GST,X,0,,0,0,0,0,0,1650,1210,1210,1210,1210,1210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-flow-test,Flow Test,,,41110,,,143.00,,GST,X,0,,0,0,0,0,0,143,1650,1650,1650,1650,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-flw-test-trade,Flow Test Trade,,,41110,,,130.00,,GST,X,0,,0,0,0,0,0,130,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-dou-spr,Mach. For Double Valve Springs,,,41110,,,2.75,,GST,X,0,,0,0,0,0,0,2.75,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-dou-spr-trd,Mach. double springs Trade,,,41110,,,45.00,,GST,X,0,,0,0,0,0,0,45,61.5,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-dis-GB,Disassemble & Glass Bead,,,41110,,,61.50,,GST,X,0,,0,0,0,0,0,61.5,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-dis-GB-trd,Disassemble & Glass Bead trade,,,41110,,,45.00,,GST,X,0,,0,0,0,0,0,45,61.5,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-c&a,Debure/Clean & Assemble,,,41110,,,132.00,,GST,X,0,,0,0,0,0,0,132,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-c&a-trd,Debure/Clean & Assemble Trade,,,41110,,,62.50,,GST,X,0,,0,0,0,0,0,62.5,61.5,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-cs,Performance multi angle seats ,,,41110,,,440.00,1,GST,X,0,,0,0,0,0,0,440,82.2,82.2,82.2,82.2,82.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-cs-trd,Cut Seat 3-Angle Special Trade,,,41110,,,14.30,Each,GST,X,0,,0,0,0,0,0,14.3,14.5,14.5,14.5,14.5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-4cyl,Face Head 4cylinder,,,41110,,,143.00,Each,GST,X,0,,0,0,0,0,0,143,90,14.5,14.5,14.5,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-020+,Face Heads .020'+,,,41110,,,143.00,Each,GST,X,0,,0,0,0,0,0,143,61.5,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-6cyl,Face Head 6cylinder,,,41110,,,143.00,Each,GST,X,0,,0,0,0,0,0,143,152,98,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-020+-trd,Face Heads .020'+ Trade,,,41110,,,45.00,Each,GST,X,0,,0,0,0,0,0,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-val,Face Valves,,,41110,,,5.50,Each,GST,X,0,,0,0,0,0,0,5.5,98,98,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-fac-val-trd,Face Valves Trade,,,41110,,,5.00,Each,GST,X,0,,0,0,0,0,0,5,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-bc-val,Back Cut Valves,,,41110,,,3.30,Each,GST,X,0,,0,0,0,0,0,3.3,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-bac-val-trd,Back Cut Valves Trade,,,41110,,,2.90,Each,GST,X,0,,0,0,0,0,0,2.9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-insert,Supply & Fit Cast Inserts,,,41110,,,44.00,Each,GST,X,0,,0,0,0,0,0,44,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-insert-trd,Supply & Fit Inserts Trade,,,41110,,,18.13,Each,GST,X,0,,0,0,0,0,0,18.13,23.55,23.55,23.55,23.55,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-mr-guide,Move And Reset Valve Guides,,,41110,,,3.00,Each,GST,X,0,,0,0,0,0,0,3,18.125,18.125,18.125,18.125,18.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
06-mr-guide-trd,Move & Reset Valve Guide Trade,,,41110,,,2.20,Each,GST,X,0,,0,0,0,0,0,2.2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
