*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate
02-V8 ali,Port Aluminium V8Heads,.,,,,.,1650.0,41110.0,GST on Income
BUL-01,Port Aluminium  V8 Heads Trade,.,,,,.,1450.0,41110.0,GST on Income
02-V8 iron trade,Port V8 Iron Heads Trade,.,,,,.,1510.0,41110.0,GST on Income
02-V8 iron,Port Iron V8 heads,.,,,,.,1950.0,41110.0,GST on Income
02-4cyl trade,Port 4cyl Head trade,.,,,,.,805.0,41110.0,GST on Income
02-4 cyl,port 4 cyl Head,.,,,,.,990.0,41110.0,GST on Income
02-6cyl-trade,Port 6cyl Head Trade,.,,,,.,1210.0,41110.0,GST on Income
02-6cyl,Port 6cyl Head,.,,,,.,1650.0,41110.0,GST on Income
06-flow-test,Flow Test,.,,,,.,143.0,41110.0,GST on Income
06-flw-test-trade,Flow Test Trade,.,,,,.,130.0,41110.0,GST on Income
06-dou-spr,Mach. For Double Valve Springs,.,,,,.,2.75,41110.0,GST on Income
06-dou-spr-trd,Mach. double springs Trade,.,,,,.,45.0,41110.0,GST on Income
06-dis-GB,Disassemble & Glass Bead,.,,,,.,61.5,41110.0,GST on Income
06-dis-GB-trd,Disassemble & Glass Bead trade,.,,,,.,45.0,41110.0,GST on Income
06-c&a,Debure/Clean & Assemble,.,,,,.,132.0,41110.0,GST on Income
06-c&a-trd,Debure/Clean & Assemble Trade,.,,,,.,62.5,41110.0,GST on Income
06-cs,Performance multi angle seats ,.,,,,.,440.0,41110.0,GST on Income
06-cs-trd,Cut Seat 3-Angle Special Trade,.,,,,.,14.3,41110.0,GST on Income
06-fac-4cyl,Face Head 4cylinder,.,,,,.,143.0,41110.0,GST on Income
06-fac-020+,Face Heads .020'+,.,,,,.,143.0,41110.0,GST on Income
06-fac-6cyl,Face Head 6cylinder,.,,,,.,143.0,41110.0,GST on Income
06-fac-020+-trd,Face Heads .020'+ Trade,.,,,,.,45.0,41110.0,GST on Income
06-fac-val,Face Valves,.,,,,.,5.5,41110.0,GST on Income
06-fac-val-trd,Face Valves Trade,.,,,,.,5.0,41110.0,GST on Income
06-bc-val,Back Cut Valves,.,,,,.,3.3,41110.0,GST on Income
06-bac-val-trd,Back Cut Valves Trade,.,,,,.,2.9,41110.0,GST on Income
06-insert,Supply & Fit Cast Inserts,.,,,,.,44.0,41110.0,GST on Income
06-insert-trd,Supply & Fit Inserts Trade,.,,,,.,18.13,41110.0,GST on Income
06-mr-guide,Move And Reset Valve Guides,.,,,,.,3.0,41110.0,GST on Income
06-mr-guide-trd,Move & Reset Valve Guide Trade,.,,,,.,2.2,41110.0,GST on Income
06-dr-steam,Drill Steam Holes For 400chev,.,,,,.,80.0,41110.0,GST on Income
06-dr-steam-trd,Drill Steam Holes 400  Trade,.,,,,.,61.5,41110.0,GST on Income
06-hone-guide,"R&R New Guides, Ream & Hone",.,,,,.,21.0,41110.0,GST on Income
06-hone-guide-trd,Hone Valve Guides Trade,.,,,,.,6.25,41110.0,GST on Income
