Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Currency Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
10000,Assets,H,"£760,283.49",Asset,,,,N,,,,,,,,,,,,Y
11000,Current Assets,H,"£433,663.88",Asset,,,,N,,,,,,,,,,,,Y
11100,NAB Unit Trust - 238,,"£6,749.94",Bank,1540,N-T,,N,,083-668,587200238,AGRICULTURAL AUTOMATION PTY LTD,AGRICULTURAL AUT,Y,NAB,311206,N,083-668 58-720-0238\r\nAgricultural Automation Unit Trust,,
11200,Rural Environment 9061,,£0.00,Bank,873929,N-T,,N,,083-668,754459061,AGRICULTURAL AUTOMATION P/L,AG AUTO NO 2,Y,NAB,1,Y,Ag Auto money in REC bank account for Ag Auto use.,,
11201,Square Undeposited Funds,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11300,Square Balance,,"-£6,139.48",Bank,0,N-T,,N,,,,,,N,,,N,,,
11400,Square Balance Adjustments,,£0.00,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
11500,Square Cash Clearing,,£0.00,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
11600,Square Other Payment Clearing,,£0.00,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
11700,Square Held Funds,,£0.00,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
11800,Smart Send Account,,£0.00,Bank,0,N-T,,N,,,,,,N,,,N,,,
11900,Petty Cash,,£0.00,Bank,0,N-T,,N,,,,,,N,,,N,,,
12000,Contra Clearing Account,,£0.00,Bank,0,N-T,,N,,,,,,N,,,N,,,
12100,Shop Till,,£403.00,Bank,5703,N-T,,N,,,,,,N,,,N,,,
12200,Undeposited Funds - MYOB Online Payments,,£105.02,Bank,55,N-T,,N,,000-000,0,ARGRICULTURAL AUTOMATION,ARGRICULTURAL AU,Y,NAB,1,N,,,
