Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
TNT Express,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5934,01/07/2023,66734744 wk5,,P,domestic freight week 5,61020,$678.85,,,Purchase; TNT Express,,GST,$67.88,$0.00,GST,$0.00,B,,,5,1,30,0,$746.73,,*None,969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfitzner Property Pty Ltd,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5998,01/07/2023,586,,P,July rent 6 belfree,61081,"$9,166.66",,,Purchase; Pfitzner Property Pty Ltd,,GST,$916.67,$0.00,GST,$0.00,B,,,5,1,30,0,"$10,083.33",,*None,3020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racetech Performance,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6107,01/07/2023,INV-2159,,P,Tuning Anthonu Shaws car,58000,"$3,604.55",,,Purchase; Racetech Performance,,GST,$360.45,$0.00,GST,$0.00,B,,,5,1,30,0,"$3,965",,*None,3174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5923,03/07/2023,59393934 050901,,P,archive boxes and paper trays,61060,$44.48,,,Purchase; Officeworks,,GST,$4.45,$0.00,GST,$0.00,B,,,5,1,30,0,$48.93,,*None,952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kudos Motorsport,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5947,03/07/2023,KMS00075173,,P,parts,51111,$88.8,,Thank you!,Purchase; Kudos Motorsport,,GST,$8.88,$0.00,GST,$0.00,B,,,5,1,30,0,$97.68,,*None,1274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mile End Office Furniture,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5948,03/07/2023,121668,,P,partitions and office desk,61060,"$2,225.45",,Thank you!,Purchase; Mile End Office Furniture,,GST,$222.55,$0.00,GST,$0.00,B,,,5,1,30,0,"$2,448",,*None,3145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Print,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5950,03/07/2023,210298574,,P,business cards,61060,$10.91,,Thank you!,Purchase; Vista Print,,GST,$1.09,$0.00,GST,$0.00,B,,,5,1,30,0,$12,,*None,3146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Building Supplies,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5951,03/07/2023,201028275,,A,zip ties,61100,$27.21,,Thank you!,Purchase; SA Building Supplies,,GST,$2.72,$0.00,GST,$0.00,B,,,5,1,30,0,$29.93,,*None,2964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supagas,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5952,03/07/2023,C388434-6-2023,,P,gas,60120,$173.49,,Thank you!,Purchase; Supagas,,GST,$17.35,$0.00,GST,$0.00,B,,,5,1,30,0,$190.84,,*None,1028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Performance Parts,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,5964,03/07/2023,FB-6785,,P,Cyl Head Oil Drains,51111,$440.5,,JOB NO:,Purchase; Ross Performance Parts,,GST,$44.05,$0.00,GST,$0.00,B,,,5,1,30,0,$484.55,,*None,1312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surman Metals,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6085,03/07/2023,I275176,,P,,51120,$127.6,,,Purchase; Surman Metals,,GST,$12.76,$0.00,GST,$0.00,B,,,5,1,30,0,$140.36,,*None,1039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP,,Aussie Billet Pty Ltd current,6 Belfree Drive,Green Fields 5107,,X,6199,03/07/2023,S_#12130,,P,Head Drains,51111,"$1,130.34",,JOB NO:,Purchase; PRP,,GST,$113.03,$0.00,GST,$0.00,B,,,5,1,30,0,"$1,243.37",,*None,1728
