Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Cost Per Hour,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Tax Code,Credit Limit,Tax ID No.,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,Statement Text,Remittance Method,Remittance Address,A.B.N. ,A.B.N. Branch,Volume Discount %,Sales/Purchase Layout,Account,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Supplier's Tax Code,Report Taxable Payments,Payment Memo,Invoice/Purchase Order Delivery,Record ID
Ken Ingram,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,1
Sal-Jara Services Pty Ltd,,*None,N,P.O. bOX 367,Heathcote,,,,Vic,3523,,03 5433 3789,418131619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,90062613585,,0,N,,,,,GST,N,N,,P,2
Peninsula Bull Bars,,*None,N,114-118 Nepean highway ,,,,Dromana,Vic,3936,Australia,03 5987 1258,,,03 5987 3378,,,,,P.O. Box 51,,,,Dromana,Vic,3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,013-740,314804217,TRIPLICATA P/L T/AS PENINSULA BU,AG AUTOMATION,P,,43051388135,,0,S,,,,AgAutoOrderForm,GST,N,N,,P,3
Telstra,,*None,N,Account No. 251 9650 400,See Card details for phone Numbers,,,,,,Current Ref: No. 149 300 438,,LineTest 1300 863 878,Faults 13 29 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tomwyn 5979 1666 Main No. 5979 3728 Line 2 5779 1329 Line 3 & Internet 5979 3200 Fax & National Online,,,,,,,,0,0,2,0,15,0,GST,0,,,,,,,,,,P,,33051775556,,0,S,Jun-00,,,AgAutoOrderForm,GST,N,N,,P,4
BOC Gases,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,5
Begley Hobba & Manton Pty Ltd,,*None,N,P.O. Box 1076,,,,Tullamarine,Vic,3043,Australia,03 9209 0899,03 9209 0899,,03 9209 0837,LPereira@begleyhobba.com.au,,,,"Unit 9, M.I.A.C International Drive",,,,Tullamarine,Vic,3043,,,,,,lpereira@begleyhobba.com.au,,,,,,,,,,,,,,,,kpatterson@begleyhobba.com.au,,,,,,,,,,,,,,,,spicknell@begleyhobba.com.au,,,,,,,,,,,,,,,,accounts@begleyhobba.com.au,,,,F & M Logistics-Container Freight company 03 9931 0977 ADFS Freight - For pick up sbegley@begleyhobba.com.au,A,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,083-091,26508451,BEGLEY HOBBA & MANTON P/L,AG AUTOMATION,P,,58363065386,,0,S,May-00,,,,GST,N,N,,P,6
D.B. Action Packaging Pty Ltd,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,FRE,0,,,,,,,,,,P,,,,0,N,,,,,FRE,N,N,,P,7
Dromana Printing and Stationery,,*None,N,Factory 1,8 Collins Road,,,Dromana,Vic,3936,Australia,03 5987 2019,,,03 5987 2921,design@dromanaprinting.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-617,515767905,DROMANA PRINTING & STATIONERY,AG AUTOMATION,P,,89004986136,,0,S,Jun-00,,,,GST,N,N,,P,8
T.P.F. Enterprises Pty Ltd,,*None,N,RMB 1420 Sheehans Road,,,,,Red Hill,3937,,59892901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,22243715672,,0,N,,,,,GST,N,N,,P,9
Optus,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,95088011536,,0,N,,,,,GST,N,N,,P,10
Dromana Tyre and Service Centre,,*None,N,8-12 Beach Street,,,,Dromana,Vic,3936,Australia,03 5987 2745,,,03 5981 8180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,083-617,515767892,DROMANA TYRE & SERVICE CENTRE P/,AG AUTOMATION,P,,76006959691,,0,N,,,,,GST,N,N,,P,11
