*Code,*Name,*Type,*Tax Code,Description,Account Type
10000,Assets,Current Asset,BAS Excluded,,Asset
11000,Current Assets,Current Asset,BAS Excluded,,Asset
11100,Cash On Hand,Current Asset,BAS Excluded,,Asset
11110,Cash At Bank,Bank,BAS Excluded,,Bank
11120,Payroll Cheque Account,Bank,BAS Excluded,,Bank
11130,ANZ Infracorr Cons P/L - 97636,Bank,BAS Excluded,,Bank
11135,ANZ Infracorr Cons P/L - 07146,Bank,BAS Excluded,,Bank
11136,ANZ Offset Account,Bank,BAS Excluded,,Bank
11140,Petty Cash,Bank,BAS Excluded,,Bank
11145,Cash on Hand,Bank,BAS Excluded,,Bank
11150,Provision Account,Bank,BAS Excluded,,Bank
11160,Investment Account,Bank,BAS Excluded,,Bank
11180,Undeposited Funds,Bank,BAS Excluded,,Bank
11190,Electronic Clearing Account,Bank,BAS Excluded,,Bank
11199,Receivables,Current Asset,BAS Excluded,,Asset
11200,Trade Debtors,Accounts Receivable,BAS Excluded,,Accounts Receivable
11201,Sundry Debtors,Current Asset,BAS Excluded,,Other Current Asset
11202,Deposits Paid,Current Asset,BAS Excluded,,Other Current Asset
11203,Deposit paid for car,Current Asset,BAS Excluded,,Other Asset
11204,Prepayment - Trendspek,Current Asset,BAS Excluded,,Other Current Asset
11205,Prepayments - Other Creditors,Current Asset,BAS Excluded,,Other Current Asset
11206,Loan at call - Dean Ferguson,Current Asset,BAS Excluded,DF Borrowings from Company,Other Asset
11207,Equipment prepay,Current Asset,BAS Excluded,,Other Asset
11210,Less Prov'n for Doubtful Debts,Current Asset,BAS Excluded,,Other Asset
11240,Godson Family Trust,Current Asset,BAS Excluded,,Other Asset
11249,Directors Loans,Current Asset,BAS Excluded,,Asset
11250,Loan - 2020 Directors loan,Current Asset,BAS Excluded,,Other Asset
11251,Loan - 2021 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11252,Loan - 2012 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11253,Loan - 2013 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11254,Loan - 2014 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11255,Loan - 2015 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11256,Loan - 2016 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11257,Loan - 2017 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11258,Loan - 2018 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11259,Loan- 2019 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11260,Loan - Ian & Jenny Godson,Current Asset,BAS Excluded,,Other Asset
11261,Loan - Employee advances,Current Asset,BAS Excluded,,Other Asset
11262,Loan- 2022 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11263,Loan- 2023 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11264,Loan - 2022 Directors Loan,Current Asset,BAS Excluded,,Other Asset
11265,Loan - 2024 Director Loan,Current Asset,BAS Excluded,,Other Asset
11266,Loan - 2025 Director Loan,Current Asset,BAS Excluded,,Other Asset
11270,Sundry Debtor,Current Asset,BAS Excluded,,Other Asset
11300,Loans - Employee shareholders,Current Asset,BAS Excluded,,Asset
11301,Shareholder loan - D.Ferguson,Current Asset,BAS Excluded,,Other Asset
11302,Shareholder loan - J.Heath,Current Asset,BAS Excluded,,Other Asset
11303,Shareholder loan - A.Czerwinski,Current Asset,BAS Excluded,,Other Asset
11304,Shareholder loan - H.Matthey,Current Asset,BAS Excluded,,Other Asset
11305,Shareholder loan - B.Grey,Current Asset,BAS Excluded,,Other Asset
11306,Shareholder loan - D. Soliman,Current Asset,BAS Excluded,,Other Asset
11307,Shareholder Loan - N. Gaitz,Current Asset,BAS Excluded,,Other Asset
11308,Shareholder Loan - N. Way,Current Asset,BAS Excluded,,Other Asset
11309,Shareholder loan - D.Ross,Current Asset,BAS Excluded,,Other Asset
