Date,Bank,Reference,Amount,Invoice No,Exchange
6/7/2022,11170,ADJ-1,14.2,10364,
17/4/2023,21100,CR006991-2,85.25,10529,
8/7/2022,11111,CR006787-3,110.0,10390,
30/8/2024,11111,CR007303-4,115.5,10818,
7/2/2023,11111,CR006958-5,134.66,10512,
13/2/2023,11111,CR006961-6,134.66,10513,
13/2/2023,11111,CR006962-7,134.66,10514,
30/1/2024,11111,CR007144-8,264.0,10688,
16/3/2023,21100,CR006975-9,341.0,10519,
27/11/2023,11111,CR007106-10,396.0,10650,
8/9/2022,21100,CR006849-11,600.0,10434,
5/7/2022,11111,CR006781-12,638.0,10379,
6/7/2022,11111,CR006782-13,638.0,10380,
11/7/2022,11111,CR006788-14,638.0,10381,
13/7/2022,11111,CR006793-15,638.0,10382,
1/8/2022,11111,CR006816-16,638.0,10400,
9/8/2022,11111,CR006822-17,638.0,10397,
9/8/2022,11111,CR006821-18,638.0,10399,
18/8/2022,11111,CR006830-19,638.0,10398,
5/9/2022,11111,CR006845-20,638.0,10424,
8/9/2022,11111,CR006851-21,638.0,10421,
9/9/2022,11111,CR006852-22,638.0,10423,
4/10/2022,11111,CR006869-23,638.0,10442,
7/10/2022,11111,CR006874-24,638.0,10439,
10/10/2022,11111,CR006873-25,638.0,10441,
3/11/2022,11111,CR006892-26,638.0,10461,
9/11/2022,11111,CR006893-27,638.0,10463,
15/11/2022,11111,CR006899-28,638.0,10462,
18/11/2022,11111,CR006904-29,638.0,10464,
1/7/2022,11170,CR006771-30,695.2,10368,
15/4/2024,11111,CR007190-31,761.95,10704,
1/11/2022,11111,CR006886-32,770.0,10456,
23/10/2023,21100,CR007078-33,770.0,10645,
27/12/2023,11111,CR007122-34,792.0,10670,
6/5/2024,11111,CR007207-35,807.49,10726,
1/7/2024,21100,CR007248-36,825.0,10773,
27/7/2022,21100,CR006807-37,880.0,10388,
29/7/2022,21100,CR006810-38,1210.0,10389,
30/3/2023,11111,CR006981-39,423.5,10534,
30/3/2023,11111,CR006981-40,792.0,10532,
9/9/2024,13160,ADJ-41,1228.66,10808,
28/7/2023,13160,ADJ-42,1232.65,10562,
9/8/2022,21100,CR006819-43,1237.34,10391,
4/10/2022,11111,CR006868-44,638.0,10440,
4/10/2022,11111,CR006868-45,638.0,10422,
28/2/2025,21100,CR007444-46,1347.5,10943,
11/3/2024,21100,CR007168-47,1485.0,10699,
25/11/2022,11111,CR006907-48,1536.37,10460,
18/10/2023,21100,CR007074-49,1540.0,10634,
29/12/2023,21100,CR007124-50,1540.0,10668,
10/2/2023,11111,CR006960-51,1760.0,10511,
13/9/2024,21100,CR007311-52,1870.0,10795,
23/8/2022,11111,CR006834-53,2178.0,10414,
7/9/2023,11111,CR007065-54,2188.1,10617,
21/7/2022,21100,CR006798-55,2200.0,10387,
1/2/2023,21100,CR006947-56,2200.0,10508,
22/11/2024,21100,CR007378-57,2200.0,10879,
26/8/2022,11111,CR006840-58,2214.11,10415,
20/6/2023,21100,CR007014-59,2805.0,10576,
11/4/2024,21100,CR007189-60,2860.0,10729,
10/5/2024,21100,CR007213-61,2860.0,10743,
3/2/2023,11111,CR006957-62,2917.18,10509,
8/7/2024,21100,CR007260-63,2966.7,10790,
31/7/2024,21100,CR007277-64,2985.4,10788,
22/12/2022,21100,CR006925-65,2997.5,10445,
1/7/2024,21100,CR007249-66,3016.2,10791,
20/8/2024,21100,CR007293-67,3029.4,10786,
31/7/2024,21100,CR007276-68,3052.5,10789,
6/8/2024,21100,CR007285-69,3073.4,10787,
21/7/2023,21100,CR007041-70,3081.1,10592,
26/10/2023,11111,CR007082-71,3103.28,10632,
26/7/2022,11111,CR006805-72,3276.08,10369,
5/1/2024,21100,CR007131-73,3300.0,10657,
18/3/2024,21100,CR007173-74,3300.0,10717,
14/3/2025,21100,CR007459-75,3410.0,10952,
15/7/2024,21100,CR007264-76,3520.0,10757,
26/7/2024,11111,CR007273-77,3722.18,10803,
27/5/2024,11111,CR007226-78,3946.25,10750,
4/10/2024,21100,CR007334-79,4191.0,10842,
20/3/2023,11111,CR006976-80,4365.9,10538,
1/11/2024,21100,CR007357-81,4455.0,10853,
10/11/2023,21100,CR007090-82,4593.6,10647,
22/8/2022,21100,CR006832-83,4650.8,10409,
10/11/2023,11111,CR007092-84,4656.42,10565,
30/9/2022,11111,CR006862-85,4752.0,10416,
31/3/2023,11111,CR006982-86,1559.25,10539,
31/3/2023,11111,CR006982-87,3326.4,10537,
18/3/2024,21100,CR007172-88,4972.64,10692,
28/3/2025,21100,CR007464-89,5005.0,10970,
27/11/2023,11111,CR007105-90,5027.72,10651,
17/6/2024,21100,CR007238-91,5072.38,10751,
1/7/2024,11111,CR007252-92,5216.75,10765,
4/7/2023,21100,CR007023-93,5280.0,10566,
2/10/2024,21100,CR007331-94,5280.0,10833,
22/11/2024,21100,CR007372-95,5280.0,10883,
30/9/2022,21100,CR006860-96,5390.0,10435,
6/2/2024,11111,CR007149-97,5544.0,10689,
18/12/2023,21100,CR007115-98,5669.13,10655,
11/9/2024,11111,CR007310-99,5675.46,10809,
19/4/2024,21100,CR007192-100,5720.0,10737,
2/12/2022,11111,CR006913-101,5721.76,10483,
16/6/2023,21100,CR007012-102,5779.4,10560,
20/12/2024,21100,CR007393-103,5797.0,10907,
26/8/2022,11111,CR006839-104,5863.8,10360,
5/6/2024,21100,CR007229-105,5896.0,10753,
16/9/2024,21100,CR007315-106,5924.88,10819,
7/9/2022,21100,CR006848-107,6000.0,10434,
5/4/2024,11111,CR007188-108,6063.75,10716,
27/11/2024,21100,CR007379-109,6102.25,10876,
5/3/2024,11111,CR007165-110,6169.63,10698,
31/1/2025,21100,CR007422-111,6171.0,10931,
14/3/2025,21100,CR007460-112,6402.0,10957,
