*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
02-V8 ali,Port Aluminium V8Heads,,,,,,1650.00,41110,GST on Income,,
BUL-01,Port Aluminium  V8 Heads Trade,,,,,,1450.00,41110,GST on Income,,
02-V8 iron trade,Port V8 Iron Heads Trade,,,,,,1510.00,41110,GST on Income,,
02-V8 iron,Port Iron V8 heads,,,,,,1950.00,41110,GST on Income,,
02-4cyl trade,Port 4cyl Head trade,,,,,,805.00,41110,GST on Income,,
02-4 cyl,port 4 cyl Head,,,,,,990.00,41110,GST on Income,,
02-6cyl-trade,Port 6cyl Head Trade,,,,,,1210.00,41110,GST on Income,,
02-6cyl,Port 6cyl Head,,,,,,1650.00,41110,GST on Income,,
06-flow-test,Flow Test,,,,,,143.00,41110,GST on Income,,
06-flw-test-trade,Flow Test Trade,,,,,,130.00,41110,GST on Income,,
06-dou-spr,Mach. For Double Valve Springs,,,,,,2.75,41110,GST on Income,,
06-dou-spr-trd,Mach. double springs Trade,,,,,,45.00,41110,GST on Income,,
06-dis-GB,Disassemble & Glass Bead,,,,,,61.50,41110,GST on Income,,
06-dis-GB-trd,Disassemble & Glass Bead trade,,,,,,45.00,41110,GST on Income,,
06-c&a,Debure/Clean & Assemble,,,,,,132.00,41110,GST on Income,,
06-c&a-trd,Debure/Clean & Assemble Trade,,,,,,62.50,41110,GST on Income,,
06-cs,Performance multi angle seats ,,,,,,440.00,41110,GST on Income,,
06-cs-trd,Cut Seat 3-Angle Special Trade,,,,,,14.30,41110,GST on Income,,
06-fac-4cyl,Face Head 4cylinder,,,,,,143.00,41110,GST on Income,,
06-fac-020+,Face Heads .020'+,,,,,,143.00,41110,GST on Income,,
06-fac-6cyl,Face Head 6cylinder,,,,,,143.00,41110,GST on Income,,
06-fac-020+-trd,Face Heads .020'+ Trade,,,,,,45.00,41110,GST on Income,,
06-fac-val,Face Valves,,,,,,5.50,41110,GST on Income,,
06-fac-val-trd,Face Valves Trade,,,,,,5.00,41110,GST on Income,,
06-bc-val,Back Cut Valves,,,,,,3.30,41110,GST on Income,,
06-bac-val-trd,Back Cut Valves Trade,,,,,,2.90,41110,GST on Income,,
06-insert,Supply & Fit Cast Inserts,,,,,,44.00,41110,GST on Income,,
06-insert-trd,Supply & Fit Inserts Trade,,,,,,18.13,41110,GST on Income,,
06-mr-guide,Move And Reset Valve Guides,,,,,,3.00,41110,GST on Income,,
06-mr-guide-trd,Move & Reset Valve Guide Trade,,,,,,2.20,41110,GST on Income,,
06-dr-steam,Drill Steam Holes For 400chev,,,,,,80.00,41110,GST on Income,,
06-dr-steam-trd,Drill Steam Holes 400  Trade,,,,,,61.50,41110,GST on Income,,
06-hone-guide,"R&R New Guides, Ream & Hone",,,,,,21.00,41110,GST on Income,,
06-hone-guide-trd,Hone Valve Guides Trade,,,,,,6.25,41110,GST on Income,,
04-LS1-Rev-2080,REV  2.08 Stainless/Steel Val.,,,,,,31.20,41110,GST on Income,,
04-LS1-Rev-2080-trade,REV 2.08 S/Steel Valves Trade,,,,,,24.00,41110,GST on Income,,
04-LS1-rev-1575,REV 1.575 Stainles/Steel Valve,,,,,,31.20,41110,GST on Income,,
04-LS1-rev-1575-trade,REV 1.575 S/Steel Valve Trade,,,,,,24.00,41110,GST on Income,,
02-port-design,Master Port Research & develop,,,,,,850.00,41110,GST on Income,,
45,SR20 Valve Guides,,,,,,13.00,41110,GST on Income,,
46,SR20 Valve Guides Trade,,,,,,10.00,41110,GST on Income,,
06-rh-guide,Ream & Hone Guides,,,,,,9.38,41110,GST on Income,,
06-rh-guide-trd,Ream Valve Guides Trade,,,,,,8.00,41110,GST on Income,,
06-rr-guide,Remove & Replace Guides,,,,,,7.15,41110,GST on Income,,
06-rr-guide-trd,Remove & Replace Guides Trade,,,,,,5.90,41110,GST on Income,,
05-tefl-seal,supply teflon valve seal,,,,,,2.85,41110,GST on Income,,
05-crane-dual,Crane Dual Valve springs,,,,,,14.75,41110,GST on Income,,
05-crane-ret-st,Crane Steel Retainers,,,,,,7.14,41110,GST on Income,,
05-shim,Valve Spring Shims,,,,,,2.72,41110,GST on Income,,
05-crane-lock,Crane Valve Locks,,,51111,,,62.00,41112,GST on Income,,
04-valve-ferrera,Ferrera Stainless Valves,,,,,,22.03,41110,GST on Income,,
06-weld,Weld Heads,,,,,,5.00,41110,GST on Income,,
51,LS1 Valve steam seals W/O shim,,,,,,110.00,41110,GST on Income,,
0,misc,,,,,,110.00,41110,GST on Income,,
52,Dart Pro1 Head,,,,,,750.00,41110,GST on Income,,
06-thr-int,Throat Inlet,,,,,,5.72,41110,GST on Income,,
06-gen-mach,General Machining,,,,,,55.00,41110,GST on Income,,
02-LS1-stock,port ls1 stock valve trade,,,,,,770.00,41110,GST on Income,,
06-mach-sc-st,machine screw in studs,,,,,,9.57,41110,GST on Income,,
06-mach-.500-ho,machine for .500' head studs,,,,,,2.80,41110,GST on Income,,
06-pr-hol,clearance pushrod holes,,,,,,55.00,41110,GST on Income,,
06-mach-seal,machine for seals,,,,,,8.00,41110,GST on Income,,
