{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
MMJ Real Estate (WA) (formerly DTZ ( WA ) Pty Ltd),,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30526,01/07/2022,55606,,A,Commercial Office Rent: 1/07/2022-31/07/2022,61605,"$4,322.19",ADM000,,Purchase; MMJ Real Estate (WA) (formerly DTZ ( WA ) Pty Ltd),,GST,$432.22,$0.00,GST,$0.00,B,,,5,1,30,0,"$7,422.2",Admin,MMJ000,235
MMJ Real Estate (WA) (formerly DTZ ( WA ) Pty Ltd),,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30526,01/07/2022,55606,,A,Outgoings Instalments: 1/07/2022-31/07/2022,61605,"$2,425.26",ADM000,,Purchase; MMJ Real Estate (WA) (formerly DTZ ( WA ) Pty Ltd),,GST,$242.53,$0.00,GST,$0.00,B,,,5,1,30,0,"$7,422.2",Admin,MMJ000,235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30540,01/07/2022,2-10003432449,,A,MYOB AcountRight Premier Recurring Live Cover Subscription (01/07/22 to 31/07/22 )- SEA 60% discount,61565,$58.18,ADM000,,Purchase; MYOB Australia,,GST,$5.82,$0.00,GST,$0.00,B,,,5,1,30,0,$64,Admin,MYA000,277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30541,01/07/2022,2-10003432472,,A,Myob AcountRight Premier Recurring Live Cover Subscription (01/07/22 to 31/07/22) SUS and ASS,61565,$145.45,ADM000,,Purchase; MYOB Australia,,GST,$14.55,$0.00,GST,$0.00,B,,,5,1,30,0,$224,Admin,MYA000,277
MYOB Australia,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30541,01/07/2022,2-10003432472,,A,Myob AcountRight Premier Recurring Live Cover Subscription (01/07/22 to 31/07/22) SIA,61565,$58.19,ADM000,,Purchase; MYOB Australia,,GST,$5.81,$0.00,GST,$0.00,B,,,5,1,30,0,$224,Admin,MYA000,277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30542,01/07/2022,INV-4602,,A,"IT Service for July 2022: 30X managed network users,1X managed window std server",61534,"$1,680",ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$168,$0.00,GST,$0.00,B,,,2,0,7,0,"$1,940.5",Admin,ELE001,1850
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30542,01/07/2022,INV-4602,,A,Solarwinds Office 365 e-mail backups 37 mailboxes,61534,$84.09,ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$8.41,$0.00,GST,$0.00,B,,,2,0,7,0,"$1,940.5",Admin,ELE001,1850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30543,01/07/2022,INV-4574,,A,Microsoft 365 Business Basic - 24,61532,$165.6,ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$16.56,$0.00,GST,$0.00,B,,,2,0,7,0,$678.26,Admin,ELE001,1850
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30543,01/07/2022,INV-4574,,A,Microsoft 365 Business Standard - 22,61532,$378.4,ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$37.84,$0.00,GST,$0.00,B,,,2,0,7,0,$678.26,Admin,ELE001,1850
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30543,01/07/2022,INV-4574,,A,Microsoft Defender for Office 365 - 4,61532,$10.8,ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$1.08,$0.00,GST,$0.00,B,,,2,0,7,0,$678.26,Admin,ELE001,1850
Elevate Business IT Pty Ltd,,Sustainability Pty Ltd  (2010),PO Box 73,North Beach   WA   6920,AUSTRALIA,X,30543,01/07/2022,INV-4574,,A,Viso Plan 2,61532,$61.8,ADM000,,Purchase; Elevate Business IT Pty Ltd,,GST,$6.18,$0.00,GST,$0.00,B,,,2,0,7,0,$678.26,Admin,ELE001,1850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
