Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Tax Code,Credit Limit,Tax ID No.,Volume Discount %,Sales/Purchase Layout,Price Level,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,A.B.N. ,A.B.N. Branch,Account,Salesperson,Salesperson Card ID,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Customer's Tax Code,Receipt Memo,Invoice/Purchase Order Delivery,Record ID
Aimee Thevissen,,*None,N,195 Thornbill Place,,,,Mahogany Creek,WA,6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,36
AJ Lucas Operations Pty Ltd,,AJL,N,"Level 4, 1060 Hay Street",,,,West Perth,WA,6005,,08 6216 9800,,,08 6216 9801,sudha.nadan@lucas.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,26087777633,,,,,,,,GST,N,,P,37
Allardyce Engineering,,ALE,N,64 Laver Street,,,,Newman,WA,6753,,08 9175 2819,Mob 0408 885 398,,,gallardyce@bigpond.com,,Greg Allardyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,95123358305,,,,,,,,GST,N,,P,38
Ambuja Cements Limited,,ACL000,N,Attn: Gaurang Baxi,"2nd Floor , Elegant Business Park","MIDC Cross Road, Andheri ( East)",,Mumbai 400059,,,INDIA,,+91 22 40667239,,+91 22 40667423,sanjeev.nair@ambujacement.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,39
API Management Pty Ltd,,API,N,Level 2 Aquila Centre,1 Preston Street,,,Como,WA,6152,,08 9423 0233,0439 912 344,,,accountspayable@apijv.com.au,,Diffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,66112677595,,,,,,,,GST,N,,P,40
Ashley Taylor,,*None,N,PO Box 759,,,,Fremantle,WA,6959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,41
ASIS International,,*None,N,1625 Prince Street,,,,Alexandria,VA,22310,,smelnicove@asisonline,,,,smelnicove@asisonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,42
Astra Group Services Pty Ltd,,AST,N,PO Box 5527,,,,Brendale BC,QLD,4500,,07 3205 6297,07 3205 6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,92117386615,,,,,,,,GST,N,,P,43
Ausclad Group of Companies,,*None,N,Yandi RGP5 OHP3 Project,"15 , Beach Street",,,Kwinana,WA,6167,,,,,,tdavey@ausclad.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,44
Bakyrchik Mining Venture LLP,,*None,N,"t.Auezov, Zharma district",,,,East Kazakhstan Region,,491775,Kazakhstan,,,,,BobT@Ivancorp.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,45
Barry T Spencer,,*None,N,4 Santona Blvd,,,,Ellenbrook,WA,6069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,46
BHP Billiton Worsley Alumina Pty Ltd,,WOR000,N,Attention: Craig Ralph,PO Box 344,,,Collie,WA,6225,,accounts.payable@wapl,08 9734 8817,447993301,,accountspayableBWAPL@bhpbilliton.com,,Attn: Accounts Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,47
BHPB Shared Business Services,,BHP,N,GPO Box 2619,,,,Adelaide,SA,5001,,08 6224 3770 accts,1300 554 757 (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,46008700981,,,,,,,,GST,N,,P,48
Bianca K. J Guest,,*None,N,35-39 Baile Road,,,,Salmon Gums,WA,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,49
BIS Industrial Logistics,,BIS,N,Accounts Payable Department,Locked Bag 2143,,,North Sydney,NSW,2059,,02 9245 6333,08 9202 5810,,02 9492 2640,accountspayable@bislimited.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,13125202253,,,,,,,,GST,N,,P,50
Cam Iron SA,,*None,N,GPO Box  Z5189,,,,Perth,WA,6831,,08 9220 2300,,,,jtyler@sundanceresources.com.au,,Dr James Tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,,,,,,,,,GST,N,,P,51
Cavotec Australia,,CAV,N,24 Garnett Way,,,,Maddington,WA,6109,,08 9477 2666,0408 788 599,,08 9452 8866,simon.tucci@cavotec.com,,Simon Tucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Factoring client,S,S,,,,,,0,2,0,15,0,0,GST,0,,0,I,0,,,,,,,,34053865366,,,,,,,,GST,N,,P,52
