*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments
10000,Assets,Current Asset,BAS Excluded,,No,No,No
11000,Current Assets_IA,Bank,BAS Excluded,,Yes,No,No
11100,Cash on Hand,Current Asset,BAS Excluded,,No,No,No
11110,St George Bank Acct 482219565_IA,Bank,BAS Excluded,,Yes,No,No
11111,ANZ CHQ -016334 263556959,Bank,BAS Excluded,,Yes,No,No
11112,ANZ Saving 016334-263556983,Bank,BAS Excluded,,Yes,No,No
11120,Bankwest Acct 057244-9 IA,Bank,BAS Excluded,,Yes,No,No
11125,ANZ USD account 403725-00001,Bank,BAS Excluded,,Yes,No,No
11130,Payroll Clearing Account,Bank,BAS Excluded,,Yes,No,No
11135,Inventory,Current Asset,BAS Excluded,,No,No,No
11140,Petty Cash,Bank,BAS Excluded,,Yes,No,No
11145,ANZ Travel Card:Colin Davies,Bank,BAS Excluded,,Yes,No,No
11150,Cash - Indonesian Rupiah,Bank,BAS Excluded,,Yes,No,No
11151,Cash-Kazakhstan Tenge,Bank,BAS Excluded,,Yes,No,No
11152,Cash- United States Dollar,Bank,BAS Excluded,,Yes,No,No
11153,Cash-Romania Lei (RON),Bank,BAS Excluded,,Yes,No,No
11160,Electronic Clearing Account,Bank,BAS Excluded,,Yes,No,No
11170,Undeposited Funds,Bank,BAS Excluded,,Yes,No,No
11950,Withholding Credits,Current Asset,BAS Excluded,,No,No,No
11960,Voluntary Withholding Credits,Current Asset,BAS Excluded,,No,No,No
11970,ABN Withholding Credits,Current Asset,BAS Excluded,,No,No,No
12100,Accounts Receivable,Current Asset,BAS Excluded,,No,No,No
12110,Trade Debtors,Accounts Receivable,BAS Excluded,,No,No,No
12115,Accounts Receivable Other,Bank,BAS Excluded,,Yes,No,No
12139,Less Prov for Doubtful Debts,Current Asset,BAS Excluded,,No,No,No
12140,Advances to Consultants,Accounts Receivable,BAS Excluded,,No,No,No
12145,Sundry Debtors-AMEX,Current Asset,BAS Excluded,,No,No,No
12146,Loan -David Hunt (2013),Current Asset,BAS Excluded,,No,No,No
12147,Director's Loan-JM,Current Asset,BAS Excluded,,No,No,No
12148,David Hunt (2014),Current Asset,BAS Excluded,,No,No,No
12149,John Miragliotta(2014),Current Asset,BAS Excluded,,No,No,No
12150,Sundry Debtors,Accounts Receivable,BAS Excluded,,No,No,No
12151,Loan - David Hunt (2015),Current Asset,BAS Excluded,,No,No,No
12152,Loan - David Hunt (2016),Current Asset,BAS Excluded,,No,No,No
12153,Loan - David Hunt (2017),Current Asset,BAS Excluded,,No,No,No
12154,Loan - David Hunt (2018),Current Asset,BAS Excluded,,No,No,No
12155,Loan - David Hunt (2019),Current Asset,BAS Excluded,,No,No,No
12156,Loan - David Hunt (2020),Current Asset,BAS Excluded,,No,No,No
12157,Loan - David Hunt (2021),Current Asset,BAS Excluded,,No,No,No
12158,Loan - David Hunt (2022),Current Asset,BAS Excluded,,No,No,No
12160,John Miragliotta AMEX,Bank,BAS Excluded,,Yes,No,No
12165,Loan - Heath Thorpe,Current Asset,BAS Excluded,,No,No,No
12166,Loan - Tony Webster-Smith,Bank,BAS Excluded,,Yes,No,No
12167,Loans to Sustainability At Home Pty Ltd ,Current Asset,BAS Excluded,,No,No,No
12199,Short Term Loan Staff,Current Asset,BAS Excluded,,No,No,No
12200,Inventory on Hand,Current Asset,BAS Excluded,,No,No,No
12201,Work in Progress,Current Asset,BAS Excluded,,No,No,No
12300,WIP Intercompany,Current Asset,BAS Excluded,,No,No,No
12320,WIP SEA prior to 1 Jan 2015,Current Asset,BAS Excluded,,No,No,No
12321,WIP SEA 1/1/15 to 30/9/19,Current Asset,BAS Excluded,,No,No,No
12322,WIP SEA from 1 Oct 2019,Current Asset,BAS Excluded,,No,No,No
12350,WIP Sustainability Internation,Current Asset,BAS Excluded,,No,No,No
12370,WIP North America,Bank,BAS Excluded,,Yes,No,No
12380,WIP iSustainabilityPL,Current Asset,BAS Excluded,,No,No,No
12385,WIP Sustainability Training PL,Current Asset,BAS Excluded,,No,No,No
12390,WIP-Sustainability Africa,Bank,BAS Excluded,,Yes,No,No
13100,Current Assets Other,Current Asset,BAS Excluded,,No,No,No
13110,Prepayments,Current Asset,BAS Excluded,,No,No,No
13120,Prepayments Insurance,Current Asset,BAS Excluded,,No,No,No
13130,Deposit on Water Bottles (Refresh),Current Asset,BAS Excluded,,No,No,No
13135,Deposit Storage Unit B032 ,Current Asset,BAS Excluded,,No,No,No
13136,Deposit: 24 Geddes St. Office IA,Bank,BAS Excluded,,Yes,No,No
13140,Staff Advances,Bank,BAS Excluded,,Yes,No,No
13150,Prepaid Borrowing Costs,Current Asset,BAS Excluded,,No,No,No
13160,TANAP Retention Receivable USD,Bank,BAS Excluded,,Yes,No,No
13170,Loan to Gambier Operations Pty Ltd,Current Asset,BAS Excluded,,No,No,No
14100,Loans to Associated Companies,Current Asset,BAS Excluded,,No,No,No
14110,Loan Sustainability Indonesia,Current Asset,BAS Excluded,,No,No,No
14120,Sustainability East Asia-Cash,Current Asset,BAS Excluded,,No,No,No
14130,Loan Sustain Central Asia,Bank,BAS Excluded,,Yes,No,No
14140,Loan Sustainability Assurance,Bank,BAS Excluded,,Yes,No,No
14150,Sustainability International,Current Asset,BAS Excluded,,No,No,No
14160,Investment Indonesia,Current Asset,BAS Excluded,,No,No,No
14170,Sustainability North America,Current Asset,BAS Excluded,,No,No,No
14180,Loan- MRSG,Current Asset,BAS Excluded,,No,No,No
15000,Fixed Assets,Current Asset,BAS Excluded,,No,No,No
15100,Plant & Equipment,Fixed Asset,GST on Capital,,No,No,No
15110,P & E Accumulated Depreciation,Current Asset,BAS Excluded,,No,No,No
15120,Motor Vehicles,Fixed Asset,GST on Capital,,No,No,No
15130,M/V Accumulated Depreciation,Fixed Asset,BAS Excluded,,No,No,No
15140,Office Furniture & Equipment,Fixed Asset,GST on Capital,,No,No,No
15150,Office F&E Accum Depreciation,Fixed Asset,BAS Excluded,,No,No,No
15160,Computer Equipment,Fixed Asset,GST on Capital,,No,No,No
15170,Comp Equip Accum Depreciation,Fixed Asset,BAS Excluded,,No,No,No
15180,Library,Fixed Asset,GST on Capital,,No,No,No
15190,Library Accum Depreciation,Current Asset,BAS Excluded,,No,No,No
15195,Low Value Asset Pool,Fixed Asset,GST on Capital,,No,No,No
15196,Low Value Pool Accum Deprec,Current Asset,BAS Excluded,,No,No,No
16000,Non-Current Assets,Current Asset,BAS Excluded,,No,No,No
16100,Loans Other,Current Asset,BAS Excluded,,No,No,No
16200,Bond on Premises,Current Asset,BAS Excluded,,No,No,No
16250,Bank Guarantee for premises,Current Asset,BAS Excluded,,No,No,No
16300,Investment - Sustainability Assurance Services Pty Ltd,Current Asset,BAS Excluded,,No,No,No
16310,Investment - Sustainability Insuranace Pty Ltd,Current Asset,BAS Excluded,,No,No,No
16320,Investment - ISustainability Pty Ltd,Current Asset,BAS Excluded,,No,No,No
16330,Investment - Sustainability International  Pte Ltd,Current Asset,BAS Excluded,,No,No,No
16500,Unsecured Loan - Heath Thorpe,Current Asset,BAS Excluded,,No,No,No
17000,Intangible Assets,Current Asset,BAS Excluded,,No,No,No
17100,Share Allotment,Current Asset,BAS Excluded,,No,No,No
17110,Intellectual Property,Current Asset,GST on Capital,,No,No,No
18100,Prov for Debtor Recon,Current Asset,BAS Excluded,,No,No,No
19998,Suspense for Balance Sheet Adj,Current Asset,BAS Excluded,Account set up 14/5/14 as a clearing account to fix incorrect balance sheet values,No,No,No
19999,Suspense Account,Current Asset,BAS Excluded,,No,No,No
20000,Liabilities,Liability,BAS Excluded,,No,No,No
21000,Current Liabilities,Liability,BAS Excluded,,No,No,No
21010,Trade Creditors,Accounts Payable,BAS Excluded,,No,No,No
21040,AMEX Platinum,Bank,BAS Excluded,,Yes,No,No
21050,AMEX Gold,Bank,BAS Excluded,,Yes,No,No
21055,Diners Club International,Bank,BAS Excluded,,Yes,No,No
21060,St George VISA TWS IA,Bank,BAS Excluded,,Yes,No,No
21070,St George VISA DH IA,Bank,BAS Excluded,,Yes,No,No
21080,Bankwest Visa TWS 9212 IA,Bank,BAS Excluded,,Yes,No,No
21081,Bankwest Visa JM 2402 IA,Bank,BAS Excluded,,Yes,No,No
21082,Bankwest Visa DH - 0785 IA,Bank,BAS Excluded,,Yes,No,No
21083,Bankwest Visa NM - 2410 IA,Bank,BAS Excluded,,Yes,No,No
21084,Bankwest Visa PdS - 2468 IA,Bank,BAS Excluded,,Yes,No,No
21085,ANZ Visa - JM 2104/5036 IA,Bank,BAS Excluded,,Yes,No,No
21086,ANZ Visa -TWS 9956,Bank,BAS Excluded,,Yes,No,No
21087,ANZ Visa - DH 2153/7051,Bank,BAS Excluded,,Yes,No,No
21088,ANZ Visa - Pds 2179 IA,Bank,BAS Excluded,,Yes,No,No
21089,ANZ Visa - NM 3086/7098,Bank,BAS Excluded,,Yes,No,No
21090,ANZ Visa- MM 0404 IA,Bank,BAS Excluded,,Yes,No,No
21091,ANZ Visa- CE 0396 IA,Bank,BAS Excluded,,Yes,No,No
21092,ANZ Visa -TB 6923 IA,Bank,BAS Excluded,,Yes,No,No
21093,ANZ Visa - TO 8704 IA,Bank,BAS Excluded,,Yes,No,No
21094,Import Duty Payable,Accounts Payable,BAS Excluded,,No,No,No
21095,Voluntary Withholding Credits,Accounts Payable,BAS Excluded,,No,No,No
21096,Voluntary Withholdings Payable,Accounts Payable,BAS Excluded,,No,No,No
21097,ANZ Visa -TB 1326 IA,Bank,BAS Excluded,,Yes,No,No
21098,ANZ Visa - DK 2489,Bank,BAS Excluded,,Yes,No,No
