Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
10000,Assets,H,"£3,823,962.78",Asset,,,N,,,,,,,,,,,,Y
11000,Current Assets,H,"£3,204,352.71",Asset,,,N,,,,,,,,,,,,Y
11100,Cash On Hand,H,"£1,789,428.94",Asset,,,N,,,,,,,,,,,,Y
11110,Cash At Bank,,"£47,891.21",Bank,1364,N-T,N,,013-040,498013377,INFRACORR CONSULTING P/L,INFRACORR ,Y,ANZ,,N,,,
11120,Payroll Cheque Account,,£0.00,Bank,0,N-T,N,,,,,,N,,,N,,,
11130,ANZ Infracorr Cons P/L - 97636,,£0.00,Bank,5,N-T,Y,,,,,,N,,,N,,,
11135,ANZ Infracorr Cons P/L - 07146,,"£1,741,119.93",Bank,0,N-T,N,,,,,,N,,,N,,,
11136,ANZ Offset Account,,£0.00,Bank,0,N-T,N,,,,,,N,,,N,,,
11140,Petty Cash,,£416.80,Bank,1300,N-T,N,,,,,,N,,,N,,,
11145,Cash on Hand,,£1.00,Bank,0,N-T,N,,,,,,N,,,N,,,
11150,Provision Account,,£0.00,Bank,0,N-T,Y,,,,,,N,,,N,,,
11160,Investment Account,,£0.00,Bank,0,N-T,Y,,,,,,N,,,N,,,
11180,Undeposited Funds,,£0.00,Bank,0,N-T,Y,,,,,,N,,,N,,,
11190,Electronic Clearing Account,,£0.00,Bank,22,N-T,N,,,,,,N,,,N,,,
11199,Receivables,H,"£1,356,214.57",Asset,,,N,,,,,,,,,,,,Y
11200,Trade Debtors,,"£1,306,225.96",Accounts Receivable,,N-T,N,,,,,,,,,,,O,
11201,Sundry Debtors,,£0.00,Other Current Asset,,N-T,N,,,,,,,,,,,O,
11202,Deposits Paid,,"£39,259.45",Other Current Asset,,N-T,N,,,,,,,,,,,O,
11203,Deposit paid for car,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11204,Prepayment - Trendspek,,"£52,288.33",Other Current Asset,,GST,N,,,,,,,,,,,O,
11205,Prepayments - Other Creditors,,"£10,729.16",Other Current Asset,,N-T,N,,,,,,,,,,,O,
11206,Loan at call - Dean Ferguson,,£0.00,Other Asset,,N-T,N,,,,,,,,,,DF Borrowings from Company,O,
11207,Equipment prepay,,"£6,420.87",Other Asset,,GST,N,,,,,,,,,,,O,
11210,Less Prov'n for Doubtful Debts,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11240,Godson Family Trust,,£0.00,Other Asset,,N-T,Y,,,,,,,,,,,O,
11249,Directors Loans,H,£0.00,Asset,,,N,,,,,,,,,,,,Y
11250,Loan - 2020 Directors loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11251,Loan - 2021 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
11252,Loan - 2012 Directors Loan,,£0.00,Other Asset,,N-T,N,,,,,,,,,,,O,
