Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
Momentum Energy,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,153187,8/9/2020,10660212,,A,Momentum Energy ,66060,$407.05 ,,,Purchase; Momentum Energy,,GST,$42.37 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$449.42 ,,5423,875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spidertech Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153317,18/12/2020,4165,,E,Spidertech Reference No 2810,54300,"$31,069.45 ",,,Purchase; Spidertech Pty Ltd (showing in APMS as Irata International),,GST,"$3,106.95 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$34,176.40 ",,5492,1738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153523,21/06/2021,100621,,A,Telstra Mobile Phone Bill,61300,$993.31 ,,,Purchase; Telstra Corp,,GST,$88.04 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,081.35 ",,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,153708,3/12/2021,1-79920339050,,P,Monthly Payment for MYOB yrly subscription pro rata payment for 11/12 - 31/12/2021,61290,$35.86 ,,,Purchase; MYOB Australia,,GST,$3.59 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$39.45 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Wide Taxation ,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153719,13/12/2021,377543,,P,Payroll Training for NG,61310,$359.09 ,,,Purchase; Australia Wide Taxation ,,GST,$35.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$395 ,,1717,2214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153720,8/12/2021,148.04,,P,Cosentino Builders P/L Progress Claim No 4,61250,"$234,490.88 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,"$23,449.12 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$257,940 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153721,10/12/2021,101221,,P,Telstra Corp Mobile Phone bill,61300,$931.11 ,,,Purchase; Telstra Corp,,GST,$36.36 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$967.47 ,,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153722,16/12/2021,10788011,,P,Toshiba (Australia) Pty Ltd - BLK & Colour Meter reading,61215,$12.63 ,,,Purchase; Toshiba Australia Pty Limited,,GST,$1.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$13.90 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153735,1/1/2022,2-10001893229,,P,MYOB AccountRight Live Plus monthly subscription 1/1/22 - 31/1/22,61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Tile Council Inc,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153743,20/01/2022,M0000832,,P,Australian Waterproofing Consultants Tile Council inc Membership,59100,$350 ,,,Purchase; Australian Tile Council Inc,,FRE,$0.00 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$350 ,,2008,2371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153744,27/01/2022,16991,,A,Lawn Mowing and Gardening on 25/1/22,61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Australia Pty Limited,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153745,27/01/2022,10819142,,A,Black & White 7 Colour Meterage for office photo copier,61215,$31.55 ,,,Purchase; Toshiba Australia Pty Limited,,GST,$3.16 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$34.71 ,,1842,2302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153760,3/2/2022,2-10002079387,,P,MYOB AccountRight Live Plus Recurring Subscription\r\n(01/02/2022 - 28/02/2022),61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,153780,27/01/2022,148.05,,P,Cosentio Builders P/L Progress Claim No 5,61250,"$56,844.41 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,"$5,684.44 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$62,528.85 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Builders Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,X,153781,16/02/2022,148.06,,P,Cosentino Builders Pty Ltd Progress Claim No 6,61250,"$57,828.63 ",,,Purchase; Cosentino Builders Pty Ltd,,GST,"$5,782.86 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$63,611.49 ",,2280,2536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nickless Miller Meehans  Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153789,28/02/2022,398,,A,2021 Annual Tax Compliance completion,61015,"$7,900 ",,,Purchase; Nickless Miller Meehans  Pty Ltd,,GST,$790 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$8,690 ",,5251,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOB Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153792,1/3/2022,2-10002289211,,P,MYOB monthly subscription 1/3/2022 - 31/3/2022,61290,$109.09 ,,,Purchase; MYOB Australia,,GST,$10.91 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$120 ,,5509,1209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153793,28/02/2022,332122,,A,HR Consulting Pty Ltd,61035,$450 ,,,Purchase; HR Consulting Melbourne,,GST,$45 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153794,4/3/2022,2623,,A,Hightalk Pty Ltd Monthly Account,61300,$362.73 ,,,Purchase; Hightalk Pty Ltd,,GST,$36.27 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$399 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGL Sydney 11 Pty Ltd T/A Compass Offices,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153795,3/3/2022,AU07-00001559,,A,Compass Offices Monthly Rent for Sydney OFFice,66010,"$4,271.52 ",,,Purchase; COGL Sydney 11 Pty Ltd T/A Compass Offices,,GST,$427.15 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$4,698.67 ",,2336,2575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St John Ambulance Australia,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153797,3/3/2022,6232130,,A,St John Ambulance - HeartStart Adult Defibrillator Pad (gst on postage only),61215,$127.59 ,,,Purchase; St John Ambulance Australia,,GST,$1.36 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$128.95 ,,5479,1605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visy Recycling,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153798,28/02/2022,142265998,,A,Visy Recycling Monthly rent & 4 lifts,61215,$48.08 ,,,Purchase; Visy Recycling,,GST,$4.81 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$52.89 ,,5510,1903
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDK Commercial Interiors Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153803,25/02/2022,421225,,P,DDK Commercial Interiors Pty Ltd (Supply Office Furniture for new fitout),61250,"$53,778 ",,,Purchase; DDK Commercial Interiors Pty Ltd,,GST,"$5,377.80 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$59,155.80 ",,*None,2605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corinella Pty LTd - Jim's mowing,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153805,8/3/2022,17637,,A,Jims Mowing (monthly lawn mowing and gardening maintenance),61250,$90 ,,,Purchase; Jims Mowing,,GST,$9 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$99 ,,1693,2191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153806,8/3/2022,8032022,,A,AGL Gas Bill - bill period 30/12/21 - 26/2/2022,66030,$61.62 ,,,Purchase; AGL,,GST,$6.16 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$67.78 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattioli Bros Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153810,28/02/2022,4510204,,P,Supply labour and materials to carry out external painting works at site 1/19 Kett St Nunawading Dean Ferguson,11206,"$12,571.90 ",,,Purchase; Mattioli Bros Pty Ltd,,GST,"$1,257.19 ",$0.00 ,GST,$0.00 ,B,2,0,30,0,"$13,829.09 ",,5216,320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153811,1/3/2022,17489503,,A,Recurring monthly charges for internet services,61150,$913.14 ,,,Purchase; TPG Telecom / AAPT,,GST,$91.31 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$1,004.45 ",,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Wainwright J. Okno,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153813,16/03/2022,VI 21-234,,P,Set up Loan Agreement with Dean Ferguson ,61035,$641.60 ,,,Purchase; Alan Wainwright J. Okno,,GST,$64.16 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,$705.76 ,,5013,174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosentino Group Pty Ltd,,Infracorr Consulting Pty Ltd,"20 Business Park Drive,",Notting Hill VIC 3168,,,153821,22/03/2022,3352,,P,Cosentino Group Pty Ltd ,61250,"$7,550 ",,,Purchase; Cosentino Group Pty Ltd,,GST,$755 ,$0.00 ,GST,$0.00 ,B,2,0,30,0,"$8,305 ",,2279,2534
