Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Invoice No.,Date,Customer PO,Ship Via,Delivery Status,Description,Account No.,Amount,Job,Comment,Journal Memo,Salesperson Last Name,Salesperson First Name,Promised Date,Referral Source,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Sale Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Amount Paid,Payment Method,Payment Notes,Name on Card,Card Number,Authorisation Code,BSB,Account Number,Drawer/Account Name,Cheque Number,Category,Card ID,Record ID
Ventia Boral Amey Joint Venture,,,,,,X,100817,2/11/2020,,,A,,46000,$0.55 ,,,Finance Charge; Ventia Boral Amey Joint Venture; CR001769,,,,,N-T,$0.00 ,$0.00 ,,$0.00 ,I,0,0,0,0,0,$0.55 ,EFTPOS,,,,,,,,,,C1483,2165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Godson Superannuation Fund,,Ian Godson Superannuation Fund,C/- 20 Business Park Drive,Notting Hill  VIC  3168,,,100818,29/11/2021,,,A,20 Business Park Drive Building Renovations,85000,"$100,000.00 ",,,Sale; Ian Godson Superannuation Fund,,,,,GST,"$10,000.00 ",$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$110,000.00 ",EFTPOS,,,,,,,,,,C1062,2348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M & R Insurance Brokers Pty Ltd,,M & R Insurance Brokers Pty Ltd,,,,,100820,21/03/2022,,,P,Refund for M & R Insurance Brokers Pty Ltd,61140,"$2,227.87 ",,,Sale; M & R Insurance Brokers Pty Ltd,,,,,GST,$222.79 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$2,450.66 ",,,,,,,,,,,*None,1739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Energy Australia Ecogen Pty Ltd,, Energy Australia Ecogen Pty Ltd,697 Collins Street,DOCKLANDS  VIC  3008,,X,2025IC,28/07/2022,,,P, Energy Australia Ecogen Pty Ltd,41000,"$10,500.00 ",,,Sale;  Energy Australia Ecogen Pty Ltd,,,,,GST,"$1,050.00 ",$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$11,550.00 ",EFTPOS,,,,,,,,,,C1608,2132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Energy Australia Ecogen Pty Ltd,, Energy Australia Ecogen Pty Ltd,697 Collins Street,DOCKLANDS  VIC  3008,,X,2069IC,26/08/2022,,,B,Energy Australia Ecogen Pty Ltd,41000,"$8,246.32 ",,,Sale;  Energy Australia Ecogen Pty Ltd,,,,,GST,$824.63 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"$9,070.95 ",EFTPOS,,,,,,,,,,C1608,2132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Corrosion Coatings Pty. Ltd.,,Universal Corrosion Coatings Pty. Ltd.,"16 Sperry Drive, ", Tullamarine  VIC  3043,,,100823,5/5/2023,,,A,lunch for UCC - pile jackets and sealants presentation,65145,$154.89 ,,,Sale; Universal Corrosion Coatings Pty. Ltd.,,,,,GST,$15.49 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$170.38 ,EFTPOS,,,,,,,,,,*None,2724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkside Owners Corporation (OC Strata Plan 20966),,Parkside Owners Corporation (OC Strata Plan 20966),481 St Kilda Road,MELBOURNE  VIC  3004,,,100824,8/5/2023,,,P,To write off overpaid amount,41000,$0.27 ,,,Sale; Parkside Owners Corporation (OC Strata Plan 20966),,,,,GST,$0.03 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$0.30 ,,,,,,,,,,,C2332,2590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connell Civil Group Pty Ltd,,Connell Civil Group Pty Ltd,12 Turbo Drive,BAYSWATER  VIC  3153,,,100825,8/5/2023,,,P, overpaid moaunt,41000,$1.82 ,,,Sale; Connell Civil Group Pty Ltd,,,,,GST,$0.18 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,$2.00 ,,,,,,,,,,,C2432,2642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Energy Australia Ecogen Pty Ltd,, Energy Australia Ecogen Pty Ltd,697 Collins Street,DOCKLANDS  VIC  3008,,,100826,8/5/2023,,,B,Write off amount short paid,41000,($0.01),,,Sale;  Energy Australia Ecogen Pty Ltd,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.01),,,,,,,,,,,C1608,2132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Legal,,Crawford Legal,"Level 1, 139 Frome Street",ADELAIDE  SA  5000,Australia,,100827,8/5/2023,,,P,To write off the amount short paid,41000,($0.14),,,Sale; Crawford Legal,,,,,GST,($0.01),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.15),,,,,,,,,,,C2299,2547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatch Pty Ltd,,Hatch Pty Ltd,61 Petrie Terrace,BRISBANE  QLD  4000,,,100828,8/5/2023,,,P,To Write off the amount short paid,41000,($0.01),,,Sale; Hatch Pty Ltd,,,,,GST,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.01),,,,,,,,,,,C2029,2415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRG Global Services (Australia) Pty Ltd,,SRG Global Services (Australia) Pty Ltd,112 Munro Street,South Melbourne  VIC  3205,,,100829,8/5/2023,,,P,To write off the amount short paid,41000,($0.05),,,Sale; SRG Global Services (Australia) Pty Ltd,,,,,GST,($0.01),$0.00 ,GST,$0.00 ,I,2,0,30,0,0,($0.06),,,,,,,,,,,1235,1706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investa Asset Management Pty Limited,,Investa Asset Management Pty Limited,GPO BOX 5401,SYDNEY  NSW  2001,,,100830,30/06/2022,,,A,To write off bad debts,61019,"($10,558.90)",,,Sale; Investa Asset Management Pty Limited,,,,,N-T,$0.00 ,$0.00 ,GST,$0.00 ,I,2,0,30,0,0,"($10,558.90)",,,,,,,,,,,1257,1907
