Co./Last Name,First Name,Purchase No.,Date,Supplier Invoice No.,Inclusive,Delivery Status,Journal Memo,Detail Date,Description,Account No.,Amount,Job,Comment,Promised Date,Tax Code,Tax Amount,Purchase Status,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Card ID,Record ID
Consult Australia,,153066,1/7/2020,576,,P,Imported Consult Australia,,Consult Australia,51100,"$5,243 ",,,,GST,$524.30 ,B,2,0,1,0,"$5,767.30 ",,1881,2325
,,,,,,,,,,,,,,,,,,,,,,,,,
Tonkin and Taylor Pty Ltd,,153070,1/7/2020,3964,,P,Imported Tonkin and Taylor Pty Ltd,,Tonkin and Taylor Pty Ltd,54400,"$12,800 ",,,,GST,"$1,280 ",B,2,0,5,0,"$14,080 ",,2061,2405
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153074,2/7/2020,329982617,,P,Imported Officeworks,,Officeworks,61215,$85.86 ,,,,GST,$8.59 ,B,2,0,4,0,$94.45 ,,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
Officeworks,,153076,3/7/2020,353106892,,P,Imported Officeworks,,Officeworks,61300,"$3,453.82 ",,,,GST,$345.38 ,B,2,0,3,0,"$3,799.20 ",,5255,40
,,,,,,,,,,,,,,,,,,,,,,,,,
AGL,,153077,1/7/2020,10720,,P,Imported AGL,,AGL Energy,66030,$566.48 ,,,,GST,$56.65 ,B,2,0,5,0,$623.13 ,,5458,1336
,,,,,,,,,,,,,,,,,,,,,,,,,
ACTA (Australian Construction Training Alliance),,153080,6/7/2020,1605,,P,Imported ACTA (Australian Construction Training Alliance),,Australian Construction Training Alliance  HM Confined Space Work at Heights,54800,$450 ,,,,FRE,$0.00 ,B,2,0,0,0,$450 ,,1926,2329
,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp and Howells Pty Ltd,,153082,6/7/2020,14795,,P,Imported Sharp and Howells Pty Ltd,,Sharp and Howells,54400,$750 ,,,,GST,$75 ,B,2,0,1,0,$825 ,,5301,28
,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks on Carlyle Mackay,,153085,7/7/2020,9308936,,A,Imported Oaks on Carlyle Mackay,,Oaks Hotels Aurora Towers Brisbane,54500,"$1,561.50 ",,,,FRE,$0.00 ,B,2,0,0,0,"$1,561.50 ",,2062,2406
,,,,,,,,,,,,,,,,,,,,,,,,,
TPG Telecom / AAPT,,153086,1/7/2020,15377856,,P,Imported TPG Telecom / AAPT,,TPG Telecom/ AAPT,61150,$804 ,,,,GST,$80.40 ,B,2,0,6,0,$884.40 ,,1672,2178
,,,,,,,,,,,,,,,,,,,,,,,,,
Hightalk Pty Ltd,,153087,1/7/2020,1697,,P,Imported Hightalk Pty Ltd,,Hightalk Pty Ltd,61300,$200.92 ,,,,GST,$20.08 ,B,2,0,0,0,$221 ,,2099,2429
,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Institute of Management ,,153088,7/7/2020,70720,,P,Imported Australian Institute of Management ,,Australian Institue of Management BMA 2 day induction for NW,54800,$710 ,,,,FRE,$0.00 ,B,2,0,6,0,$710 ,,2107,2433
,,,,,,,,,,,,,,,,,,,,,,,,,
Telstra Corp,,153089,6/7/2020,60720,,P,Imported Telstra Corp,,Telstra corp landlines,61300,$286.12 ,,,,GST,$28.61 ,B,2,0,7,0,$314.73 ,,5330,89
,,,,,,,,,,,,,,,,,,,,,,,,,
Protection Pacific Security,,153090,8/7/2020,379339,,P,Imported Protection Pacific Security,,Protection Pacific Security,66080,$159.09 ,,,,GST,$15.91 ,B,2,0,5,0,$175 ,,1729,2225
,,,,,,,,,,,,,,,,,,,,,,,,,
HR Consulting Melbourne,,153091,9/7/2020,12021,,P,Imported HR Consulting Melbourne,,HR Consulting Melbourne,61035,$450 ,,,,GST,$45 ,B,2,0,4,0,$495 ,,2097,2428
,,,,,,,,,,,,,,,,,,,,,,,,,
