Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Order,Received,Billed,Location ID,Card ID,Record ID
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2258,01/07/2021,,,P,ZZZ344,5,Stainless Steel Ruler 15cm,$3.636,0%,$18.18,,,Purchase; Office Works,,GST,$1.82,$0.00,GST,$0.00,B,,,5,1,30,0,$24.5,,,0,5,Location1,*None,3520
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2258,01/07/2021,,,P,ZZZ302,1,Clipboard A4 (Wet),$4.09,0%,$4.09,,,Purchase; Office Works,,GST,$.41,$0.00,GST,$0.00,B,,,5,1,30,0,$24.5,,,-7,1,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2289,16/07/2021,,,P,ZZZ344,5,Stainless Steel Ruler 15cm,$3.964,0%,$19.82,,,Purchase; Office Works,,GST,$1.98,$0.00,GST,$0.00,B,,,5,1,30,0,$26.3,,,0,5,Location1,*None,3520
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2289,16/07/2021,,,P,ZZZ302,1,Clipboard A4 (Wet),$4.09,0%,$4.09,,,Purchase; Office Works,,GST,$.41,$0.00,GST,$0.00,B,,,5,1,30,0,$26.3,,,-7,1,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2292,20/07/2021,407441,,P,ZZZ415,10,Packaging - Large Padded Satch,$1.818,0%,$18.18,,,Purchase; Australia Post,,GST,$1.82,$0.00,GST,$0.00,B,,,5,1,30,0,$20,,,0,10,Location1,*None,3854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2293,20/07/2021,,,P,ZZZ409,1,Spray Glue,$20.26,0%,$20.26,,,Purchase; Bunnings Warehouse,,GST,$2.03,$0.00,GST,$0.00,B,,,5,1,30,0,$55.25,,,0,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2293,20/07/2021,,,P,ZZZ408,1,Lock-Tite,$13.62,0%,$13.62,,,Purchase; Bunnings Warehouse,,GST,$1.36,$0.00,GST,$0.00,B,,,5,1,30,0,$55.25,,,0,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2293,20/07/2021,,,P,ZZZ303,6,Microfibre Dry Testing Cloth,$2.725,0%,$16.35,,,Purchase; Bunnings Warehouse,,GST,$1.63,$0.00,GST,$0.00,B,,,5,1,30,0,$55.25,,,-22,6,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynnum Bearings and Bolts,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2294,20/07/2021,102003566,,P,ZZZ103,100,Wessex Slider Washer,$.0897,0%,$8.97,,,Purchase; Wynnum Bearings and Bolts,,GST,$.9,$0.00,GST,$0.00,B,,,5,1,30,0,$9.87,,,9,100,Location1,*None,3500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
