{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Invoice No.,Date,Customer PO,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Salesperson Last Name,Salesperson First Name,Shipping Date,Referral Source,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Sale Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Amount Paid,Payment Method,Payment Notes,Name on Card,Card Number,Authorisation Code,BSB,Account Number,Drawer/Account Name,Cheque Number,Category,Location ID,Card ID,Record ID
Materials Solutions Australia,,Materials Solutions Australia,27 Plunkett Road,Dandenong  VIC  3175,,,66222,05/07/2021,Inv 48 Stripe,,A,ZZZ1121,1,Munro Pointer,$73.0000,0%,$73.00,,,Sale; Materials Solutions Australia,,,,,GST,$7.30,$60.00,GST,$6.00,I,,,3,1,31,0,0,$146.30,Stripe,,,,,,,,,,Location1,*None,5446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Performance Ltd,,Surface Performance Ltd,Unit 16 Vicarage Farm,Halliford Road,Sunbury on Thames,,66271,09/07/2021,Inv 49 Stripe,,A,ZZZ4009,1,Pendulum Calibration Procedure,"$4,995.0000",0%,"$4,995.00",,,Sale; Surface Performance Ltd- Client base in UK,,,,,FRE,$.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$4,995.00",Stripe,,,,,,,,,,,*None,5325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlipAware,,SlipAware,30 Wester Crescent,Quinns Rocks  WA  6030,,,66324,14/07/2021,Inv 50 Stripe,,A,ZZZ2001,1,4S (96) Rubber Slider,$95.0000,0%,$95.00,,,Sale; SlipAware,,,,,GST,$9.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$126.50,Stripe,,,,,,,,,,Location1,*None,5245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66487,05/08/2021,,,A,ZZZ2006,10,3M Lapping Film,$5.0000,0%,$50.00,,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$5.00,$.00,GST,$.00,I,,,3,1,31,0,0,$226.27,Stripe,,,,,,,,,,Location1,*None,5073
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66487,05/08/2021,,,A,ZZZ1101,2,Munro Felt Friction Ring,$20.0000,0%,$40.00,,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$4.00,$.00,GST,$.00,I,,,3,1,31,0,0,$226.27,Stripe,,,,,,,,,,Location1,*None,5073
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66487,05/08/2021,,,A,ZZZ1122,1,Munro Handle SA,$115.7000,0%,$115.70,,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$11.57,$.00,GST,$.00,I,,,3,1,31,0,0,$226.27,Stripe,,,,,,,,,,Location1,*None,5073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zerofal Ltd,,Zerofal Ltd,30 Regent Crescent,Moorebank  NSW  2170,Australia,,66500,09/08/2021,Inv 52 Stripe,,A,ZZZ2001,3,4S (96) Rubber Slider,$95.0000,0%,$285.00,,,Sale; Zerofal Ltd,,,,,GST,$28.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$335.50,Stripe,,,,,,,,,,Location1,Brendan Sheedy,4165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete & Flooring Solutions Pty Ltd,,Concrete & Flooring Solutions Pty Ltd,24 Trinder Avenue ,Maroochydore  QLD  4558,,,66540,12/08/2021,Inv 53 Stripe,,A,ZZZ0002,1,Wessex Pendulum (Used),"$5,950.0000",0%,"$5,950.00",,,Sale; Concrete & Flooring Solutions Pty Ltd,,,,,GST,$595.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$6,545.00",BANK TRANSFER,,,,,,,,,,Location1,*None,5490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwork Plus P/L,,Groundwork Plus P/L,Unit 78,109 Leichs,Brendale  QLD  4064,,66557,18/08/2021,,,A,ZZZ3001,1,Calibration- Pendulum,"$1,100.0000",0%,"$1,100.00",,,Sale; Groundwork Plus P/L- Invoice was reimbursed,,,,,GST,$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,$.00,,,,,,,,,,,,*None,5498
Groundwork Plus P/L,,Groundwork Plus P/L,Unit 78,109 Leichs,Brendale  QLD  4064,,66557,18/08/2021,,,A,ZZZ3001,-1,Calibration- Pendulum,"$1,100.0000",0%,"-$1,100.00",,,Sale; Groundwork Plus P/L- Invoice was reimbursed,,,,,GST,-$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,$.00,,,,,,,,,,,,*None,5498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concrete & Flooring Solutions Pty Ltd,,Concrete & Flooring Solutions Pty Ltd,24 Trinder Avenue ,Maroochydore  QLD  4558,,,66571,20/08/2021,Inv 55 Stripe,,A,ZZZ4001,1,Training - Pendulum (AS4663),"$1,995.0000",0%,"$1,995.00",,,Sale; Concrete & Flooring Solutions Pty Ltd,,,,,GST,$199.50,$.00,GST,$.00,I,,,3,1,31,0,0,"$2,194.50",Stripe,,,,,,,,,,,*None,5490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane City Council,,Brisbane City Council,GPO Box 2567,Brisbane  QLD  4001,Australia,X,66572,22/08/2021,440322275,,A,ZZZ3001,1,Calibration- Pendulum,"$1,100.0000",0%,"$1,100.00",9005,,Sale; Brisbane City Council,,,,,GST,$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,210.00",BANK TRANSFER,,,,,,,,,,,*None,3776
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slipstop Australia Pty Ltd,,Slipstop Australia Pty Ltd,5/5 Clerke Place,Kurnell  NSW  2231,Australia,,66588,24/08/2021,Inv 56 Stripe,,A,ZZZ3001,1,Calibration- Pendulum,"$1,100.0000",0%,"$1,100.00",,,Sale; Slipstop Australia Pty Ltd,,,,,GST,$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$1,210.00",Stripe,,,,,,,,,,,NSW Slip,5310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66589,24/08/2021,Inv 57 Stripe,,A,ZZZ3001,1,Calibration- Pendulum,"$1,100.0000",0%,"$1,100.00",,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$110.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$4,840.00",Stripe,,,,,,,,,,,*None,5073
Sliptest Australia Pty Ltd,,Sliptest Australia Pty Ltd,11 Fuschia Way,Gaven   QLD  4211,Australia,,66589,24/08/2021,Inv 57 Stripe,,A,ZZZ0005,1,WessexPendulum Calibration Rig,"$3,300.0000",0%,"$3,300.00",,,Sale; Sliptest Australia Pty Ltd,,,,,GST,$330.00,$.00,GST,$.00,I,,,3,1,31,0,0,"$4,840.00",Stripe,,,,,,,,,,Location1,*None,5073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennium (WA) PTY LTD,,Millennium (WA) PTY LTD,52 Roberts Street,Osborne Park  WA  6017,,,66594,24/08/2021,,,A,ZZZ228,1,Tortus USB Stick,$54.0000,0%,$54.00,,,Sale; Millennium (WA) PTY LTD,,,,,GST,$5.40,$.00,GST,$.00,I,,,3,1,31,0,0,$196.90,,,,,,,,,,,Location1,WA,5444
Millennium (WA) PTY LTD,,Millennium (WA) PTY LTD,52 Roberts Street,Osborne Park  WA  6017,,,66594,24/08/2021,,,A,ZZZ5126,1,1 Hour Labour Diagnostic on USB Board,$125.0000,0%,$125.00,,,Sale; Millennium (WA) PTY LTD,,,,,GST,$12.50,$.00,GST,$.00,I,,,3,1,31,0,0,$196.90,,,,,,,,,,,,WA,5444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennium (WA) PTY LTD,,Millennium (WA) PTY LTD,52 Roberts Street,Osborne Park  WA  6017,,,66595,24/08/2021,Inv 58 Stripe,,A,ZZZ3002,1,Calibration- Tortus,$600.0000,0%,$600.00,,,Sale; Millennium (WA) PTY LTD,,,,,GST,$60.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$792.00,Stripe,,,,,,,,,,,WA,5444
Millennium (WA) PTY LTD,,Millennium (WA) PTY LTD,52 Roberts Street,Osborne Park  WA  6017,,,66595,24/08/2021,Inv 58 Stripe,,A,ZZZ2009,1,Tortus sliders (pack of 6),$100.0000,0%,$100.00,,,Sale; Millennium (WA) PTY LTD,,,,,GST,$10.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$792.00,Stripe,,,,,,,,,,Location1,WA,5444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontline Support Pty Ltd,,Frontline Support Pty Ltd,103 Muller Road,Hampstead Gardens  SA  5086,Australia,,66615,26/08/2021,Inv 59 Stripe,,A,ZZZ2001,2,4S (96) Rubber Slider,$95.0000,0%,$190.00,,,Sale; Frontline Support Pty Ltd,,,,,GST,$19.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$418.00,Stripe,,,,,,,,,,Location1,*None,4076
Frontline Support Pty Ltd,,Frontline Support Pty Ltd,103 Muller Road,Hampstead Gardens  SA  5086,Australia,,66615,26/08/2021,Inv 59 Stripe,,A,ZZZ2006,10,3M Lapping Film,$5.0000,0%,$50.00,,,Sale; Frontline Support Pty Ltd,,,,,GST,$5.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$418.00,Stripe,,,,,,,,,,Location1,*None,4076
Frontline Support Pty Ltd,,Frontline Support Pty Ltd,103 Muller Road,Hampstead Gardens  SA  5086,Australia,,66615,26/08/2021,Inv 59 Stripe,,A,ZZZ2007,10,P400 Wet & Dry Paper,$2.0000,0%,$20.00,,,Sale; Frontline Support Pty Ltd,,,,,GST,$2.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$418.00,Stripe,,,,,,,,,,Location1,*None,4076
Frontline Support Pty Ltd,,Frontline Support Pty Ltd,103 Muller Road,Hampstead Gardens  SA  5086,Australia,,66615,26/08/2021,Inv 59 Stripe,,A,ZZZ2009,1,Tortus sliders (pack of 6),$100.0000,0%,$100.00,,,Sale; Frontline Support Pty Ltd,,,,,GST,$10.00,$20.00,GST,$2.00,I,,,3,1,31,0,0,$418.00,Stripe,,,,,,,,,,Location1,*None,4076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTIslipit,,ANTIslipit,59 Chaucer Street,Yokine  WA  6060,Australia,,66619,26/08/2021,Inv 60 Stripe,,A,ZZZ2001,1,4S (96) Rubber Slider,$95.0000,0%,$95.00,,,Sale; ANTIslipit,,,,,GST,$9.50,$20.00,GST,$2.00,I,,,3,1,31,0,0,$126.50,Stripe,,,,,,,,,,Location1,*None,3438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acousto- Scan Pty Ltd,,Acousto- Scan Pty Ltd,Unit 44,59 Halstead Street,South Hurstville   NSW  2221,,66620,26/08/2021,Inv 61 Stripe,,A,ZZZ0001,1,WanmaLab Pendulum,"$9,950.0000",0%,"$9,950.00",,,Sale; Acousto- Scan Pty Ltd,,,,,GST,$995.00,$320.00,GST,$32.00,I,,,3,1,31,0,0,"$11,297.00",Stripe,,,,,,,,,,Location1,*None,5514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
