{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
ZZZ0001,WanmaLab Pendulum,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,N-T,1,1,0,1,"£10,550.00",1,GST,,0,1,0,0,0,0,0,10550,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,"£6,990.00",,
ZZZ319,Flat Bed Trolley,B,S,I,11201,43003,50001,,,,,,3,,,Bunnings Warehouse,,GST,1,1,0,3,£65.00,1,GST,,0,1,0,0,0,0,0,65,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£46.00,,
ZZZ0003,Wessex Tortus 3,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,N-T,1,1,0,1,"£9,950.00",1,GST,,0,1,0,0,0,0,0,9950,7115.5,7115.5,7115.5,7115.5,7115.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,"£7,570.00",,
ZZZ104,Wessex Release Plunger Spring,B,S,I,11201,43003,50001,,,,,,2,,,Small Parts and Bearings,,GST,1,1,0,1,£2.00,1,GST,,0,1,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£1.50,,
ZZZ114,Pendulum Release Catch,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£148.00,1,GST,,0,1,0,0,0,0,0,148,135,135,135,135,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£105.62,,
ZZZ136,Pendulum Locking Knob,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£123.00,1,GST,,0,1,0,0,0,0,0,123,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£87.96,,
ZZZ105,Wessex Release Plunger,B,S,I,11201,43003,50001,,,,,,2,,,QM Systems Ltd,,GST,1,1,0,2,£61.00,1,GST,,0,1,0,0,0,0,0,61,55,55,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£42.93,,
ZZZ132,Pendulum Arm,B,S,I,11201,43003,50001,,,,,,2,,,QM Systems Ltd,,GST,1,1,0,2,£78.00,1,GST,,0,1,0,0,0,0,0,78,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£70.10,,
ZZZ133,Pointer Counter Balance,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£245.00,1,GST,,0,1,0,0,0,0,0,245,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£106.10,,
ZZZ138,Pendulum Clamping Nut,B,S,I,11201,43003,50001,,,,,,1,,,QM Systems Ltd,,GST,1,1,0,1,£174.00,1,GST,,0,1,0,0,0,0,0,174,150,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,£123.90,,
