*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments
10000,Assets,Current Asset,BAS Excluded,,No,No,No
10001,Current Assets,Current Asset,BAS Excluded,,No,No,No
10002,Accounts Receivable,Current Asset,BAS Excluded,,No,No,No
11001,Cash On Hand,Current Asset,BAS Excluded,,No,No,No
11111,ISTS Mackaroo A/c 96242,Bank,BAS Excluded,,Yes,No,No
11112,ANZ GES Equipment 182359,Bank,BAS Excluded,,Yes,No,No
11113,Directors Account 205581,Bank,BAS Excluded,Account to transfer money to save for projects. ,Yes,No,No
11114,BOQ New Project 80942,Bank,BAS Excluded,New Vehicle account it will deduct the instalments fro Toyota Finance,Yes,No,No
11115,Stripe ,Bank,BAS Excluded,,Yes,No,No
11130,ING Direct,Bank,BAS Excluded,,Yes,No,No
11135,E Trade Account 4833,Bank,BAS Excluded,,Yes,No,No
11140,ANZ Tax Acct 87421,Bank,BAS Excluded,,Yes,No,No
11190,Electronic Clearing Account,Bank,BAS Excluded,,Yes,No,No
11200,Fixed Assets,Current Asset,BAS Excluded,,No,No,No
11201,Inventory,Current Asset,BAS Excluded,,No,No,No
11202,Tracking account for goods not,Fixed Asset,BAS Excluded,,No,No,No
11301,Office Equipment,Current Asset,BAS Excluded,,No,No,No
11302,Office Equipment at Cost,Current Asset,GST on Capital,,No,No,No
11303,Office Equip Accum Depn,Current Asset,BAS Excluded,,No,No,No
11304,Deposit Account (RAV4),Current Asset,BAS Excluded,,No,No,No
11400,Motor Vehicles,Current Asset,BAS Excluded,,No,No,No
11401,Motor Vehicles at cost,Current Asset,GST on Capital,,No,No,No
11402,Motor vehicles Accum Depn,Current Asset,BAS Excluded,,No,No,No
11550,Contra Acct Singapore,Current Asset,BAS Excluded,,No,No,No
11555,Contra New Zealand 21447,Current Asset,BAS Excluded,,No,No,No
11560,Contra M Walton,Bank,BAS Excluded,,Yes,No,No
11715,Holding Acc T&S  578801015,Bank,BAS Excluded,,Yes,No,No
11803,Client Overpayt Holding Acct,Bank,BAS Excluded,,Yes,No,No
11810,Cash Drawer,Bank,BAS Excluded,,Yes,No,No
