Date,Amount,Description,Payee,Reference,Transaction type,Account Code,Tax,Bank,ITEM CODE,Currency rate,Tname,Toption,Tname 1,Toption1,Line Amount Type,Tax Amount,Currency Name
14/07/2021,0.41,ANZ Refund,No Name,CR013965-8,RECIEVE,60001,GST Free Expenses,11112.0,,,,,,,Exclusive,0.00,
28/07/2021,825.00,Duplicate payment from Groove Tiles & Stone for invoice #65886,No Name,CR014076-11,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/07/2021,0.99,Interest received from the bank,No Name,CR014181-13,RECIEVE,60001,GST Free Expenses,19001.0,,,,,,,Exclusive,0.00,
23/08/2021,1435.68,Refund car insurance for BMW 420i,No Name,CR014239-18,RECIEVE,62004,GST on Expenses,11111.0,,,,,,,Exclusive,143.57,
25/08/2021,3.90,Credit from Qantas,No Name,CR014348-21,RECIEVE,61501,BAS Excluded,21002.0,,,,,,,Exclusive,0.00,
27/08/2021,695.70,Money received by the insurance for (Car traded 288WGI),No Name,CR014281-25,RECIEVE,62004,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
31/08/2021,0.20,Bank of Queensland- Interest paid by BOQ,Bank of Queensland,CR014379-33,RECIEVE,60001,GST Free Expenses,19001.0,,,,,,,Exclusive,0.00,
13/09/2021,99.00,Payment made by Ben Yarham,No Name,CR014535-38,RECIEVE,60001,GST Free Expenses,21002.0,,,,,,,Exclusive,0.00,
30/09/2021,10000.00,QLD State Goverment Grant Non-Assesable income.,No Name,CR014510-48,RECIEVE,84000,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
30/09/2021,0.47,Interest paid by BOQ,No Name,CR014548-49,RECIEVE,60001,GST Free Expenses,19001.0,,,,,,,Exclusive,0.00,
30/09/2021,0.19,Credit interest paid by ANZ,No Name,CR014560-50,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
29/10/2021,0.09,Credit interest paid by ANZ,No Name,CR014712-70,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
31/10/2021,0.34,Interest paid by the BOQ,No Name,CR014711-71,RECIEVE,60002,BAS Excluded,19001.0,,,,,,,Exclusive,0.00,
16/11/2021,0.02,ANZ refund,No Name,CR014786-78,RECIEVE,60001,GST Free Expenses,11112.0,,,,,,,Exclusive,0.00,
29/11/2021,660.00,Duplicate payment from A to Z Multiservices for Inv#00066498,No Name,CR014869-87,RECIEVE,43006,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
30/11/2021,0.25,Credit interest from the bank,No Name,CR014967-92,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
13/12/2021,5000.00,Captital input from ISTS New Zealand,No Name,CR014979-99,RECIEVE,14001,BAS Excluded,11111.0,,,,,,,Exclusive,0.00,
13/12/2021,1000.00,Receive money BOQ 23042399,No Name,CR015320-100,RECIEVE,21501,BAS Excluded,19001.0,,,,,,,Exclusive,0.00,
31/12/2021,0.24,Credit interesr from the bank,No Name,CR015292-111,RECIEVE,60001,GST Free Expenses,11113.0,,,,,,,Exclusive,0.00,
