*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme,Exchange Rate
 Glad Commercial Cleaning VIC,,,,,,,,,,66200,MA6038,01/07/2021,01/07/2021,,,Provide special request wet and dry slip resistance measurement and report for 595 Collins Street. Testing performed 29/06/2021. Testing requested by Muhammad Ali. Order #MA6038,1,575.00,,43001,GST on Income,57.50,Job,4003-Specials - VIC,,,,,
 BIC Services Pty Ltd,,,,,,,,,,66201,67597,01/07/2021,01/07/2021,,,Provide special request wet slip resistance measurement and report for 52 Collins Street. Testing performed 29/06/2021. Testing requested by Ramesh Gajurel. Order #67597,1,500.00,,43001,GST on Income,50.00,Job,4003-Specials - VIC,,,,,
 The Body Corporate for Burke Apartments CTS 30263,,,,,,,,,,66202,648,01/07/2021,01/07/2021,,,Provide annual wet slip resistance measurement and report for Burke Apartments. Testing performed 25-06-2021. Purchase Order 0648,1,450.00,,43000,GST on Income,45.00,,,,,,,
 BIC Consolidated,,,,,,,,,,66203,4155,01/07/2021,01/07/2021,,,Provide annual wet and dry slip resistance measurement and report for 500 Bourke Street. Testing performed 29/06/2021. Order #4155,1,620.00,,43000,GST on Income,62.00,,,,,,,
 BIC Consolidated,,,,,,,,,,66204,4093,01/07/2021,01/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for QV Melbourne (Commercial). Testing performed 29/06/2021. Order #4093,1,680.00,,43000,GST on Income,68.00,,,,,,,
 BIC Consolidated,,,,,,,,,,66205,4094,01/07/2021,01/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for QV Melbourne (Retail). Testing performed 29/06/2021. Order #4094,1,620.00,,43000,GST on Income,62.00,,,,,,,
 ISPT Retail Property Trust Brunswick,,,,,,,,,,66206,W7762103,01/07/2021,01/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Barkly Square. Testing performed 29-06-2021. Purchase Order W7762103,1,600.00,,43000,GST on Income,60.00,,,,,,,
 Belgotex Floorcoverings Australia,,,,,,,,,,66207,,01/07/2021,01/07/2021,,,Provide special request wet slip resistance measurement and report for Davenport Peanut Brown Timber Look Vinyl 18x 30cm. Testing performed 01-07-2021. Testing requested by Justin Mitchell,1,150.00,,43002,GST on Income,15.00,Job,8005-Product Class- AU,,,,,
 Assetlink (VIC),,,,,,,,,,66208,PO90634,01/07/2021,01/07/2021,,,Provide annual wet and dry slip resistance measurement and report for 120 Collins Street. Testing performed 29/06/2021. Order #PO90634,1,625.00,,43000,GST on Income,62.50,,,,,,,
 Prompcorp Management Pty Ltd,,,,,,,,,,66209,103389,02/07/2021,02/07/2021,,,Provide 6 monthly wet and dry slip resistance measurement and report for Bentons Square Shopping Centre. Testing performed 29/06/2021. Order #103389,1,550.00,,43000,GST on Income,55.00,,,,,,,
