Date,Amount,Description,Payee,Reference,Transaction type,Account Code,Tax,Bank,ITEM CODE,Currency rate,Tname,Toption,Tname 1,Toption1,Line Amount Type,Tax Amount,Currency Name
01/07/2021,25.69,Advertisement for a new technician- Incl overseas txn fee $0.75 AUD,Indeed,tfr-4,SPEND,60018.0,BAS Excluded,21002.0,,,,,,,Exclusive,0.0,
03/07/2021,10000.0,Mick Transfer money to Walton Global Account BOQ,Walton Global,tfr-7,SPEND,21401.0,BAS Excluded,19001.0,,,,,,,Exclusive,0.0,
05/07/2021,925.0,ISTS rent,ISTS rent,tfr-9,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
05/07/2021,0.0,ISTS rent,ISTS rent,tfr-9,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
05/07/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-10,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
05/07/2021,37.7,Fuel on rental car,V8 Service station Hughenden,tfr-14,SPEND,62001.0,GST on Expenses,21002.0,,,,,,,Exclusive,3.77,
06/07/2021,58.3,Fuel on rental car,PJ & CR Fuel Supplies Winton,tfr-16,SPEND,62001.0,GST on Expenses,21002.0,,,,,,,Exclusive,5.83,
07/07/2021,2.86,Stripe,Stripe,tfr-17,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
12/07/2021,925.0,ISTS rent,ISTS rent,tfr-28,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
12/07/2021,0.0,ISTS rent,ISTS rent,tfr-28,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
12/07/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-29,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
13/07/2021,145.16,Stripe,Stripe,tfr-32,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
13/07/2021,10.0,ANZ Bank accounting servicing fee,ANZ Bank,tfr-33,SPEND,60001.0,GST Free Expenses,11111.0,,,,,,,Exclusive,0.0,
16/07/2021,2.51,Stripe,Stripe,tfr-43,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
16/07/2021,10.0,ANZ Bank accounting servicing fee,ANZ Bank,tfr-47,SPEND,60001.0,GST Free Expenses,11112.0,,,,,,,Exclusive,0.0,
19/07/2021,925.0,ISTS rent,ISTS rent,tfr-49,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
19/07/2021,0.0,ISTS rent,ISTS rent,tfr-49,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
19/07/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-50,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
26/07/2021,925.0,ISTS rent,ISTS rent,tfr-66,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
26/07/2021,0.0,ISTS rent,ISTS rent,tfr-66,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
26/07/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-67,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
26/07/2021,450.0,Reimbursement accommodation Mick Walton in Auckland trip 15-25 July 2021 ,Mick Walton,tfr-71,SPEND,62112.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
26/07/2021,16.64,Car washing 878ZVZ,Hoppys Handwash Cafe Manly ,tfr-72,SPEND,62005.0,GST on Expenses,21002.0,,,,,,,Exclusive,1.66,
27/07/2021,16.64,Car washing 728WLM,Hoppys Handwsh Cafe Manly,TFR-76,SPEND,62005.0,GST on Expenses,21002.0,,,,,,,Exclusive,1.66,
28/07/2021,3000.0,Aust Tax Office,Aust Tax Office,tfr-77,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
29/07/2021,3514.11,Payment that supposed to be FBT,Aust Tax Office,tfr-79,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
30/07/2021,5000.0,Aust Tax Office,Aust Tax Office,tfr-84,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
30/07/2021,6540.62,Superannuation July 2021,Quick Super,tfr-85,SPEND,21201.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
30/07/2021,16.64,Car washing Jimny,Hoppys Handwash Cafe ,tfr-87,SPEND,62005.0,GST on Expenses,21002.0,,,,,,,Exclusive,1.66,
30/07/2021,1075.15,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62002.0,GST on Expenses,21002.0,,,,,,,Exclusive,107.51,
30/07/2021,941.05,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62002.0,GST on Expenses,21002.0,,,,,,,Exclusive,94.11,
30/07/2021,56.0,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61801.0,GST on Expenses,21002.0,,,,,,,Exclusive,5.6,
30/07/2021,1033.76,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62104.0,BAS Excluded,21002.0,,,,,,,Exclusive,0.0,
30/07/2021,35.51,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62106.0,BAS Excluded,21002.0,,,,,,,Exclusive,0.0,
30/07/2021,132.5,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,60101.0,GST on Expenses,21002.0,,,,,,,Exclusive,13.25,
30/07/2021,969.89,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61004.0,GST on Expenses,21002.0,,,,,,,Exclusive,96.99,
30/07/2021,81.81,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61301.0,GST on Expenses,21002.0,,,,,,,Exclusive,8.19,
30/07/2021,42.28,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61301.0,GST on Expenses,21002.0,,,,,,,Exclusive,4.22,
30/07/2021,543.43,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61301.0,GST on Expenses,21002.0,,,,,,,Exclusive,54.35,
30/07/2021,443.41,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61304.0,GST on Expenses,21002.0,,,,,,,Exclusive,44.34,
30/07/2021,4260.81,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61501.0,GST on Expenses,21002.0,,,,,,,Exclusive,426.08,
30/07/2021,238.38,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61502.0,GST on Expenses,21002.0,,,,,,,Exclusive,23.84,
30/07/2021,99.99,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61503.0,GST on Expenses,21002.0,,,,,,,Exclusive,10.0,
30/07/2021,2397.6,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61504.0,GST on Expenses,21002.0,,,,,,,Exclusive,239.76,
30/07/2021,85.76,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61505.0,GST on Expenses,21002.0,,,,,,,Exclusive,8.58,
30/07/2021,2728.44,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61506.0,GST on Expenses,21002.0,,,,,,,Exclusive,272.84,
30/07/2021,821.09,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62112.0,BAS Excluded,21002.0,,,,,,,Exclusive,0.0,
30/07/2021,74.5,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61705.0,GST on Expenses,21002.0,,,,,,,Exclusive,7.45,
30/07/2021,240.64,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,62107.0,BAS Excluded,21002.0,,,,,,,Exclusive,0.0,
30/07/2021,45.46,Credit card expenses July 2021,Mick and Technicians,tfr-88,SPEND,61711.0,GST on Expenses,21002.0,,,,,,,Exclusive,4.54,
02/08/2021,925.0,ISTS rent,ISTS rent,tfr-90,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
02/08/2021,0.0,ISTS rent,ISTS rent,tfr-90,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
02/08/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-91,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
02/08/2021,63.29,ANZ Bank-interest charged on cash,ANZ Bank,tfr-96,SPEND,60001.0,GST Free Expenses,21002.0,,,,,,,Exclusive,0.0,
02/08/2021,352.62,ANZ Bank- Interest charged on purchases,ANZ Bank,tfr-97,SPEND,60001.0,GST Free Expenses,21002.0,,,,,,,Exclusive,0.0,
03/08/2021,825.0,Reimbursement of overpayment for invoice #65886 Groove Tiles & Stone,No Name,tfr-100,SPEND,43006.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
06/08/2021,16.64,Car washing 878ZVZ,Hoppys Handwash,tfr-109,SPEND,62005.0,GST on Expenses,21002.0,,,,,,,Exclusive,1.66,
06/08/2021,20000.0,Loan to Mackaroo to Walton Global,BOQ Walton Global Account #230245696 ( which is NOT recorded in MYOB),tfr-110,SPEND,21401.0,BAS Excluded,19001.0,,,,,,,Exclusive,0.0,
09/08/2021,4.26,Stripe,Stripe,tfr-111,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
09/08/2021,925.0,ISTS rent,ISTS rent,tfr-113,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
09/08/2021,0.0,ISTS rent,ISTS rent,tfr-113,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
09/08/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-114,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
09/08/2021,5000.0,Deposit payment for new BMW that is going to be received in March 2022,LMH Holdings Pty Ltd,tfr-118,SPEND,11401.0,GST Free Expenses,21002.0,,,,,,,Exclusive,0.0,
10/08/2021,3000.0,Aust Tax Office,Aust Tax Office,tfr-119,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
11/08/2021,6.17,Stripe,Stripe,tfr-120,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
11/08/2021,2000.0,Aust Tax Office,Aust Tax Office,tfr-122,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
12/08/2021,5000.0,Aust Tax Office,Aust Tax Office,tfr-123,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
12/08/2021,4000.0,Aust Tax Office,Aust Tax Office,tfr-124,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
13/08/2021,114.84,Stripe,Stripe,tfr-126,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
13/08/2021,10.0,ANZ Bank accounting servicing fee,ANZ Bank,tfr-127,SPEND,60001.0,GST Free Expenses,11111.0,,,,,,,Exclusive,0.0,
13/08/2021,3000.0,Aust Tax Office,Aust Tax Office,tfr-129,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
16/08/2021,925.0,ISTS rent,ISTS rent,tfr-135,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
16/08/2021,0.0,ISTS rent,ISTS rent,tfr-135,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
16/08/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-137,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
16/08/2021,2000.0,Aust Tax Office,Aust Tax Office,tfr-139,SPEND,21103.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
18/08/2021,10.0,ANZ Bank accounting servicing fee,ANZ Bank,tfr-143,SPEND,60001.0,GST Free Expenses,11112.0,,,,,,,Exclusive,0.0,
18/08/2021,97.93,Fuel 448BG4 ,Coles Express,tfr-144,SPEND,62001.0,GST on Expenses,21002.0,,,,,,,Exclusive,9.79,
19/08/2021,76.07,Fuel on 728WLM,AMPOL Forbes ,tfr-149,SPEND,62001.0,GST on Expenses,21002.0,,,,,,,Exclusive,7.61,
20/08/2021,21.48,Stripe,Stripe,tfr-152,SPEND,60036.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
23/08/2021,925.0,ISTS rent,ISTS rent,tfr-154,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
23/08/2021,0.0,ISTS rent,ISTS rent,tfr-154,SPEND,61102.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
23/08/2021,700.0,Walton Global Pty Ltd- RENT,Walton Global Pty Ltd,tfr-156,SPEND,62601.0,BAS Excluded,11111.0,,,,,,,Exclusive,0.0,
24/08/2021,38.7,Stripe,Stripe,tfr-159,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
24/08/2021,21.48,Stripe,Stripe,tfr-160,SPEND,60036.0,BAS Excluded,11115.0,,,,,,,Exclusive,0.0,
24/08/2021,36.36,Iphone case,Case Bar,tfr-163,SPEND,61007.0,GST on Expenses,21002.0,,,,,,,Exclusive,3.64,
