Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Currency Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
10000,Assets,H,"£2,185,934.02",Asset,,,,N,,,,,,,,,,,,Y
10001,Cash & Cash Equivalents,H,"£774,713.19",Asset,,,,N,,,,,,,,,,,,Y
10100,PIL,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
10180,PIL,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11100,Unibank - 8282,,"£18,947.69",Bank,761928,N-T,,Y,,,,,,N,,,N,,,
11110,Bendigo Bank - 8497,,"£23,383.48",Bank,487,N-T,,N,,633-000,125118497,PI,PI,Y,BBL,627002,Y,,,
11111,Bendigo Bank - 4216 DC,,"£30,408.69",Bank,0,N-T,,N,,633-000,179724216,PROTEOMICS INTERNATIONAL PTY LTD,,N,,,N,PI Debit Card Account,,
11112,Bendigo Bank - 1289 USD,,"-£3,971.77",Bank,0,N-T,USD,Y,,,,,,N,,,N,,,
11113,Bendigo Bank - 9502,,"£630,040.18",Bank,0,N-T,,N,,633-000,217379502,PROTEOMICS INTERNATIONAL,PROTEOMICS INTER,Y,BBL,669315,Y,,,
11114,Bendigo Bank - 1289 US A/C,,"£33,939.80",Bank,0,N-T,,N,,,,,,N,,,N,,,
11115,Bendigo Bank - 1289 US/AU diff,,"£18,958.89",Bank,2,N-T,,N,,,,,,N,,,N,"Balance as at 30/04/25 USD33,939.8",,
11116,Western Union US/AU diff,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11117,Western Union JPY A/C,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11118,Western Union JPY/AU diff,,£0.00,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11119,Commbank 1236 6463,,"£40,947.09",Bank,0,N-T,,N,,,,,,N,,,N,,,
11120,Commbank USD 1236 6500,,"£1,627.29",Bank,0,N-T,USD,Y,,,,,,N,,,N,,,
11121,Commbank JPY 1236 6519,,£791.60,Bank,0,N-T,JPY,Y,,,,,,N,,,N,,,
11124,Commbank USD/AU diff,,-£573.99,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11125,Commbank JPY/AU diff,,-£691.16,Bank,0,N-T,,Y,,,,,,N,,,N,,,
11126,Commbank USD 1236 6500,,"-£1,129.24",Bank,0,N-T,,Y,,,,,,N,,,N,,,
11127,Commbank JPY 1236 6519,,-£73.33,Bank,0,N-T,,Y,,,,,,N,,,N,,,
