Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables
Protective Fabr,Protective Fabrications,,H,,Joe Vella,0%,01/01/2006,,Joe Vella,,N,N
CGU Insurance,CGU Insurance,,H,,,0%,01/01/2005,,,,N,N
Profab 6306,Labour secondment Nov06,,D,Secondment of Adam and Paul,Joe Vella,0%,28/10/2006,,,,N,N
Bosut,Bosut,,D,,,0%,,,,Bosut Pty Ltd,N,Y
Wang-1,Wangara Poultry & Game,,D,equip for game & consultancy,Michael Cowie,0%,28/03/2007,,,Wangara Poultry and Game,N,Y
Sales Work,Sales Work,,D,Potential sales work,,0%,,,,,N,N
Parkhurst-Legal,Parkhurst-Legal expenses,,D,,,0%,01/01/2007,,,Parkhurst Farms Pty Ltd,N,Y
PIX,PIX,,H,PIX Exhibition,,0%,,,,,N,N
Parkhurst-Warr,Parkhurst-Warranty,,D,Warranty on gigola fans,,0%,29/10/2008,,,,N,N
Tools-Capital,Tools-Capital,,D,Tools as a capital expense,,0%,,,,,N,Y
Cass-10697,Cassacio-10697-Lara,,D,"new ska nest/slat/feed/drink sys, Ska x auger & vencomatic slat additions/modifications",,0%,24/11/2009,,,Casaccio Egg Farm,N,Y
Tools-Non Cap,Tools-Non Capital,,D,Tools,,0%,,,,,N,N
Conference,Conference,,D,,,0%,,,,,N,N
Stock,Stock,,D,,,0%,,,,,N,N
Kes1-10788,Kessler-10788,,D,Avio system- To start 11.01.10,,0%,29/07/2009,,,Kessmore P/L,N,N
Olde-11505,Olde Ballarat Country Fre,,D,"supply & instal Zucami Equip, ventilation equip& coolroom panel",Arben Drenica,0%,01/02/2010,,S Colla,Olde Ballarat Fresh Country Eggs,N,Y
Kes2-11774,Kessler-2nd Avio system,,D,re order 11774,,0%,01/03/2010,,,Kessmore P/L,N,Y
Kes3-11806,Kessler- Avio 3rd system,,D,System No 3,,0%,01/03/2010,,,Kessmore P/L,N,Y
Colla S & P,New Job,,D,travel O/seas- query re account allocation,,0%,01/07/2009,30/06/2010,,,N,N
Industry Meetin,Industry Meetings,,D,"Eg VFF, Egg Board, Victorian chicken Meat council etc",,0%,,,,,N,N
staff event,Staff event,,D,events associated with team building etc os staff,,0%,,,,,N,N
Trade Show,Trade Show,,D,expenses relating to attendance at trade shows,,0%,,,,,N,N
Promo event,Promotional Event,,D,promotional activities,,0%,,,,,N,N
Kam-12114A,P Kambouris Avio D System,,D,supply & installation for 1 shed & slat washer\r\nTo be Installed approx Aug2010,,0%,01/07/2010,,,Aginbrook Pty Ltd,N,Y
check EOFY,EOFY issue,,D,these items need to be checked as they crossover fin years,,0%,,,,,N,N
Kes4-12606,Kessler Avio 4,,D,4th Avio system,,0%,01/09/2010,,,Kessmore P/L,N,Y
Fuel-,Fuel,,D,,,0%,,,,,N,N
Insurance,Insurance,,D,,,0%,,,,,N,N
Rego,Car Rego,,D,,,0%,,,,,N,N
Car Accessory,Car Accessory,,D,,,0%,,,,,N,N
O/Seas Supplier,New Job,,D,,,0%,,,,,N,N
Kes5-13471,Kessler Avio 5,,D,Avio system No 5,,0%,05/04/2011,,,Kessmore P/L,N,Y
car repairs,car repairs,,D,,,0%,,,,,N,N
AGIN-13503,Aginbrook 13503,Ag-Browns Rd,D,Avio nest installation second shed,,0%,07/04/2011,,,Aginbrook Pty Ltd,N,N
Industry Event,Industry Event,,D,"activities associated with poultry, rabbit etc industry-",,0%,,,,,N,N
SOF,SOF required,,D,Site supervisor to prepare a SOF,,0%,,,,,N,N
staff meeting,New Job,,D,,,0%,,,,,N,N
Olde-13193,Olde Ballarat Egg Grader,,D,"Egg grader from Simetek, installation & instruction-",,0%,20/01/2011,21/05/2011,,Olde Ballarat Fresh Country Eggs,N,N
Forklift Toyota,Toyota Forklift,,D,,,0%,,,,,N,N
