{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co./Last Name,First Name,Card ID,Card Status,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Addr 1 - City,Addr 1 - State,Addr 1 - Postcode,Addr 1 - Country,Addr 1 - Phone No. 1,Addr 1 - Phone No. 2,Addr 1 - Phone No. 3,Addr 1 - Fax No.,Addr 1 - Email,Addr 1 - WWW,Addr 1 - Contact Name,Addr 1 - Salutation,Addr 2 - Line 1,Addr 2 - Line 2,Addr 2 - Line 3,Addr 2 - Line 4,Addr 2 - City,Addr 2 - State,Addr 2 - Postcode,Addr 2 - Country,Addr 2 - Phone No. 1,Addr 2 - Phone No. 2,Addr 2 - Phone No. 3,Addr 2 - Fax No.,Addr 2 - Email,Addr 2 - WWW,Addr 2 - Contact Name,Addr 2 - Salutation,Addr 3 - Line 1,Addr 3 - Line 2,Addr 3 - Line 3,Addr 3 - Line 4,Addr 3 - City,Addr 3 - State,Addr 3 - Postcode,Addr 3 - Country,Addr 3 - Phone No. 1,Addr 3 - Phone No. 2,Addr 3 - Phone No. 3,Addr 3 - Fax No.,Addr 3 - Email,Addr 3 - WWW,Addr 3 - Contact Name,Addr 3 - Salutation,Addr 4 - Line 1,Addr 4 - Line 2,Addr 4 - Line 3,Addr 4 - Line 4,Addr 4 - City,Addr 4 - State,Addr 4 - Postcode,Addr 4 - Country,Addr 4 - Phone No. 1,Addr 4 - Phone No. 2,Addr 4 - Phone No. 3,Addr 4 - Fax No.,Addr 4 - Email,Addr 4 - WWW,Addr 4 - Contact Name,Addr 4 - Salutation,Addr 5 - Line 1,Addr 5 - Line 2,Addr 5 - Line 3,Addr 5 - Line 4,Addr 5 - City,Addr 5 - State,Addr 5 - Postcode,Addr 5 - Country,Addr 5 - Phone No. 1,Addr 5 - Phone No. 2,Addr 5 - Phone No. 3,Addr 5 - Fax No.,Addr 5 - Email,Addr 5 - WWW,Addr 5 - Contact Name,Addr 5 - Salutation,Notes,Identifiers,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Billing Rate,Cost Per Hour,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Tax Code,Credit Limit,Tax ID No.,Payment Method,Payment Notes,Name on Card,Card Number,BSB,Account Number,Account Name,Statement Text,Remittance Method,Remittance Address,A.B.N. ,A.B.N. Branch,Volume Discount %,Sales/Purchase Layout,Account,Comment,Shipping Method,Printed Form,Freight Tax Code,Use Supplier's Tax Code,Report Taxable Payments,Payment Memo,Invoice/Purchase Order Delivery,Record ID,,,,,,,
Acacia Pest Control Pty Ltd,,*None,N,Shop 1,19 Capital Drive,,,Grovedale,VIC,3216,Australia,1300 257 774,,,,accounts@acaciapestcontrol.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,013-523,378145519,ACACIA PEST CONTROL,EDENCRAFT INT.,P,,48217362590,,0,S,5-1110,,,,GST,Y,N,,P,5,,,,,,,
AJL Marine  *,,*None,N,,,,,,,,,0407 811 671,,,,ajlmarine@bigpond.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,063-582,10017077,ALLISTER LOUIS,EDENCRAFT INT.,P,,39425822017,,0,S,5-1110,,,,GST,Y,N,,P,6,,,,,,,
ALFAB,,*None,N,130 Bamfield Road,,,,West Heidelberg,VIC,3081,Australia,03 9459 1333,,,,leigh@alfab.com.au,mick@alfab.com.au,Mick- orders / Leigh - or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,033-057,522441,ALFAB AUST PTY LTD,EDENCRAFT INT.,P,,25004595439,,0,S,5-1110,,,,GST,N,N,,P,7,,,,,,,
Allianz Australia Workers Compensation,,*None,N,GPO Box 80,,,,Melbourne,VIC,3001,Australia,03 9234 3285,,,,vic_wc_premiums@allianz.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,033-000,221437,ALLIANZ AUSTRALIA VIC LTD,EDENCRAFT INT.,P,,,,0,S,5-1110,,,,GST,N,N,,P,8,,,,,,,
Alltools Geelong,,*None,N,124 Fyans Street,,,,Geelong South,VIC,3220,Australia,03 5223 1577,,,,accounts@alltoolsgeelong.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,063-512,10157190,ALLTOOLS GEELONG,EDENCRAFT INT.,P,,70007099783,,0,S,May-00,,,,GST,Y,N,,P,9,,,,,,,
Ascari Information Technology,,*None,N,PO Box 57,,,,Launceston,TAS,7250,Australi,03 6311 0865,,,,info@ascari.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,067-600,10712281,ASCARI,EDENCRAFT INT.,P,,65477420748,,0,S,5-1110,,,,GST,Y,N,,P,10,,,,,,,
Ashdown Ingram,,*None,N,470 Melbourne Road,,,,North Geelong,VIC,3215,Australia,1300 638 971,,,,accounts@ashdown-ingram.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,084-004,534677155,ASHDOWN INGRAM,EDENCRAFT INT.,P,,97097993283,,0,S,Jun-90,,,,GST,N,N,,P,11,,,,,,,
Australia Post  *,,*None,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,28864970579,,0,S,5-1110,,,,GST,Y,N,,P,12,,,,,,,
Ballistic Engineering,,*None,N,185 Breamlea Road,,,,Connewarre,VIC,3227,Australia,0418 996 131,,,,ballisteng@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,013-523,109427104,BALLISTIC ENGINEERING,EDENCRAFT INT.,P,,97265077200,,0,S,5-1110,,,,GST,Y,N,,P,13,,,,,,,
Barwon Water,,*None,N,PO Box 14206,,,,Melbourne City MC,VIC,8001,Australia,1300 656 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,1,30,0,GST,0,,,,,,,,,,P,,86348316514,,0,S,Jun-30,,,,GST,Y,N,,P,14,,,,,,,
