*Code,*Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments
10000,Assets,Current Asset,BAS Excluded,,No,No,No
11010,ANZ Aussie Billet #6506,Bank,BAS Excluded,,Yes,No,No
11111,ANZ USD ac #00001,Bank,BAS Excluded,,Yes,No,No
11112,USD Conversion Account,Bank,BAS Excluded,,Yes,No,No
11113,ANZ AUD,Bank,BAS Excluded,USD feeder acc.,Yes,No,No
11114,Paypal ,Bank,BAS Excluded,,Yes,No,No
11115,Com Bank Account #5032,Bank,BAS Excluded,,Yes,No,No
11116,Stripe Clearing Account,Bank,BAS Excluded,,Yes,No,No
11117,Commonwealth - USD,Bank,BAS Excluded,,Yes,No,No
11118,Commonwealth USD #5024,Bank,BAS Excluded,,Yes,No,No
11120,EFTPOS Clearing Account,Bank,BAS Excluded,,Yes,No,No
11121,Macquarie CMA 4987,Bank,BAS Excluded,Aussi Billet Cash Management Account,Yes,No,No
11122,Macquarie Accelerator 1836,Bank,BAS Excluded,Aussie Cash Accelerator Account,Yes,No,No
11130,Petty Cash,Bank,BAS Excluded,,Yes,No,No
11140,Cash Drawer,Bank,BAS Excluded,,Yes,No,No
11150,Electronic Clearing Account,Bank,BAS Excluded,,Yes,No,No
11160,Undeposited Funds,Bank,BAS Excluded,,Yes,No,No
11170,Customer Deposits,Current Asset,BAS Excluded,,No,No,No
11180,Cheque Account Bank West,Bank,BAS Excluded,,Yes,No,No
11190,CONTRA USD clearing,Bank,BAS Excluded,,Yes,No,No
11191,Contra AUD clearing,Bank,BAS Excluded,,Yes,No,No
11200,Accounts Receivable,Accounts Receivable,BAS Excluded,,No,No,No
11210,Less Prov'n for Doubtful Debts,Current Asset,BAS Excluded,,No,No,No
11300,Inventory,Current Asset,BAS Excluded,,No,No,No
11310,Stock on Hand,Bank,BAS Excluded,,Yes,No,No
11320,Finished Goods,Current Asset,BAS Excluded,,No,No,No
11330,do not use,Current Asset,BAS Excluded,,No,No,No
11340,Closing Stock,Current Asset,BAS Excluded,,No,No,No
11350,Work in Progress - Opening,Current Asset,BAS Excluded,,No,No,No
11360,Work in Progress - Closing,Current Asset,BAS Excluded,,No,No,No
11510,Accrual - Recoveries (Related Party),Current Asset,BAS Excluded,,No,No,No
11950,Withholding Credits,Current Asset,BAS Excluded,,No,No,No
12000,Undeposited Funds Account,Bank,BAS Excluded,,Yes,No,No
12100,Shareholders Loan Accounts,Current Asset,BAS Excluded,,No,No,No
12200,Formation Costs,Current Asset,BAS Excluded,,No,No,No
12250,Amortization,Current Asset,BAS Excluded,,No,No,No
13100,Plant & Equipment,Current Asset,BAS Excluded,,No,No,No
13110,Manufacturing Plant at Cost,Current Asset,GST on Capital,,No,No,No
13120,Manufac. Plant Accum Dep,Current Asset,BAS Excluded,,No,No,No
13130,Manufacturing Equipment Cost,Current Asset,GST on Capital,,No,No,No
13140,Manufac. Equip Accum Dep,Current Asset,BAS Excluded,,No,No,No
13150,Tools,Current Asset,BAS Excluded,,No,No,No
13200,Furniture & Fixtures,Current Asset,BAS Excluded,,No,No,No
13210,Furniture & Fixtures at Cost,Current Asset,BAS Excluded,,No,No,No
13220,Furniture & Fixtures Accum Dep,Current Asset,BAS Excluded,,No,No,No
13300,Office Equipment,Current Asset,BAS Excluded,,No,No,No
13305,Adellaide Engine Development,Current Asset,BAS Excluded,,No,No,No
13310,Office Equip at Cost,Current Asset,BAS Excluded,,No,No,No
13320,Office Equip Accum Dep,Current Asset,BAS Excluded,,No,No,No
13400,Motor Vehicles,Current Asset,BAS Excluded,,No,No,No
13410,Motor Vehicles at Cost,Current Asset,BAS Excluded,,No,No,No
13420,Motor Vehicles Accum Dep,Current Asset,BAS Excluded,,No,No,No
13510, Property Improvements At Cost,Current Asset,BAS Excluded,,No,No,No
13520,Less Accumulated Depreciation on Property Improvements,Current Asset,BAS Excluded,,No,No,No
15000,Trade Debtors,Accounts Receivable,BAS Excluded,,No,No,No
20000,Liabilities,Liability,BAS Excluded,,No,No,No
21000,Trade Creditors,Accounts Payable,BAS Excluded,,No,No,No
21100,Credit Cards,Liability,BAS Excluded,,No,No,No
21140,Visa,Bank,BAS Excluded,,Yes,No,No
21200,Trade Creditors,Accounts Payable,BAS Excluded,,No,No,No
21215,Guarentee Holdback,Current Liability,BAS Excluded,,No,No,No
21300,GST Liabilities,Liability,BAS Excluded,,No,No,No
21330,GST Collected,Current Liability,BAS Excluded,,No,No,No
21340,GST Paid,Current Liability,BAS Excluded,,No,No,No
21350,ATO - ICA,Bank,BAS Excluded,,Yes,No,No
21355,ATO - ITA,Current Liability,BAS Excluded,,No,No,No
21357,ATO - SGC,Current Liability,BAS Excluded,,No,No,No
21360,Import Duty Payable,Current Liability,BAS Excluded,,No,No,No
21370,GST adjustment,Current Liability,BAS Excluded,,No,No,No
21400,Payroll Liabilities,Liability,BAS Excluded,,No,No,No
21410,Payroll Deductions Payable,Current Liability,BAS Excluded,,No,No,No
21420,PAYG Withholding Payable,Current Liability,BAS Excluded,,No,No,No
21430,PAYG tax inst,Current Liability,BAS Excluded,,No,No,No
21440,Superannuation Liability,Current Liability,BAS Excluded,,No,No,No
21450,PAYG-I Payable,Current Liability,BAS Excluded,,No,No,No
21510,Accrued Charges - Related Party,Current Liability,BAS Excluded,,No,No,No
21600,Customer Deposits,Current Liability,BAS Excluded,,No,No,No
21700,Other Current Liabilities,Liability,BAS Excluded,,No,No,No
21710,"Loan - BME (USD Funds) - $14,587 USD",Bank,BAS Excluded,,Yes,No,No
21720,Loan - CNC Porting Pty Ltd,Bank,BAS Excluded,,Yes,No,No
21730,Loan - DPR Enterprises,Current Liability,BAS Excluded,,No,No,No
22500,Equipment Finance,Current Liability,BAS Excluded,,No,No,No
25000,Loan Accounts - Directors,Liability,BAS Excluded,,No,No,No
25100,Loan - D Palumbo - 40%,Bank,BAS Excluded,,Yes,No,No
25200,Loan - Marcus Giobbi (MVS Trust) - 40%,Bank,BAS Excluded,,Yes,No,No
25300,Loan - H Palumbo - 20%,Bank,BAS Excluded,,Yes,No,No
26000,Provision for Income Tax,Current Liability,BAS Excluded,,No,No,No
28888,Accrued Charges - Related Party,Current Liability,BAS Excluded,,No,No,No
29999,Suspense Account,Bank,BAS Excluded,,Yes,No,No
30000,Equity,Equity,BAS Excluded,,No,No,No
31000,Capital,Equity,BAS Excluded,,No,No,No
31100,Capital Investment,Equity,BAS Excluded,,No,No,No
31150,ordinary shares $1.00 fp,Equity,BAS Excluded,,No,No,No
31200,Capital Drawings,Equity,BAS Excluded,,No,No,No
38000,Retained Earnings,Equity,BAS Excluded,,No,No,No
39000,Current Year Earnings,Equity,BAS Excluded,,No,No,No
39999,Historical Balancing,Equity,BAS Excluded,,No,No,No
40000,Income,Revenue,BAS Excluded,,No,No,No
41000,Sales,Revenue,BAS Excluded,,No,No,No
41110,Income - General Sales,Revenue,GST on Income,,No,No,No
41111,Income - Ebay Sales,Revenue,GST on Income,,No,No,No
41112,Income Engine Shop,Revenue,GST on Income,Income from engine shop sales,No,No,No
41113,Income CNC,Revenue,GST on Income,,No,No,No
41120,Income - Export Sales,Revenue,BAS Excluded,,No,No,No
41130,Income - Website Sales,Revenue,GST on Income,,No,No,No
41135,Income - Website Export Sales,Revenue,BAS Excluded,,No,No,No
41140,Income - Freight Sales,Revenue,GST on Income,,No,No,No
41150,Income - Credit Card Surcharge,Revenue,GST on Income,,No,No,No
41160,Interest income,Revenue,GST Free Income,,No,No,No
41600,Income - Equipment Rental,Revenue,GST on Income,,No,No,No
41610,Rental Income,Revenue,GST on Income,,No,No,No
41620,Electricity Income,Revenue,GST on Income,,No,No,No
41700,Income - Scrap Metal,Revenue,GST on Income,,No,No,No
42000,Grants Received,Revenue,GST Free Income,,No,No,No
49999,Currency Gain/Loss,Revenue,BAS Excluded,,No,No,No
50000,Cost Of Sales,Direct Costs,BAS Excluded,,No,No,No
51000,Retail Cost of Sales,Direct Costs,BAS Excluded,,No,No,No
51110,Cost of Goods Sold - Inventory,Direct Costs,BAS Excluded,,No,No,No
51111,Parts Engine Shop,Direct Costs,BAS Excluded,Parts used for Engine Builds,No,No,No
51120,Cost of Goods - Materials & Supplies CNC,Direct Costs,BAS Excluded,,No,No,No
51130,Cost of goods materials & supplies ENG,Direct Costs,BAS Excluded,,No,No,No
51140,Cost of goods - Import (GST Free),Direct Costs,BAS Excluded,,No,No,No
51150,Opening Stock,Direct Costs,BAS Excluded,,No,No,No
