{}
Account Number	Account Name	Header	Balance	Account Type	Last Cheque Number	Tax Code	Inactive Account	AccountantLink Code	BSB Number	B/Account Number	B/Account Name	Company Trading Name	Create Bank Files	Bank Code	Direct Entry User ID	Self Balancing Transaction	Description	Classification for Statement of Cash Flow	Subtotal Header Accounts
10000	Assets	H	£9,122,436.72	Asset			N												Y
11000	Current Assets	H	£8,674,107.91	Asset			N												Y
11100	Cash On Hand	H	-£179,495.50	Asset			N												Y
11101	Debtors Clearing Account		£0.00	Bank	300401	N-T	Y						N			N			
11102	Westpac Trading Account		£0.00	Bank	94	N-T	Y		036-000	467545	CHOICEONE PTY LTD	CHOICEONE	N	WBC	407922	N			
11103	Westpac Invoice Finance		£0.00	Bank	0	N-T	Y						N			N			
11110	Fasttrack Import Receipts		£0.00	Bank	70	N-T	Y						Y			N			
11120	NAB Trading Closed		£0.00	Bank	400328	N-T	Y				CHOICEONE PTY LTD	CHOICEONE	N	NAB	210891	Y			
11123	NAB Trading Account 1919		£158,585.56	Bank	569	N-T	N		086-006	733651919	CHOICEONE PTY LTD	CHOICEONE	Y	NAB	210891	Y			
11124	NAB NDF A/C		-£343,480.94	Bank	5497	N-T	N		086-006	730667982	CHOICEONE	CHOICEONE	Y	NAB	210891	Y			
11125	NAB - Pannawonica		£0.00	Bank	1	N-T	Y						N			N			
11140	Petty Cash		£14.30	Bank	56	N-T	N						N			N			
11141	Petty Cash - GBP		£0.00	Other Asset		N-T	Y											O	
11145	Petty Cash - Pluto		£0.00	Other Asset		N-T	Y											O	
11150	Provision Account		£0.00	Bank	0	N-T	N						N			N			
11165	Bond Monies		£0.00	Bank	0	N-T	Y						N			N			
11180	Undeposited Funds		£5,385.58	Bank	1	N-T	N						N			N			
11190	Electronic Clearing Account		£0.00	Bank	308737	N-T	N		000-000	000000000	CLEARING	CHOICE	Y	NAB	010101	N			
11200	Trade Debtors - Venus & Astute		£2,125,180.62	Accounts Receivable		N-T	N											O	
11202	Accrued Income		£0.00	Other Asset		N-T	N											O	
11203	Sundry Debtors		£3,239.74	Other Asset		N-T	N											O	
11210	Less Prov'n for Doubtful Debts		£0.00	Other Asset		N-T	N											O	
11211	Employee Loan		£0.00	Other Asset		N-T	N											O	
11305	Loan - M&C Goh 2012		£0.00	Other Asset		N-T	Y											O	
11306	Loan - M&C Goh 2013		£0.00	Other Asset		N-T	Y											O	
11307	Loan - M&C Goh 2014		£0.00	Other Asset		N-T	Y											O	
11308	Loan - M&C Goh 2015		£0.00	Other Asset		N-T	Y											O	
11309	Loan - M&C Goh 2016		£0.00	Other Asset		N-T	Y											O	
11310	Loan - Craig Van Heurck		£0.00	Other Asset		N-T	Y											O	
11311	Loan - M&C Goh 2017		£0.00	Other Asset		N-T	Y											O	
11371	Loan - Van Heurck F/T - 2007		£0.00	Other Asset		N-T	Y											O	
11372	Loan - Simone Van Heurck		£0.00	Other Asset		N-T	Y											O	
11378	Loan - Van Heurck F/T - 2014		£0.00	Other Asset		N-T	Y											O	
11379	Loan - Van Heurck F/T - 2015		£0.00	Other Asset		N-T	Y											O	
11380	Loan - Prime Int Consultants		£3,259,181.03	Bank	0	N-T	N						N			N			
11381	Loan - Van Heurck F/T - 2016		£0.00	Other Asset		N-T	Y											O	
11382	Loan - Van Heurck F/T - 2017		£0.00	Other Asset		N-T	Y											O	
11383	Loan - Van Heurck F/T - 2018		£0.00	Other Asset		N-T	Y											O	
11384	Loan - Van Heurck F/T - 2019		£604,118.48	Other Asset		N-T	N											O	
11389	Loan - Goh Corp - 2014		£0.00	Other Asset		N-T	Y											O	
11390	Loan - Personal Investment		£706.38	Other Asset		N-T	N											O	
11391	Loan - M & C Goh 145 Vic Ave		£0.00	Other Asset		N-T	Y											O	
11392	Loan - M & C Goh 157 Vic Ave		£0.00	Other Asset		N-T	Y											O	
11394	Loan - Midas Prime (Aust) P/L		£13,884.67	Other Asset		N-T	N											O	
11395	Loan - One Choice P/L		£20,892.49	Other Asset		N-T	N											O	
11396	Loan - Goh Corp P/L 2007-08		£0.00	Other Asset		N-T	Y											O	
11397	Short Term Emp'ee Advance		£0.00	Other Asset		N-T	Y											O	
11398	Adv- C & M Goh ( S&W)		£193,452.79	Other Current Asset		N-T	N											O	
11399	Loan - Goh Corp P/L Current		£68,304.65	Other Asset		N-T	N											O	
11400	Prepaid Insurance		£264,460.14	Other Asset		N-T	N											O	
11500	Prov for Workers Comp Clearing		£8,586.04	Other Asset		N-T	N											O	
11700	Prepaid Other		£7,344.00	Other Asset		N-T	N											O	
11701	Prepaid Advertising		£0.00	Other Asset		N-T	N											O	
11710	Deposit - Contract		£2,255,749.09	Other Asset		N-T	N											O	
