{}
Co./Last Name	First Name	Card ID	Card Status	Addr 1 - Line 1	Addr 1 - Line 2	Addr 1 - Line 3	Addr 1 - Line 4	Addr 1 - City	Addr 1 - State	Addr 1 - Postcode	Addr 1 - Country	Addr 1 - Phone No. 1	Addr 1 - Phone No. 2	Addr 1 - Phone No. 3	Addr 1 - Fax No.	Addr 1 - Email	Addr 1 - WWW	Addr 1 - Contact Name	Addr 1 - Salutation	Addr 2 - Line 1	Addr 2 - Line 2	Addr 2 - Line 3	Addr 2 - Line 4	Addr 2 - City	Addr 2 - State	Addr 2 - Postcode	Addr 2 - Country	Addr 2 - Phone No. 1	Addr 2 - Phone No. 2	Addr 2 - Phone No. 3	Addr 2 - Fax No.	Addr 2 - Email	Addr 2 - WWW	Addr 2 - Contact Name	Addr 2 - Salutation	Addr 3 - Line 1	Addr 3 - Line 2	Addr 3 - Line 3	Addr 3 - Line 4	Addr 3 - City	Addr 3 - State	Addr 3 - Postcode	Addr 3 - Country	Addr 3 - Phone No. 1	Addr 3 - Phone No. 2	Addr 3 - Phone No. 3	Addr 3 - Fax No.	Addr 3 - Email	Addr 3 - WWW	Addr 3 - Contact Name	Addr 3 - Salutation	Addr 4 - Line 1	Addr 4 - Line 2	Addr 4 - Line 3	Addr 4 - Line 4	Addr 4 - City	Addr 4 - State	Addr 4 - Postcode	Addr 4 - Country	Addr 4 - Phone No. 1	Addr 4 - Phone No. 2	Addr 4 - Phone No. 3	Addr 4 - Fax No.	Addr 4 - Email	Addr 4 - WWW	Addr 4 - Contact Name	Addr 4 - Salutation	Addr 5 - Line 1	Addr 5 - Line 2	Addr 5 - Line 3	Addr 5 - Line 4	Addr 5 - City	Addr 5 - State	Addr 5 - Postcode	Addr 5 - Country	Addr 5 - Phone No. 1	Addr 5 - Phone No. 2	Addr 5 - Phone No. 3	Addr 5 - Fax No.	Addr 5 - Email	Addr 5 - WWW	Addr 5 - Contact Name	Addr 5 - Salutation	Notes	Identifiers	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Billing Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Tax Code	Credit Limit	Tax ID No.	Volume Discount %	Sales/Purchase Layout	Price Level	Payment Method	Payment Notes	Name on Card	Card Number	BSB	Account Number	Account Name	A.B.N. 	A.B.N. Branch	Account	Salesperson	Salesperson Card ID	Comment	Shipping Method	Printed Form	Freight Tax Code	Use Customer's Tax Code	Receipt Memo	Invoice/Purchase Order Delivery	Record ID
ZZ Prime International Consultants		*None	Y	PO Box 7108				Cloisters Sqr	WA	6850										PO Box 7108					WA	6850										PO Box 7108					WA	6850																																																		0	5	1	30	0	0	GST	0		0	S	0																GST	N		P	6235
ChoiceOne		*None	Y																																																																																									0	5	1	30	0	0	GST	0		0	S	0																GST	N		P	9197
Acacia Prison		*None	Y									9573 3161	Shared Services	1300366468	9573 3350	kier.tenardi@serco-ap.com.au		Kier Tenardi																																																																			V							0	5	1	30	0	0	GST	0		0	S	0	EFTPOS		Acacia Prison	    												GST	N		P	9341
Ascot Nursing Home		*None	Y																																																																																									0	5	1	30	0	0	GST	0		0	S	0																GST	N		P	9350
Attadale Hospital		*None	N													accountspayable.vim@ramsayhealth.com.au		see card details																																																																		paid by Ramsay Health accountspayable.vim@ramsayhealth.com.au Vendor # 0000801375	V							0	5	1	30	0	0	GST	0		0	S	0	EFTPOS		Attadale Hospital	    												GST	N		P	9351
Bandyup Women's Prison		*None	Y									9374 8794				dianne.elder@correctiveservices.wa.gov.au		Dianne Elder																																																																										0	5	1	30	0	0	GST	0		0	S	0	EFTPOS		Bandyup Women's Prison	    												GST	N		P	9353
Banksia Hill Detention Centre		*None	Y									9333 9130			9333 9150	raewyn.ransfield@correctiveservices.wa.gov.au	roz.o'shea@correctiveservices.wa.gov.au	Raewyn Ransfield	Roz O'Shea																																																																									0	5	1	30	0	0	GST	0		0	S	0	EFTPOS		Banksia Hill Detention Centre	    												GST	N		P	9354
Braemar House		*None	N													accountsmailbox@braemar.org.au																																																																					OV							0	5	1	30	0	0	GST	0		0	S	0																GST	N		P	9360
Brightwater Biralee		*None	N									6184 8545				accounts.payable@brightwatergroup.com	Vendor Code 000605	Iris Mercado																																																																			V							0	2	0	30	0	0	GST	0		0	S	0																GST	N		P	9362
Brightwater Kingsley		*None	N									9202 2876				accounts.payable@brightwatergroup.com	Vendor Code 000605	Head Office																																																																			V							0	2	0	30	0	0	GST	0		0	S	0	EFTPOS		Brightwater Kingsley	    												GST	N		P	9363
Brightwater Madeley		*None	N									9202 2876				accounts.payable@brightwatergroup.com	Vendor Code 000605	Head Office																																																																			V							0	2	0	30	0	0	GST	0		0	S	0	EFTPOS		Brightwater Madeley	    												GST	N		P	9364
Brightwater Marangaroo		*None	Y									9202 2876				accounts.payable@brightwatergroup.com	Vendor Code 000605	Head Office																																																																			V							0	5	1	30	0	0	GST	0		0	S	0	EFTPOS		Brightwater Marangaroo	    												GST	N		P	9365
