{}
Co./Last Name	First Name	Card ID	Card Status	Addr 1 - Line 1	Addr 1 - Line 2	Addr 1 - Line 3	Addr 1 - Line 4	Addr 1 - City	Addr 1 - State	Addr 1 - Postcode	Addr 1 - Country	Addr 1 - Phone No. 1	Addr 1 - Phone No. 2	Addr 1 - Phone No. 3	Addr 1 - Fax No.	Addr 1 - Email	Addr 1 - WWW	Addr 1 - Contact Name	Addr 1 - Salutation	Addr 2 - Line 1	Addr 2 - Line 2	Addr 2 - Line 3	Addr 2 - Line 4	Addr 2 - City	Addr 2 - State	Addr 2 - Postcode	Addr 2 - Country	Addr 2 - Phone No. 1	Addr 2 - Phone No. 2	Addr 2 - Phone No. 3	Addr 2 - Fax No.	Addr 2 - Email	Addr 2 - WWW	Addr 2 - Contact Name	Addr 2 - Salutation	Addr 3 - Line 1	Addr 3 - Line 2	Addr 3 - Line 3	Addr 3 - Line 4	Addr 3 - City	Addr 3 - State	Addr 3 - Postcode	Addr 3 - Country	Addr 3 - Phone No. 1	Addr 3 - Phone No. 2	Addr 3 - Phone No. 3	Addr 3 - Fax No.	Addr 3 - Email	Addr 3 - WWW	Addr 3 - Contact Name	Addr 3 - Salutation	Addr 4 - Line 1	Addr 4 - Line 2	Addr 4 - Line 3	Addr 4 - Line 4	Addr 4 - City	Addr 4 - State	Addr 4 - Postcode	Addr 4 - Country	Addr 4 - Phone No. 1	Addr 4 - Phone No. 2	Addr 4 - Phone No. 3	Addr 4 - Fax No.	Addr 4 - Email	Addr 4 - WWW	Addr 4 - Contact Name	Addr 4 - Salutation	Addr 5 - Line 1	Addr 5 - Line 2	Addr 5 - Line 3	Addr 5 - Line 4	Addr 5 - City	Addr 5 - State	Addr 5 - Postcode	Addr 5 - Country	Addr 5 - Phone No. 1	Addr 5 - Phone No. 2	Addr 5 - Phone No. 3	Addr 5 - Fax No.	Addr 5 - Email	Addr 5 - WWW	Addr 5 - Contact Name	Addr 5 - Salutation	Notes	Identifiers	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Billing Rate	Cost Per Hour	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	Tax Code	Credit Limit	Tax ID No.	Payment Method	Payment Notes	Name on Card	Card Number	BSB	Account Number	Account Name	Statement Text	Remittance Method	Remittance Address	A.B.N. 	A.B.N. Branch	Volume Discount %	Sales/Purchase Layout	Account	Comment	Shipping Method	Printed Form	Freight Tax Code	Use Supplier's Tax Code	Report Taxable Payments	Payment Memo	Invoice/Purchase Order Delivery	Record ID
American Express		SUPP000011	Y								AUSTRALIA	02 9271 8669																																																																								"Scott - Username: Scopet1  P'word: mimaxx36, Charles -Username: charlesgoh P""word: choice26,  Marg -Username: marggoh  P'word: heidi262 Simone - Username:  simonevh PW: simone72"								0	0	2	0	30	0	GST	0						032-000	372409	AMERICAN EXPRESS	CORI 0060000002081	P				0	S					GST	N	N		P	483
Aon Risk Services Australia Ltd		SUPP000018	Y	P.O.  Box 7026	Cloisters Square			Perth	WA	6850	AUSTRALIA	08 9429 4444	419905954		9429 4490	credit.funding@aon.com.au		Monika Peterson																																																																										0	0	2	0	30	0	GST	0						084-004	688479979	AON RISK SERVICES LTD BROKING AC	CHOICEONE	P		17000434720		0	S					GST	N	N		P	490
Australasian Medical Publishing Co.		SUPP000040	Y	Locked Bag 3030				Strawberry Hills	NSW	2012	AUSTRALIA	02 9562 6666			02 9562 6600	ampco@ampco.com.au																																																																												0	0	2	0	30	0	GST	0						062-189	10008337	AUSTRALIAN MEDICAL PUBLISHING CO	CHOICEONE	P		20000005854		0	S	6-1302				GST	Y	N		P	512
Australia Post Limited		SUPP000042	N	GPO Box 9025				Perth	WA	6000	AUSTRALIA	9237 5275			9237 5394																																																																					Account # 635548								0	0	2	0	30	0	GST	0						064-787	635548	AUSTRALIA POST EFT RECEIPTS	CHOICEONE 63	P		28864970579		0	S	6-1050				GST	Y	N		P	514
ASIC		SUPP000054	N	Level 1 66 Saint Geroges Terrace				Perth	WA	6000	AUSTRALIA	08 9261 4200																																																																								Refer Fasttrack								0	0	2	0	30	0	FRE	0						093-003	317118	ASIC COLLECTORS REC. ACC.	2290831526673	P		86768265615		0	S	6-1130				FRE	Y	N		P	526
Australian Security Industry Association Limited		SUPP000055	Y	PO Box 1338				Crows Nest	NSW	1585	AUSTRALIA	02 9906 4780			02 9906 4202	receivables@asial.com.au	www.asial.com.au		SEE ASIC																																																																									0	0	2	0	30	0	GST	0						012-405	231063543	ASIAL	CHOICEONE	P		91000813365		0	S					GST	Y	N		P	527
Australasian Sonographers Association		SUPP000057	N	P O Box 709				CHELTENHAM	VIC	3192	AUSTRALIA	03 9585 2996			03 9585 2331	accounts@a-s-a.com.au	www.a-s-a.com.au																																																																			UN:  ChoiceOne PW:  clkASA2014								0	0	2	0	30	0	GST	0						633-000	135186575	AUSTRALIAN SONOGRAPHERS ASSN	CHOICEONE	E	memberservices@sonographers.org	64991983051		0	S					GST	Y	N		P	529
Australian Taxation Office (PAYG)		SUPP000058	N	ATO No - 880501581957470	GPO Box 613			Adelaide SA	SA	5001	AUSTRALIA																																																																																	0	0	2	0	30	0	N-T	0						093-003	316385	ATO DIRECT CREDIT ACCOUNT	880501581957470	A		11111111111		0	S	2-1420				N-T	Y	Y		P	530
Auto Classic (WA) Pty Ltd		SUPP000059	Y	48 Burswood Road				Victoria Park	WA	6100	AUSTRALIA	08 9311 7533			08 9311 7598	accounts.receivable@autoclassic.com.au																																																																												0	0	2	0	30	0	GST	0						036-001	130135	AUTO CLASSIC	CHOICEONE	P		66009124690		0	S	9-1200				GST	Y	N		P	531
Aveling		SUPP000061	N	184a Shepperton Road				Victoria Park	WA	6101	AUSTRALIA	08 9355 0808			08 9355 0908	training@aveling.com.au	www.aveling.com.au																																																																											0	0	2	0	30	0	GST	0						016-268	353676911	TONY AVELING AND ASSOCIATES	CHOICEONE	P		59079264654		0	S	5-4900				GST	N	N		P	533
