ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,Discount,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount,DueDateSalesDay,DueDateSalesTerm
ZZ Prime International Consultants,,PO Box 7108,,,,Cloisters Sqr,WA,6850,,,,,,,,PO Box 7108,,,,,WA,6850.0,,0.0,,,,,30.0,5.0
ChoiceOne,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Acacia Prison,,,,,,,,,,9573 3161,Shared Services,9573 3350,kier.tenardi@serco-ap.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Ascot Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Attadale Hospital,,,,,,,,,,,,,accountspayable.vim@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Bandyup Women's Prison,,,,,,,,,,9374 8794,,,dianne.elder@correctiveservices.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Banksia Hill Detention Centre,,,,,,,,,,9333 9130,,9333 9150,raewyn.ransfield@correctiveservices.wa.gov.au,roz.o'shea@correctiveservices.wa.gov.au,Roz O'Shea,,,,,,,,,0.0,,,,,30.0,5.0
Braemar House,,,,,,,,,,,,,accountsmailbox@braemar.org.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Biralee,,,,,,,,,,6184 8545,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
Brightwater Kingsley,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
Brightwater Madeley,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,2.0
Brightwater Marangaroo,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Onslow Gardens,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater Oxford Gardens,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater The Cove,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater The Oaks,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Brightwater The Village,,,,,,,,,,9202 2876,,,accounts.payable@brightwatergroup.com,Vendor Code 000605,,,,,,,,,,0.0,,,,,30.0,5.0
Carine Senior High School,,,,,,,,,,9243 9100,,,tina.magatelli2@education.wa.edu.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Carinya Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Carrington Aged Care,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Catherine McAuley Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Central City Dental Care,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Cerebral Palsy Association,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Clarkson Community High School,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Court Assessment & Treatment Services,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Baptistcare - David Buttfield Centre,,,,,,,,,,9282 8600,,,accounts.payable@baptistcare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Ella Williams House,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Fredrick Guest Hostel,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Freshwater Bay Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Glengarry Hospital,,,,,,,,,,1800 738 745,,,AccountsPayable.vim@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Baptistcare - Gracehaven,,,,,,,,,,9282 8616,Melissa - Head Office,,melissa.mendolia@baptistcare.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Grandview Aged Care,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Hakea Prison,,,,,,,,,,9366 6376,,,shirley.gardner@correctiveservices.wa.gov.au,kaye.couzens@correctiveservices.wa.gov.au,Shirley Gardner,,,,,,,,,0.0,,,,,30.0,5.0
Hammersley Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Hollywood Private Hospital,,,,,,,,,,,,,AccountsPayable.vim@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Italian Aged Care,,,,,,,,,,9247 0888,,,natasha@iaci.com.au,,Accts Payable,,,,,,,,,0.0,,,,,30.0,5.0
John Mercer Lodge,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Joondalup Health Campus,,,,,,,,,,1800 738745,,,accountspayable.vim@ramsayhealth.com.au,Code 275,,,,,,,,,,0.0,,,,,30.0,5.0
Kalamunda District Community Hospital,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Kaleeya Hospital,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Karrinyup Road Dental Centre,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
King Edward Memorial Hospital,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Koh-I-Noor,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Lady McCusker Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Leighton Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
McDougall Park Nursing Home,,,,,,,,,,9327 9920,,,,,Hall & Prior,,,,,,,,,0.0,,,,,30.0,5.0
St John of God - Mt Lawley,,Yvette in accounts -,,,,,,,,0861160358,,,group.accountspayable@sjog.org.au,Kelly.Fair@sjog.org.au,,,,,,,,,,0.0,,,,,30.0,5.0
Mount Hospital,c.93,,,,,,,,,1300 854 535,,,AP.Payments@healthscope.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Mount Lawley Private Hospital,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Nursewest,,sarah.siave@health.wa.gov.au,,,,,,,,,,,HCN.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Osborne Park Hospital,,,,,,,,,,6444 5143,,,HCN.NurseWestAdminFinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Parkview Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Parry Hostel,,,,,,,,,,1300 784 954,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Peel Health Campus,,,,,,,,,,1800 738 745,,,accountspayable.vim@ramsayhealth.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Perth Clinic,,,,,,,,,,9481 4888,,,elainei@perthclinic.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Peter Arney Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Princess Margaret Hospital,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Quadriplegic Centre,,,,,,,,,,,,,qcaccountspayable@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Rangeview Health Centre,,,,,,,,,,9333 9130,,,raewyn.ransfield@correctiveservices.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Regents Garden Lake Joondalup,,,,,,,,,,,,,accounts@regentsgarden.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Regents Gardens Four Seasons,,,,,,,,,,,,,accounts@regentsgarden.com.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Rockingham - Kwinana District Hospital,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Royal Perth Hospital,,,,,,,,,,6444 5143,,,hss.nursewestadministrationfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
Sandstrom Aged Care Facility,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Sarah Hardy House,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Shawford Lodge,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Shenton Park,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,at Fiona Stanley Hosp,,,,,,,,,,0.0,,,,,30.0,5.0
Silver Chain - Kingsley Hospice,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Silver Chain - Murdoch Hospice,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
St Francis Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
St Michaels Residential Care,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
St Vincents Aged Care,,,,,,,,,,-279 5055,,,jenny.martin@catholichomes.com,,,,,,,,,,,0.0,,,,,30.0,5.0
Swan Health Service,,,,,,,,,,6444 5143,,,hcn.apfinance@health.wa.gov.au,,,,,,,,,,,0.0,,,,,30.0,5.0
WA Turf Club,,,,,,,,,,9277 0777,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
Waikiki Private Hospital,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,30.0,5.0
