Account Number,Account Name,Header,Balance,Account Type,Last Cheque Number,Tax Code,Currency Code,Inactive Account,AccountantLink Code,BSB Number,B/Account Number,B/Account Name,Company Trading Name,Create Bank Files,Bank Code,Direct Entry User ID,Self Balancing Transaction,Description,Classification for Statement of Cash Flow,Subtotal Header Accounts
10000,Assets,H,"$1,491,082.65 ",Asset,,,,N,,,,,,,,,,,,Y
11000,Current Assets_IA,,$0.00 ,Bank,24,N-T,,Y,,016-334,263556959,SUSTAINABILITY PTY LTD,SUSTAINABILITY,N,,,N,,,
11100,Cash on Hand,H,"$8,106.74 ",Asset,0,,,N,,,,,,,,,,,,Y
11110,St George Bank Acct 482219565_IA,,"($203,056.65)",Bank,1138,N-T,,Y,,116-879,482219565,SUSTAINABILITY PTY LTD,SUSTAINABILITY,Y,STG,308542,Y,,,
11111,ANZ CHQ -016334 263556959,,$861.23 ,Bank,1087,N-T,,N,,016-334,263556959,SUSTAINABILITY P/L,SUSTAINABILITY,Y,ANZ,0,N,,,
11112,ANZ Saving 016334-263556983,,"$7,014.45 ",Bank,4,N-T,,N,,,,,,N,,,N,,,
11120,Bankwest Acct 057244-9 IA,,"$40,495.25 ",Bank,53,N-T,,N,,306-063,572449,SUSTAINABILITY PTY. LTD.,SUSTAINABILITY,Y,BWA,175029,Y,,,
11125,ANZ USD account 403725-00001,,$0.21 ,Bank,0,N-T,USD,N,,,40372500001,SUSTAINABILITY PTY LTD,,N,,,N,,,
11130,Payroll Clearing Account,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11135,Inventory,,$0.00 ,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
11140,Petty Cash,,$230.85 ,Bank,2,N-T,,N,,,,,,N,,,N,,,
11145,ANZ Travel Card:Colin Davies,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11150,Cash - Indonesian Rupiah,,$280.80 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11151,Cash-Kazakhstan Tenge,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11152,Cash- United States Dollar,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11153,Cash-Romania Lei (RON),,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
11160,Electronic Clearing Account,,$0.00 ,Bank,395,N-T,,N,,116-879,482219565,SUSTAINABILITY,SUSTAINABILITY,Y,STG,0,Y,,,
11170,Undeposited Funds,,$0.00 ,Bank,110714,N-T,,N,,016-334,263556959,SUSTAINABILITY,SUSTAINABILITY,N,,,N,,,
11950,Withholding Credits,H,$0.00 ,Asset,,,,N,,,,,,,,,,,,Y
11960,Voluntary Withholding Credits,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
11970,ABN Withholding Credits,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12100,Accounts Receivable,H,"$1,227,231.41 ",Asset,,,,N,,,,,,,,,,,,Y
12110,Trade Debtors,,"$728,160.16 ",Accounts Receivable,,N-T,,N,,,,,,,,,,,O,
12115,Accounts Receivable Other,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
12139,Less Prov for Doubtful Debts,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12140,Advances to Consultants,,$0.00 ,Accounts Receivable,,N-T,,N,,,,,,,,,,,O,
12145,Sundry Debtors-AMEX,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12146,Loan -David Hunt (2013),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12147,Director's Loan-JM,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12148,David Hunt (2014),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12149,John Miragliotta(2014),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12150,Sundry Debtors,,$0.00 ,Accounts Receivable,,N-T,,N,,,,,,,,,,,O,
12151,Loan - David Hunt (2015),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12152,Loan - David Hunt (2016),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12153,Loan - David Hunt (2017),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12154,Loan - David Hunt (2018),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12155,Loan - David Hunt (2019),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12156,Loan - David Hunt (2020),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12157,Loan - David Hunt (2021),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12158,Loan - David Hunt (2022),,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12160,John Miragliotta AMEX,,"$2,047.71 ",Bank,0,N-T,,N,,,,,,N,,,N,,,
12165,Loan - Heath Thorpe,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12166,Loan - Tony Webster-Smith,,$0.00 ,Bank,0,N-T,,N,,,,,,N,,,N,,,
12167,Loans to Sustainability At Home Pty Ltd ,,"$499,071.25 ",Other Asset,,N-T,,N,,,,,,,,,,,O,
12199,Short Term Loan Staff,,$0.00 ,Other Asset,,N-T,,N,,,,,,,,,,,O,
12200,Inventory on Hand,H,"$55,444.83 ",Asset,,,,N,,,,,,,,,,,,N
12201,Work in Progress,,"$55,444.83 ",Other Current Asset,,N-T,,N,,,,,,,,,,,O,
12300,WIP Intercompany,H,"$47,970.36 ",Asset,,,,N,,,,,,,,,,,,N
12320,WIP SEA prior to 1 Jan 2015,,"$66,837.28 ",Other Current Asset,,N-T,,N,,,,,,,,,,,O,
12321,WIP SEA 1/1/15 to 30/9/19,,$0.00 ,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
12322,WIP SEA from 1 Oct 2019,,$0.00 ,Other Current Asset,,N-T,,N,,,,,,,,,,,O,
