Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Invoice No.,Date,Customer PO,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Salesperson Last Name,Salesperson First Name,Shipping Date,Referral Source,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Sale Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,           - % Monthly Charge,Amount Paid,Payment Method,Payment Notes,Name on Card,Card Number,Authorisation Code,BSB,Account Number,Drawer/Account Name,Cheque Number,Category,Location ID,Card ID,Record ID
Sustainability Assurance Services Pty Ltd,,Sustainability Assurance Pty Ltd,"Unit 3, 118 Flora Terrace",North Beach  WA  6020,Australia,,10378,1/7/2022,EQAGEC,,A,Assurance employee hr,1,"90% of Audit Fee and Client Management Fee ($6,646.50 @ 90%)","$6,243.75 ",0%,"$6,243.75 ",EQAGEC,,Sale; Sustainability Assurance Pty Ltd,,,,,GST,$624.38 ,$0.00 ,GST,$0.00 ,I,,,5,1,30,0,0,"$7,908.04 ",EFT,,,,,,,,,Assurance,Location1,*None,111
Sustainability Assurance Services Pty Ltd,,Sustainability Assurance Pty Ltd,"Unit 3, 118 Flora Terrace",North Beach  WA  6020,Australia,,10378,1/7/2022,EQAGEC,,A,Domestic Travel Reimb ASS,1,Expenses,$945.38 ,0%,$945.38 ,EQAGEC,,Sale; Sustainability Assurance Pty Ltd,,,,,GST,$94.53 ,$0.00 ,GST,$0.00 ,I,,,5,1,30,0,0,"$7,908.04 ",EFT,,,,,,,,,Assurance,Location1,*None,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Mesh Group Pty Ltd ,,Data Mesh Group Pty Ltd ,,,,,10379,1/7/2022,22-Jul,,A,Other Income,1,Office Rent,$505.00 ,0%,$505.00 ,ADM000,,Sale: Data Mesh Group,,,,,GST,$50.50 ,$0.00 ,GST,$0.00 ,I,,,2,0,15,0,0,$638.00 ,EFT,,,,,,,,,Admin,Location1,DATA,2032
Data Mesh Group Pty Ltd ,,Data Mesh Group Pty Ltd ,,,,,10379,1/7/2022,22-Jul,,A,Other Income,1,Access to Sustainability Internet,$75.00 ,0%,$75.00 ,ADM000,,Sale: Data Mesh Group,,,,,GST,$7.50 ,$0.00 ,GST,$0.00 ,I,,,2,0,15,0,0,$638.00 ,EFT,,,,,,,,,Admin,Location1,DATA,2032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East 33 Limited,,East 33 Limited,"Level 30, Tower 2",200 Barangaroo Avenue,Sydney  NSW  2000,,10380,1/7/2022,22-Jul,,A,Other Income,1,Office Rent,$505.00 ,0%,$505.00 ,ADM000,,Sale; East 33,,,,,GST,$50.50 ,$0.00 ,GST,$0.00 ,I,,,2,0,15,0,0,$638.00 ,EFT,,,,,,,,,Admin,Location1,EAST,2020
East 33 Limited,,East 33 Limited,"Level 30, Tower 2",200 Barangaroo Avenue,Sydney  NSW  2000,,10380,1/7/2022,22-Jul,,A,Other Income,1,Access to Sustainability Internet,$75.00 ,0%,$75.00 ,ADM000,,Sale; East 33,,,,,GST,$7.50 ,$0.00 ,GST,$0.00 ,I,,,2,0,15,0,0,$638.00 ,EFT,,,,,,,,,Admin,Location1,EAST,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mintap Services Pty Ltd,,Mintap Services Pty Ltd,PO Box 2122,Marmion  WA  6020,Australia,,10381,1/7/2022,22-Jul,,A,Other Income,1,Office Rent,$505.00 ,0%,$505.00 ,ADM000,,Sale; Mintap Services,,,,,GST,$50.50 ,$0.00 ,GST,$0.00 ,I,,,2,0,15,0,0,$638.00 ,EFT,,,,,,,,,Admin,Location1,MINT,1858
