Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables,,
JHG019,OPS:Operations,TRA,D,,,0%,,,,,Y,Y,,
ADM000,Admin,mis004,D,,,0%,,,,Sustainability Administration,N,Y,,
ASS001,ASIS Marketing Trip,TRA,D,,,0%,,,,,Y,Y,,
AUS000,Austrade,TRA,D,Marketing Grant,,0%,,,,,Y,Y,,
CEO ** DONT USE,CEO Expenses,TRA,D,Please just use ADM000 instead (AE 1.4.09),,0%,,,,,Y,Y,,
CMM000,Collateral Mktg Materials,TRA,D,Collateral Marketing Materials,,0%,,,,,Y,Y,,
ETA000,ETAS,TRA,D,,,0%,,,,ETAS,Y,Y,,
SIM000,Sims Development,TRA,D,Sustainability Integrated Management System development,,0%,,,,,Y,Y,,
XINXIN,Ms XinXin Men,TRA,D,,,0%,,,,,Y,Y,,
SCA,Central Asia,,H,,,0%,,,,,N,N,,
ANP001,Safety case & Train ANP,SCA,D,,,0%,,,Ahmed Saeed,Autoridade Nacional do Petroleum,Y,Y,,
ANP003,Safety Inspection O&G,SCA,D,Safety Inspection of offshore O&G production facility,Jude Andrew,0%,15/11/2008,,Ahmed Saeed,Autoridade Nacional do Petroleum,Y,Y,,
ANP006,Safety Case Closeout,SCA,D,Participate in Safety Cas Closeout,,0%,,,Ahmed Saeed,Autoridade Nacional do Petroleum,Y,Y,,
CAB001,Business Development,SCA,D,,,0%,,,,Sustainability Central Asia Pty Ltd,Y,Y,,
CAS000,Central Asia,SCA,D,,,0%,,,,,Y,Y,,
DHF001,,SCA,D,,,0%,,,,,Y,Y,,
DOT000,Tender Documentation,SCA,D,Tender Documentation-Dept of Training & workforce Development,,0%,,,,,Y,Y,,
EPL000,ENI Pakistan Ltd,SCA,D,ENI Pakistan Ltd,,0%,,,,,Y,Y,,
GOB001,Govt of Balochistan Visit,SCA,D,,,0%,,,,,Y,Y,,
MOK001,DUNGA HAZOP,SCA,D,,,0%,,,Ahmed Saeed,Maersk Oil Kazakhstan Gmbh,Y,Y,,
MOK002,HAZID & HAZOP WORKSHOP,SCA,D,,,0%,,,,Maersk Oil Kazakhstan Gmbh,Y,Y,,
MOK003,HAZOP III,SCA,D,HAZOP & DUNGA,,0%,,,,,Y,Y,,
MOK004,FERA Dunga Oil & Gas,SCA,D,FERA Dunga Oil & Gas,,0%,,,,,Y,Y,,
THF001,,SCA,D,,,0%,,,,,Y,Y,,
YLC001,Yemen LNG Co., Ltd,SCA,D,Yemen LNG Company,,0%,,,,,Y,Y,
CEO,CEO,,H,,,0%,,,,,N,N,,
EIA001,EIANZ Committee,CEO,D,EIANZ Climate Forum,,0%,,,,,Y,N,,
ENV,ENV:Environment,,H,,,0%,,,,,N,N,,
OHS,OHS:Occ Health Safety Sec,,H,,,0%,,,,,N,N,,
TRA,TRA:Training,,H,,,0%,,,,,N,N,,
NEB045,NEBOSH,TRA,D,NEBOSH,,0%,,,,,Y,Y,,
PPP000,Productivity Places Prog,TRA,D,Productivity Places Program,,0%,,,,,Y,Y,,
TRA000,Training,TRA,D,,,0%,,,,Sustainability Training,N,Y,,
LAC037,Lead Auditor course,TRA,D,Lead Auditor course,,0%,,,,,Y,Y,,
LAC038,Lead Auditor course,TRA,D,Lead Auditor course,,0%,,,,,Y,Y,,
NEB053,NEB053,TRA,D,NEBOSH,,0%,,,,,Y,Y,,
TRC002,Thomson Reuters,TRA,D,Environmental Audit Course - Adelaide,,0%,,,,,Y,Y,,
TRC003,Thomson Reuters,TRA,D,Environmental Audit course - Melbourne,,0%,,,,,Y,Y,,
