ContactName,AccountNumber,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,PhoneNumber,MobileNumber,FaxNumber,EmailAddress,Website,SAAttentionTo,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,DueDateSalesTerm,TaxNumber,BankAccountNumber,BankAccountName,SalesAccount
 Aimee Thevissen,*None,195 Thornbill Place,,,,Mahogany Creek,WA,6072,,,,,,,,,,,,,,,,2,,Unknown,,
 AJ Lucas Operations Pty Ltd,AJL,"Level 4, 1060 Hay Street",,,,West Perth,WA,6005,,08 6216 9800,,08 6216 9801,sudha.nadan@lucas.com.au,,,,,,,,,,,2,,Unknown,,
 Allardyce Engineering,ALE,64 Laver Street,,,,Newman,WA,6753,,08 9175 2819,Mob 0408 885 398,,gallardyce@bigpond.com,,,,,,,,,,,2,,Unknown,,
 Ambuja Cements Limited,ACL000,Attn: Gaurang Baxi,"2nd Floor , Elegant Business Park","MIDC Cross Road, Andheri ( East)",,Mumbai 400059,,,INDIA,,+91 22 40667239,+91 22 40667423,sanjeev.nair@ambujacement.com,,,,,,,,,,,2,,Unknown,,
 API Management Pty Ltd,API,Level 2 Aquila Centre,1 Preston Street,,,Como,WA,6152,,08 9423 0233,0439 912 344,,accountspayable@apijv.com.au,,,,,,,,,,,2,,Unknown,,
 Ashley Taylor,*None,PO Box 759,,,,Fremantle,WA,6959,,,,,,,,,,,,,,,,2,,Unknown,,
 ASIS International,*None,1625 Prince Street,,,,Alexandria,VA,22310,,smelnicove@asisonline,,,smelnicove@asisonline,,,,,,,,,,,1,,Unknown,,
 Astra Group Services Pty Ltd,AST,PO Box 5527,,,,Brendale BC,QLD,4500,,07 3205 6297,07 3205 6297,,,,,,,,,,,,,2,,Unknown,,
 Ausclad Group of Companies,*None,Yandi RGP5 OHP3 Project,"15 , Beach Street",,,Kwinana,WA,6167,,,,,tdavey@ausclad.com.au,,,,,,,,,,,2,,Unknown,,
 Bakyrchik Mining Venture LLP,*None,"t.Auezov, Zharma district",,,,East Kazakhstan Region,,491775,Kazakhstan,,,,BobT@Ivancorp.net,,,,,,,,,,,2,,Unknown,,
 Barry T Spencer,*None,4 Santona Blvd,,,,Ellenbrook,WA,6069,,,,,,,,,,,,,,,,2,,Unknown,,
 BHP Billiton Worsley Alumina Pty Ltd,WOR000,Attention: Craig Ralph,PO Box 344,,,Collie,WA,6225,,accounts.payable@wapl,08 9734 8817,,accountspayableBWAPL@bhpbilliton.com,,,,,,,,,,,2,,Unknown,,
 BHPB Shared Business Services,BHP,GPO Box 2619,,,,Adelaide,SA,5001,,08 6224 3770 accts,1300 554 757 (Main),,,,,,,,,,,,,2,,Unknown,,
 Bianca K. J Guest,*None,35-39 Baile Road,,,,Salmon Gums,WA,6445,,,,,,,,,,,,,,,,2,,Unknown,,
 BIS Industrial Logistics,BIS,Accounts Payable Department,Locked Bag 2143,,,North Sydney,NSW,2059,,02 9245 6333,08 9202 5810,02 9492 2640,accountspayable@bislimited.com,,,,,,,,,,,2,,Unknown,,
 Cam Iron SA,*None,GPO Box  Z5189,,,,Perth,WA,6831,,08 9220 2300,,,jtyler@sundanceresources.com.au,,,,,,,,,,,2,,Unknown,,
 Cavotec Australia,CAV,24 Garnett Way,,,,Maddington,WA,6109,,08 9477 2666,0408 788 599,08 9452 8866,simon.tucci@cavotec.com,,,,,,,,,,,2,,Unknown,,
 Central Asian Petroleum Corporation,*None,Attn: Sean McGay,"3905 Two Exchange Square ,","Suite No. 7703 , 8 Connaught Place, Central",,,,,Hong Kong,,,,,,,,,,,,,,,2,,Unknown,,
 Champion Technologies Pty Ltd,CHA,PO Box 1070,,,,Bentley,WA,6983,,08 9472 9400,,08 9472 9422,,,,,,,,,,,,2,,Unknown,,
 Christian Mellon,*None,2 Selman Avenue,,,,Newman,WA,6753,,,,,,,,,,,,,,,,2,,Unknown,,
 Cimeco Pty Ltd,CIM,Cnr Howson Way & Stock Road,,,,Spearwood,WA,6163,,08 9434 9922,,08 9434 9911,anita.niciforo@cimeco.com.au,,,,,,,,,,,2,,Unknown,,
 Cliffs Asia Pacific Iron Ore Pty Ltd,CAP,GPO Box W2017,,,,Perth,WA,6846,,accounts@portman.com.,08 9426 3333,08 9426 3344,invoices.perth@clevelandCliffs.com,enquiry-apanswers@clevelandcliffs.com,,,,,,,,,,2,,Unknown,,
 Dampier Salt Pty Ltd.,*None,"SBS ,Locked Bag 5106 ",,,,Parramatta,NSW,2124,,,1300667703,08 6102 3312,rtsspthinvoices@riotinto.com;rtssperthaccounts@riotinto.com,www.dampiersalt.com.au,,,,,,,,,,2,,Unknown,,
 Dampier Salt Pty Ltd,*None,RTSS Accounts Payable,         Locked Bag 5555,,,Tuggeranong,ACT,2901,,08 9956 3222,,08 9956 3200,rtssPTHinvoices@riotinto.com,,,RTSS Accounts Payable,         Locked Bag 5555,,,Tuggeranong,ACT,2901.0,,2,,Unknown,,
 Dean Edward Hotton,*None,3/100 Piesse Street,,,,Kalgoorlie,WA,6432,,,,,deanhotton@hotmail.com,,,,,,,,,,,2,,Unknown,,
 Department of Training and Employment,DTE000,,,,,,,,,,,,,,,,,,,,,,,2,,Unknown,,
 Diana Dobreskovic,*None,8A Florida Drive,,,,Landsdale,WA,6065,,,,,,,,,,,,,,,,2,,Unknown,,
 DLA Phillips Fox,*None,Level 32 St Martins Tower,44 St Georges Terrace,,,Perth,WA,6000,,nicole.smith@dlaphill,6467 6000,,nicole.smith@dlaphillipsfox.com,,,,,,,,,,,2,,Unknown,,
 Energy Resources LLC,ERL000,"Central Tower , 16th Floor","Right Suite 2 , Sukhbaatar Square 2",Sukhbaatar District-8,,Ulaanbaatar,,210620a,MONGOLIA,976 11 322279,976-8811-5512,,baigalmaa@energyresources.mn,,Vice Director,,,,,,,,,2,,Unknown,,
 ENI Australia,ENI,PO Box 6862,,,,East Perth,WA,6892,,accounts.payable@enia,9320 1109  Donna Acc,08 9320 1100,accounts.payable@eniaustralia.com.au,daniella.papagno@eniaustralia.com.au,,,,,,,,,,2,,Unknown,,
 Georgiou Building,*None,PO Box 2065,,,,Malaga,WA,6944,,Frank.letizia@georgio,9216 7460,,Frank.letizia@georgiou.com.au,,,,,,,,,,,2,,Unknown,,
 Georgiou Group Pty Ltd,GEO,PO Box 1815,,,,Osborne Park DC,WA,6916,,08 9200 2500,08 9200 2437 - AP,08 9200 2300,invoices@georgiou.com.au; travis.kingdon@georgiou.com.au,invoices.enquiries@georgiou.com.au,,,,,,,,,,4,,Unknown,,
 Griffin Power 2 Pty Ltd,GRI,GPO Box G474,,,,Perth,WA,6841,,lara.weber@thegriffin,08 9261 2800,08 9481 4011,les.egerton@thegriffingroup.com.au,,9261 2800 accts,,,,,,,,,2,,Unknown,,
 Gulfploy Pty Ltd,GUL,2274 Coonawarra Road,,,,Winnellie,NT,820,,08 8947 0788,,08 8984 3242,,,,,,,,,,,,2,,Unknown,,
 Hamersley Iron Pty Ltd,HAM000,RTIO PD Accounts Payable,Locked Bag 5109,,,Parramatta,NSW,2124,,Please email,,+61 8 6102 3313,invoices@riotinto.com,P2P.Concierge@riotinto.com,,RTSS Accounts Payable,Locked Bag 5106,,,Parramatta,NSW,2124.0,,2,,Unknown,,
 Helicopters Australia Pty Ltd,HAP,"Level 2 , 2 George Wiencke Drive",,,,Perth Domestic Airport,WA,6105,,08 9267 1600,,08 9267 1699,mathew-herderson@helicopters.com.au,,,,,,,,,,,2,,Unknown,,
 Hismelt Operations Pty Ltd,HIS,PO Box 455,,,,Kwinana,WA,6966,,rtssPTHinvoices@rioti,08 6213 0362 accts,08 9437 0601,rtssPTHinvoices@riotinto.com,,,,,,,,,,,2,,Unknown,,
 Holcim Australia Pty Ltd,HOL,PO Box 1513,,,,Milton,QLD,4064,Australia,08 9212 2105/,9388 8360,9381 2360,apinvoices@holcim.com,,,,,,,,,,,2,,Unknown,,
 HWE Mining Pty Ltd,HWE,Attn: Accounts Payable,PO Box 1166,,,Nedlands,WA,6909,,08 9389 4777,,08 9389 9699,HWE.Invoices@hwe.com.au,,,,,,,,,,,2,,Unknown,,
 Independant Metallurgical Operations,IMO,PO Box 8151,Subiaco East,,,,WA,6008,,08 9254 6900,,08 9322 1808,imo@indmetops.com.au,,,,,,,,,,,2,,Unknown,,
 IS&T Asia Pacific,*None,Technological Resources Pty Led,Locked Bag 5555,Australia ,,Tuggeranong,NSW,2901,,08 9327 2895,,,Invoices.Aust@riotinto.com,,,,,,,,,,,2,,Unknown,,
 Jennifer Sue Little,*None,PO Box 1379,,,,Carnarvon,WA,6701,,,,,,,,,,,,,,,,2,,Unknown,,
 John Holland Pty Ltd,JHG,L2 71 Walters Drive,,,,Herdsman,WA,6017,Australia,08 9482 2764-wtstone,08 6218 1644-julia,08 9482 2894,nch.accounts@jhg.com.au;WA.accounts@jhg.com.au;mengtee.ang@jhg.com.au,dianne.nicholson@jhg.com.au-cape;clb.accounts@jhg.com.au,089482 2822cape,,,,,,,,,2,,Unknown,,
 Karen M Wilson,*None,79 Wilson Street,,,,Kalgoorlie,WA,6430,,,,,,,,,,,,,,,,2,,Unknown,,
